daring mind which could not 82
dark gulf opening beneath his 87
dark hair curling about his 41
dark hair falling about her 94
dark hair loose about her 105
date from after world war 177
date from roman times and 120
dating from after world war 72
dating from roman times and 108
days just after world war 147
days kept getting longer and 80
days past since amelia had 41
days were getting longer and 313
days were getting longer now 103
days were getting short and 62
days were growing longer and 156
days were growing short and 129
days were spent about this 54
days were spent looking for 79
days were spent waiting for 96
days were still short and 56
days when people could not 61
days when women could not 53
dealt their blows right and 71
deep blue cloak which was 142
deep into human hearts and 44
deep snow piled above thee 1214
deep veil under which that 163
deer skin hunting shirt and 75
deny your moral power thus 52
depth from which water can 63
died five months after her 53
died five months after his 112
died five months later and 48
died five weeks after his 72
died four months after her 78
died four months after his 173
died last night about ten 44
died nine months after his 67
died some months after his 71
died soon after reaching his 66
died soon after world war 45
died three months after her 206
died three months after his 434
died three months after she 43
died three months after that 97
died three months after this 45
died three months later and 71
died three weeks after her 101
died three weeks after his 195
died three weeks later and 48
died when eight months old 55
dining room table laden with 137
dining room table waiting for 74
dining room table where she 176
dining room table where they 90
dining room table which was 148
dining room table while she 70
dining room which could seat 42
dining well often agree that 53
doff your cloak since our 53
dogs drew aside right and 48
dogs were barking round him 64
dogs were still after him 40
dogs were still barking and 65
done just about anything for 138
done just about every job 53
done some thinking about his 43
done some thinking about that 235
done some thinking about this 134
done their worst since then 91
done very badly since you 53
done your parts every way 76
dose three times daily for 128
dose when changing drugs and 62
down from above rather than 127
down from above stood and 449
down from every niche and 41
down from heaven every day 47
down from heaven rather than 99
down from mount sinai and 376
down from mount sinai with 1609
down from mount tabor with 175
down from outer space and 116
down here while waiting for 90
down into amino acids and 381
down into amino acids that 142
down into every gorge and 40
down into fatty acids and 636
down into parts which are 46
down into parts which can 99
down into small parts and 136
down into small parts that 87
down into small steps and 673
down into small steps that 217
down into small tasks and 43
down into small tasks that 117
down into small units and 174
down into small units that 95
down into small units with 42
down single ropes caked with 70
down some basic rules for 73
down some notes about how 129
down some small trees and 42
down some steps which led 136
down some steps which she 55
down some stone steps and 190
down their fruit trees and 50
down their hands within ten 84
down their lives rather than 1540
down three times every day 98
down till every nerve had 86
down your throat until you 147
down your throat while you 55
draw your lines which way 43
dream last night about this 199
dream last night about you 40
drew from fancy rather than 60
drew many people after him 65
drew their wraps about them 45
drop into boiling water and 185
drop into boiling water for 349
drop such larks every day 51
dull dark green above and 57
during early morning hours and 129
during some months after his 165
during their adult lives and 42
during their daily lives and 49
during their first meeting and 45
during their first meeting that 111
during their first meeting with 94
during their first season and 70
during their growing period and 61
during their growing season and 57
during their joint lives and 799
during their joint lives with 51
during their lunch breaks and 53
during their lunch hours and 92
during their whole lives they 265
during their working hours and 125
during their working lives and 382
during their working lives are 40
during their working lives but 41
during their working lives than 55
during these first weeks had 74
during those first hours that 94
during those first months was 42
during those first weeks and 74
during those first weeks was 64
during those hours which are 76
during those months which are 49
during your first meeting with 89
