dangerous attempt does not so 48
dangerous because they are so 353
dangerous because they are the 111
dangerous because they can be 201
dangerous because they lead to 102
dangerous because they may be 107
dangerous conceit for men to 74
dangerous position than that in 50
darkened hallway that led to 40
darkness between him and the 88
darkness between them and the 81
darkness between you and the 249
database objects that can be 136
database program you use to 73
database systems can not be 47
database systems that can be 40
daughter because she was so 151
daughter because she was the 42
daughter married and not at 58
daylight between him and the 73
daylight between them and the 50
decisions affecting them and the 54
decisions because they are so 41
decisions because they are the 71
decisions usually can not be 43
decisive factors that led to 75
decisive question for man is 113
decisive success was not to 50
decisive victory was won at 58
decisive victory was won by 164
decisive victory was won in 125
declared between him and the 71
declared herself too ill to 78
declared himself too ill to 75
declared himself too old to 145
declared illegal for them to 73
declared invalid and that the 62
defended herself with all the 44
defended himself with all the 166
defended religion with all the 62
defender between him and the 45
definite answers can not be 92
definite article can not be 106
definite beginning and end to 85
definite classes can not be 66
definite decision can not be 71
definite decision one way or 170
definite figures can not be 67
definite pattern that can be 43
definite purpose can not be 69
definite purpose than that of 53
definite purpose that can be 95
definite relation can not be 49
definite results can not be 60
definite results that can be 47
degraded convict can not be 40
delegate pointed out that in 42
delegate pointed out that it 66
delegate pointed out that the 388
delicate balance that can be 66
delicate balance that had to 57
delicate balance that has to 60
delicate balancing act for the 120
delicate balancing act that is 77
delicate balancing act with the 44
delicate question how far the 41
delicate question was and is 61
delicate question was that of 40
delicate service they set it 78
delivery systems can not be 84
delivery systems for use in 119
delivery systems that can be 156
delivery systems that may be 53
departed persons are not the 225
deprived himself and not me 51
deputies pointed out that the 65
deserves everything that can be 51
designed between her and the 49
designed chiefly for use in 71
despised herself for being so 150
despised herself for doing so 87
despised himself for being so 80
despised himself for doing it 65
despised himself for doing so 86
destroying everything that lay in 56
destroying factors that lead to 94
destroying factors that led to 75
detached himself one day to 42
detailed account can not be 75
detailed account than can be 63
detailed history can not be 48
detailed program can not be 47
detailed results can not be 45
detected between them and the 71
detected between you and me 123
detection systems that can be 123
developing between her and the 50
developing between him and the 125
developing between them and the 109
developing between you and the 41
developing country can not be 320
developing country may not be 227
developing traffic with both the 49
develops between her and the 87
develops between him and the 135
develops between them and the 142
develops between you and the 82
develops rapidly and can be 40
develops rapidly and may be 84
devotees assured him that it 49
diagnosis between this and the 58
diagnosis usually can not be 148
dialogues between god and the 110
diffusion equation can not be 145
diffusion process can not be 181
directed against all that is 82
directed against any one of 385
directed against any one or 72
directed against him all the 48
directed against him and the 139
directed against him that he 47
directed against one and the 62
directed against them and the 141
directed towards any one of 64
directed towards god and the 69
directed towards one and the 171
directed towards them and the 43
directed towards this end in 42
directed verdict can not be 46
direction between any two of 75
direction between him and the 57
direction between them and the 40
directly between earth and the 240
directly between god and the 57
directly between her and the 203
directly between him and the 484
directly between them and the 346
directly between you and the 233
directly connect him with the 49
directly declare that with the 84
directly measured but can be 51
director pointed out that the 210
director touched his cap to 82
disabled persons can not be 74
disabled persons may not be 67
disappear because they are no 116
disclaim sympathy with him in 446
discount tickets that can be 98
discover between you and me 43
discover everything that can be 41
discover plainly that they do 61
discrete objects that can be 109
