dallying the judge got the 65
damage by cutting off the 45
damage in world war ii 2130
damage is often due to 65
damage of world war ii 225
damage on enemy for as 56
damage on women than on 62
damage the brain and the 107
damage the liver and the 150
damage to anything but the 71
damage to cargo due to 127
damage to cells due to 43
damage to crops and the 265
damage to crops and to 255
damage to crops can be 51
damage to crops due to 384
damage to enemy are of 43
damage to goods due to 57
damage to others and to 146
damage to people and the 146
damage to people and to 79
damage to trees can be 42
damaging of which was the 64
damaging to women than to 134
damned my books for me 58
danced in rhythm with the 44
danced the polka and the 45
dances in which all the 180
dangers by which she is 142
dangers in store for the 56
dangers it posed for the 56
dangers it poses for the 42
dangers it shuns and the 42
dangers of civil war in 68
dangers of delay and the 50
dangers of drugs and of 63
dangers of drugs and the 88
dangers of getting out of 71
dangers of power and the 51
dangers of smoking and of 52
dangers of smoking and the 207
dangers of smoking and to 82
dangers of working with the 53
dangers of world war ii 104
dangers to which man is 130
dangers to which one is 120
dangers to which she is 365
darken the glass and the 59
darker in color and in 58
darker in color and is 287
darker in color and of 110
darker in color and the 246
darker in color due to 127
darker in color than in 265
darker in color than is 205
darker in color than it 46
darker in color than the 6709
darker in shade than the 254
darker in value than the 406
darker the color and the 66
darker the night and the 69
darter so sweet and so 51
dashed the point with my 46
dashed the water out of 48
dawned on people that the 47
dazzle the reader with the 51
dazzle the world with the 144
deadening the shock that it 41
deadens the sense both of 64
dearest to every man of 52
debate by arguing that it 40
debate by arguing that the 213
debate by calling for the 70
debate by showing that the 63
debate by stating that the 85
debate in order that the 97
debate in which all of 48
debate in which all the 225
debate in which one of 58
debate is about how to 134
debate is still going on 1550
debate is still with us 80
debate is under way as 47
debate is under way in 80
debate is under way on 74
debate on trade and the 86
debate on women and the 73
debate or delay can be 68
debate the issue with the 232
debating the point with the 100
debris of ships and the 42
debris of world war ii 123
debtor in trust for the 43
debtor is keeping out of 68
debtor is liable for the 279
debtor or trust that is 65
debtor to appear and be 61
debtor to carry out the 60
debtor to prove that he 77
debtor to prove that the 110
debunk the notion that the 114
decade of change for the 44
decade of civil war in 126
decade of growth for the 59
decade of working with the 42
decade of world war ii 247
decays of which are so 92
decease in trust for the 62
decent the widow was in 226
decide an issue that is 64
decide at which end of 50
decide in which one of 44
decide in which way the 89
decide in which way to 45
decide it would not be 81
decide on names for the 54
decide on plans for the 58
decide on which one of 53
decide on which one to 111
decide the facts and the 65
decide the issue and the 86
decide the issue and to 41
decide the issue for the 132
decide the issue for us 71
decide the issue with the 77
decide the right way to 43
decide to adopt one of 98
decide to adopt one or 43
decide to agree with the 62
decide to allow him to 65
decide to allow them to 40
decide to allow you to 41
decide to apply for an 42
decide to apply for the 173
decide to begin with the 203
decide to carry out an 132
decide to carry out the 382
decide to change any of 80
decide to change his or 53
decide to change one of 41
decide to check out the 349
decide to close out the 45
decide to drive out to 45
decide to enter one of 42
decide to fight for the 117
decide to marry and to 122
decide to marry one of 69
decide to offer you the 63
decide to place him in 43
decide to print out the 49
decide to search for the 147
decide to share with the 41
decide to spend all of 42
decide to stand for the 61
decide to start with the 277
decide to stick with it 80
decide to stick with the 269
decide to study for the 58
decide to visit one of 90
decide to which one of 65
decide to write off the 76
deciding it would not be 108
deciding on which one to 100
deciding to carry out the 103
deciding to start with the 42
deciding to stick with the 49
deciding to study for the 58
decree by which all the 100
decree in order that the 63
decree in which may be 62
decree is filed with the 57
decree is given for the 56
decree of cyrus and the 51
decree of cyrus for the 187
decree or edict that the 60
decree or order and the 70
decree or order for the 788
decree or order may be 332
decree so filed has the 173
decree the court may at 49
decree to award her as 41
decree to carry out the 58
deduce the maxim that we 50
deduce the reason for the 87
deduce the rules for the 40
deduce the theorem that the 54
deemed an honor for the 63
deemed it beneath him to 161
deemed it beneath them to 43
deemed it fitting that the 75
deemed it right not to 52
deemed it right that the 124
deemed it safer not to 56
deemed it wiser not to 410
deemed it would not be 101
deemed no longer fit to 41
deemed no older than the 46
deemed the owner for the 192
deemed to arise out of 710
deemed to begin with the 63
deemed to carry with it 221
deemed to exist and the 99
deemed to exist for the 89
deemed to imply that the 79
deemed to repeal any of 114
deemed to stand for the 77
deeper in color than the 900
deeper in shade than the 155
deeper the water and the 66
deeply in touch with my 43
deeply in touch with the 552
deeply the fresh air of 48
deeply to allow her to 48
deeply to allow him to 45
defeating the whole idea of 40
defeats in world war ii 115
defeats of world war ii 65
defeats the whole idea of 201
defect in vision may be 105
defect in which one or 123
defect is large and the 148
defect is small and the 139
defect of power that we 47
defect of reason due to 239
defect of reason that he 72
defect of taste and of 44
defect of which may be 46
defect of which was no 88
defend an action for the 205
defend by proving that the 243
defend by showing that he 73
defend by showing that the 256
defend my honor and my 55
defend the action and to 59
defend the altar and the 41
defend the claim that it 118
defend the claim that the 571
defend the claim that we 98
defend the coast and the 58
defend the crown and the 41
defend the honor and the 177
defend the house and the 44
defend the lives and the 118
defend the nation and the 165
defend the nation and to 116
defend the notion that the 239
defend the party and the 71
defend the people and the 173
defend the place for the 53
defend the place with the 73
defend the queen and the 103
defend the right and the 64
defend the right and to 72
defend the state and the 152
defend the state and to 140
defend the state with the 61
defend the thesis that in 69
defend the thesis that it 128
defend the thesis that no 42
defend the thesis that the 1005
defend the thesis that we 42
defend the throne and the 106
defend the walls and the 85
defend the widow and the 74
defied the order not to 46
defied the people and the 56
define an index for the 43
define in terms that do 42
define or point out the 40
define the basic set of 49
define the basis for the 214
define the class and the 173
define the exact area of 51
define the exact use of 41
define the field and the 74
define the field and to 91
define the first set of 49
define the goals and the 78
