damn what anybody thought of 83
dark host enemies enough to 41
data from several groups of 52
data from several levels of 42
data from several points in 61
data from several points of 61
data from several series of 43
data from several tables at 45
data from several tables in 54
data were gathered before the 90
data were gathered through the 128
data were secured through the 70
date from shortly before the 185
dating from shortly before the 126
days from receiving notice of 45
days have elapsed before the 109
days have elapsed without the 123
days having elapsed without the 66
days made himself master of 130
days prior written notice of 666
days prior written notice to 1133
days took private pupils as 40
days were chiefly passed in 60
days when everything seemed to 220
days when foreign travel is 51
days your praises should be 105
deaths from natural causes in 82
deaths will shortly exceed the 87
deep scar slashed across the 108
died from diseases caused by 90
died from gunshot wounds in 107
died from gunshot wounds to 73
died from natural causes at 93
died from natural causes in 236
died from natural causes on 49
died from natural causes or 363
died there shortly before the 41
diet will contain plenty of 40
dogs soon receive notice of 40
done more towards spreading the 42
done much towards building up 40
done much towards removing the 48
doom only because william the 47
door five minutes before the 57
down four hundred crowns of 70
down from unknown periods in 66
down into comfort enough to 46
down into smaller groups of 293
down into smaller groups to 140
down into smaller pieces by 106
down into smaller pieces of 116
down into smaller pieces so 44
down into smaller pieces to 56
down their stellar virtue on 95
drag heavy weights pinned to 45
draw their private swords in 55
drug side effects should be 46
duct tape wrapped around the 120
duly bore witness before the 123
during deep arterial injury in 72
during good behavior instead of 120
during some country ramble it 79
during their advance through the 101
during their descent through the 136
during their earliest stages of 55
during their journey across the 192
during their journey mention the 64
during their journey through the 840
during their official visits to 53
during their passage across the 453
during their passage through an 43
during their passage through it 171
during their passage through the 6359
during their periodic visits to 67
during their regular visits to 96
during their sojourn through the 45
during their transit across the 102
during their transit through the 564
during their travels around the 71
during their travels through the 170
