dagger her 50 dagger his 43
dainty her 43 damage this 50
damage men 44 damage use 68
damage all 41 damage this 50
damage any 67 damage her 79
damage him 44 damage his 412
damage its 61 damage our 221
damage them 295 damage his 141
damage any 175 damage his 45
damage our 95 damage death 50
damage far 61 damage his 95
damage one 126 damage that 44
damage them 146 damage then 47
damage this 284 damage two 58
damage that 110 damage this 195
damage both 74 damage that 42
damage this 54 damage all 84
damage any 466 damage both 221
damage her 306 damage him 74
damage his 412 damage its 83
damage one 161 damage our 438
damage that 152 damage them 305
damage this 213 damned lion 60
damsel her 44 damsel her 68
damsel any 40 dancer had 84
dancer was 41 dances its 74
dances his 134 dangers using 40
dangers and 69 dangers this 99
dangers any 64 dangers his 40
dangers our 51 dangers this 65
dangers fear 49 dangers him 82
darker his 57 darker any 44
darker his 57 darker had 88
darted rear 105 dashed his 146
dashed his 60 dashed had 57
dashes set 66 dawned his 74
dazzling that 43 dealers had 104
dearest all 282 dearest men 188
debate all 129 debate all 403
debate any 105 debate bring 132
debate for 226 debate for 341
debate long 48 debate for 172
debate for 69 debate all 80
debate his 128 debtor her 60
debtor pay 141 decade was 130
decade was 104 decade new 82
decade his 56 decade era 59
decade use 129 decent one 58
decent not 138 decent with 48
decent was 42 decide its 1123
decide war 449 decide that 77
decide can 50 decide can 45
decide act 153 decide bring 75
decide deal 546 decide get 278
decide put 106 decide set 56
decide use 1586 decide can 47
decide how 86 decide bad 63
decide each 398 decide its 48
decide them 288 decide use 41
decide can 151 decide due 100
decide too 119 decide can 68
decide was 61 decide all 43
decide any 98 decide each 1232
decide her 105 decide his 551
decide its 424 decide one 214
decide our 260 decide that 835
decide them 74 decide this 1197
decide how 710 decide add 57
decide ask 93 decide bet 54
decide bid 133 decide buy 282
decide pay 640 decide put 152
decide say 206 decide tax 41
decide use 82 decide are 155
decide can 130 decide how 66
decide his 158 decide are 69
decide not 87 decide too 52
decide them 126 decide his 45
decide them 115 decide all 102
decide any 50 decide not 359
decide one 75 decide too 59
decide get 61 decide buy 89
decide get 126 decide see 41
decide try 67 decide use 92
decide its 97 decide that 61
decide his 94 decide job 71
decide buy 44 decide see 46
decide use 91 decide our 55
decide each 73 decide add 54
decide get 40 decide use 70
decide add 221 decide buy 187
decide get 368 decide put 63
decide read 42 decide run 41
decide see 207 decide try 230
decide use 498 deciding its 343
deciding war 53 deciding deal 307
deciding get 81 deciding use 418
deciding each 72 deciding any 57
deciding each 396 deciding his 102
deciding its 77 deciding one 102
deciding our 62 deciding that 51
deciding this 153 deciding two 42
deciding how 147 deciding ask 79
deciding bet 44 deciding bid 95
deciding buy 184 deciding pay 388
deciding put 63 deciding say 136
deciding use 46 deciding and 56
deciding use 60 decked all 44
decree god 227 decree its 48
decree his 53 decree all 46
deduct his 83 deduct its 53
deeded his 68 deemed all 48
deemed his 69 deeper with 68
deeper with 69 deeper real 103
deeper own 47 deeper his 182
deeper six 124 deeper his 51
deeper his 130 deeper our 42
deeper any 249 deeper his 109
deeper our 40 deeper see 46
deeper had 70 deeper was 41
deeply his 82 deeply his 143
deeply any 58 deeply has 43
deeply get 48 defame with 51
defeats death 104 defect his 129
defect all 40 defend his 63
defend all 61 defend dew 75
defend heat 59 defend sun 51
defend was 281 defend our 45
defend his 62 defend our 68
