deciphered the rosetta stone in 40
deductible in computing either the 54
defendants in capital cases to 43
defendants in custody shall be 46
defendants is brought within the 45
deficiency is brought about by 55
deficiency is usually found in 50
deficiency of arterial blood in 64
deficiency of calcium salts in 76
definitions of certain types of 56
definitions of liberty ought to 76
definitions of poverty based on 55
definitions of religion given by 42
definitions of several types of 46
deformation or rupture within the 59
degradation in quality which the 49
degradation is brought about by 92
degradation of everything human in 49
degradation of females could be 53
denouement is brought about by 262
denouement is brought about in 43
department is located within the 43
department is usually headed by 137
department is usually under the 217
department of finance under the 202
department of justice under the 58
department of letters which he 52
department of letters which of 66
department of printed books in 82
department of science known as 43
department of science which he 72
department of science which is 75
department or division within an 59
department or division within it 46
department or division within the 171
department to inquire about the 44
dependence of liberty shall be 203
dependence of married women on 92
dependence of nervous action on 43
dependence of poverty while we 74
dependence of quantum yield on 112
dependence on certain kinds of 68
dependence on certain types of 46
dependence on foreign loans to 43
dependence on foreign trade as 117
dependence on foreign trade in 108
dependence on foreign trade is 305
deployment of certain types of 103
deportation in private hands or 43
depositary of judicial power in 167
depository of judicial power in 47
depreciated the triumph after it 60
depreciation is usually based on 51
depreciation of exchange rates in 44
deprivation of freedom shall be 138
deprivation of liberty could be 52
deprivation of liberty shall be 179
deprivation of liberty under the 147
deprivation of liberty which is 101
deprivation of liberty which the 86
deprivation of liberty within the 242
deprivation of liberty would be 45
description he himself gives of 52
description in general terms of 268
description in medical books of 108
description is largely based on 206
description is usually based on 43
description of carriage waiting to 69
description of cassius might be 54
description of certain forms of 90
description of certain kinds of 168
description of certain parts of 64
description of certain types of 226
description of himself which he 44
description of language which is 47
description of lexical units in 45
description of measures taken to 50
description of persons liable to 42
description of persons within the 105
description of persons would be 41
description of several cases of 80
description of several forms of 48
description of several kinds of 110
description of several parts of 43
description of several types of 359
description of vehicle known in 229
designated as national parks or 85
designated by cabinet order as 86
designated in general terms as 130
designated the federal bureau of 40
designated the national anthem of 42
designates the highest grade of 82
designates the largest class of 88
designates the private space in 80
designation as capital shall be 66
designation of certain lands of 88
designation of certain types of 89
destruction is brought about by 337
destruction is wrought under the 134
destruction of ancient works of 55
destruction of bacteria within the 64
destruction of british power in 277
destruction of capital ships or 63
destruction of certain cells in 72
destruction of certain forms of 75
destruction of certain kinds of 117
destruction of certain parts of 231
