dancers same 53 daybreak were 249
debated take 226 debated done 41
decades have 76 decided done 87
decided leave 66 decided make 90
decided move 46 decided seek 57
decided send 46 decided take 93
decided took 88 decided only 47
decided more 45 decided some 67
decided less 46 decided more 95
decided nothing 42 decided time 160
decided most 108 decided risk 61
decided last 52 decided take 710
decided done 101 decided grow 41
decided done 81 decided take 76
decided best 65 decided done 138
decided taking 54 decides take 493
decides done 402 decision clear 51
decision have 55 decision many 157
decision care 77 decision most 47
decision type 53 decision data 82
decision their 63 decision these 54
decision what 40 decision take 46
decision view 237 decision have 114
decision risk 75 decision turn 44
decision firm 913 decision union 51
decision more 220 decision made 254
decision made 227 decision clear 56
decision made 188 decision form 78
decision view 113 decision fate 48
decision part 67 declare their 47
declare done 43 declaring stay 67
decrease left 147 decrease work 66
deduced these 46 defects have 59
defending view 166 defending live 91
defending speak 46 defending view 280
defined self 47 degrees left 161
degrees some 56 deities good 94
delayed mind 69 deliver much 52
deliver gold 96 deliver much 99
demanding live 45 demanding your 44
demands your 259 dementia have 60
denoted lungs 57 density great 43
departing next 40 departs some 107
depending view 253 depending more 430
depending most 137 depending used 96
depending their 45 depending these 766
depending three 44 depends last 145
depends view 118 depends these 604
deposit lime 50 deposit your 101
deposit their 107 deposit their 49
deprive their 142 deprive their 455
deprive their 78 deprive their 155
deprive their 142 deprive their 51
depriving their 65 depriving their 86
depriving their 75 derived form 56
derived from 128 derived these 595
derived those 96 derived same 47
derived adding 92 derived means 65
derived great 40 derived iron 53
derived birth 87 derived game 89
derived from 160 derived land 68
derived land 70 derived these 64
derived well 40 derived land 116
derived troy 210 derived much 54
derived length 179 derived adding 43
derived means 77 derived from 52
derived body 46 derived only 65
derived rule 86 derives rule 79
descend save 42 descend take 73
descend left 127 descent from 103
deserts work 60 deserts more 53
deserve last 129 deserving well 147
deserving most 79 designs vast 73
designs like 334 despair hope 40
despair fell 53 despise much 55
despite have 54 despite their 52
despite said 56 despite have 86
destiny veil 73 destroy life 137
destroy self 62 details have 321
details base 91 details make 43
details what 69 detects wrong 48
develop next 44 develop their 126
develop these 43 develop ideas 51
develop life 130 develop days 65
develop days 79 develop years 108
develop years 45 develop thumb 61
develop self 110 develop what 279
develop view 76 develop self 1112
develop what 52 develop these 44
develop view 687 develop self 54
deviation these 49 devices seals 74
devices have 76 devolve case 111
devolving duty 49 devoted their 265
devoted work 41 devoted making 44
devoted reading 222 devoted their 87
devoted their 47 devoted these 42
devoted these 60 devoted bringing 90
devoted caring 105 devoted good 62
devoted making 310 devoted saving 106
devoted some 73 devoted such 109
devoted their 782 devoted these 191
devoted those 74 devoted trying 93
devoted what 58 devoted work 94
devoted last 40 devoted much 51
devotee host 65 devotes these 84
diabetes have 103 diagonal left 287
diameter back 444 diameter left 170
diameter have 44 diamonds sand 41
diamonds south 118 diamonds heaps 102
dictate peace 45 dictate done 235
differing these 88 differing those 69
differing some 86 differing their 109
differing role 44 differs have 87
differs these 323 differs those 43
differs having 311 differs many 137
differs some 187 differs have 111
differs less 538 differs more 195
differs only 376 differs size 132
diffuse left 174 dignity most 43
dilemma will 46 dilemma have 68
dimpled rosy 73 dinners their 43
directing single 111 directing done 137
directs done 95 discord those 66
discuss part 53 discuss role 42
discuss other 48 discuss view 104
discuss more 134 discuss take 183
discuss done 1877 discuss done 823
discuss done 62 discuss take 128
discuss best 68 discuss done 45
discuss view 184 disdain work 50
diseases many 52 diseases body 46
diseases have 67 disgust from 70
dislike prey 70 dislike their 94
disliking much 45 display left 119
display arms 67 display half 41
display some 55 display their 110
display very 46 display show 96
dispose think 74 dispute truth 58
dispute other 72 dispute these 87
dissent these 55 distant very 60
distant town 60 distant were 203
distant fire 41 distant same 45
distant nine 64 distant fate 57
distant from 40 distort self 42
disturb their 66 disturb case 171
ditties threw 43 divided race 308
divided well 41 divided back 97
divided left 67 divided many 42
divided same 90 divided young 40
divided means 41 divided size 49
divided more 208 divided nine 342
divided from 145 divided more 64
divided these 48 divided deep 222
divided many 80 divided from 48
divided land 50 divided more 157
divided nine 102 divided nine 68
divided many 154 divided four 45
divided three 50 divided time 277
divided work 86 divided much 79
divides form 169 divides form 72
divined mind 69 divines these 60
division half 144 divorce rise 169
divorce have 60 divorce down 83
divorce will 389 doctors hope 146
doctors take 107 doctors give 64
dollars these 80 dollars cost 61
dominion well 78 donated land 126
donated land 98 donated land 92
doubled tube 48 doubled home 55
doubted very 102 doubted many 102
doubted much 278 dragged left 117
dragged snow 52 drenching fall 197
dressed fine 46 drifted join 50
drivers have 137 drizzling fall 1542
drizzly fall 40 dropped town 41
dropped four 42 dropped fifth 112
dropped last 112 dropped third 172
dropped five 55 dropped three 53
dropped north 134 dropped pearl 41
dropped their 188 dropped join 56
dropped many 43 dropped sale 75
drowned ship 96 dulness much 186
duration made 112 dwellings logs 59
dwellings wood 41 dwellings their 67
dynamic like 89 dynasty have 43
