sac and amniotic fluid 142
sad and absorbing story 94
sad and doleful state 159
sad and dreadful tidings 47
sad and ghostly beauty 52
sad and measured tones 57
sad and painful scene 53
sad and painful sight 73
sad and painful story 99
sad and pathetic about 48
sad and pathetic sight 40
sad and pathetic story 51
sad and pitiful sight 57
sad and ruffians dance 61
sad and sadness merry 53
sad and sickening sight 41
sad and sterile region 49
sad and stifled warmth 97
sad and unhappy about 53
sad and unworthy marks 54
sad and wistful smile 59
sad and worried about 276
sad but familiar story 49
sad seal national anthem 72
sang and clapped hands 75
sang and cracked jokes 63
sang and recited poetry 138
sang for several hours 79
sang its funeral dirge 42
sang our national anthem 228
sat and brooded about 48
sat and chatted about 624
sat and chatted under 50
sat and chatted until 120
sat and chatted while 80
sat and debated under 41
sat and laughed until 40
sat and studied torah 46
sat and watched billy 41
sat and watched every 111
sat and watched people 144
sat and watched quite 40
sat and watched until 195
sat and watched while 564
sat and worried about 93
sat but himself alone 46
sat for endless hours 94
sat for fifteen months 40
sat for preparing bills 109
sat for several hours 1412
sat for several months 216
sat for several terms 69
sat for several weeks 166
sat for thirteen hours 47
sat with clasped hands 711
sat with crossed knees 59
sat with knitted brows 256
saw all perishing alike 87
saw and admired every 215
saw and several nails 180
saw and touched jesus 75
saw few familiar faces 42
saw her beloved child 52
saw her beloved father 135
saw her eyelids droop 101
saw her guardian sitting 52
saw her husband after 106
saw her husband again 876
saw her husband alive 136
saw her husband alone 44
saw her husband cross 85
saw her husband drive 42
saw her husband enter 282
saw her husband growing 44
saw her husband looking 124
saw her husband march 45
saw her husband naked 75
saw her husband posting 132
saw her husband running 109
saw her husband seated 54
saw her husband sitting 427
saw her husband staring 51
saw her husband start 118
saw her husband still 65
saw her husband talking 111
saw her husband treating 44
saw her husband waiting 40
saw her husband walking 170
saw her kindred trees 118
saw her mastheads above 145
saw her parents again 268
saw her parents sitting 69
saw her recreant lover 81
saw her several months 65
saw her several times 1898
saw her several weeks 40
saw her shortly after 143
saw her wandering about 50
saw her youngest child 48
saw him several months 108
saw him several times 5245
saw him several weeks 81
saw him shortly after 533
saw him strolling about 134
saw him visibly relax 50
saw him wandering about 180
saw his adopted father 65
saw his altered looks 72
saw his beloved fanny 96
saw his beloved mother 64
saw his country again 149
saw his cousins sitting 47
