sad news reached england 50
sang their drumming chorus 50
sap from tender shoots 120
sap from various plants 57
sap what little strength 40
sat down amidst cheers 54
sat down before anyone 40
sat down before calais 88
sat down before naples 104
sat down before newark 54
sat down before ninety 87
sat down before oxford 89
sat down before quebec 118
sat down before replying 77
sat down before salsas 55
sat down before vienna 42
sat down behind another 93
sat down behind closed 123
sat down beside another 219
sat down beside claire 57
sat down beside crabbe 168
sat down beside johnny 48
sat down beside joseph 42
sat down beside madame 79
sat down beside maggie 59
sat down beside michael 158
sat down beside rachel 50
sat down beside robert 47
sat down gently beside 51
sat down gingerly beside 52
sat down heavily across 64
sat down heavily before 44
sat down heavily behind 218
sat down heavily beside 1290
sat down slowly beside 68
sat down wearily beside 84
sat down without another 234
sat down without bothering 40
sat down without further 441
sat down without greeting 87
sat down without lighting 40
sat down without noticing 74
sat down without offering 61
sat down without removing 168
sat down without replying 78
sat down without uttering 265
sat like graven images 72
sat their horses watching 42
sat there another minute 64
sat there calmly reciting 68
sat there drinking coffee 259
sat there flipping through 47
sat there mostly silent 47
sat there without stirring 79
sat there without uttering 63
sat very silent beyond 40
saw blue lights flashing 71
saw cold boiled babies 40
saw coming slowly toward 53
saw coming through france 64
saw dark clouds gathering 121
saw great crowds around 99
saw live vermin crawling 47
saw many strange sights 615
saw many whales sporting 54
saw maud muller standing 158
saw more clearly through 106
saw nothing better before 56
saw nothing clearly except 44
saw only dismal tracts 42
saw some bluish object 52
saw some little violets 66
saw some mighty pretty 88
saw some pretty little 65
saw some sharks astern 45
saw some strange sights 86
saw some united states 85
saw such swimming before 69
saw their eldest sister 41
saw their flanks ripped 90
saw their houses burned 77
saw their little houses 66
saw their little sister 44
saw their market shares 83
saw their sashes untied 161
saw their wooden houses 48
saw there standing beside 72
saw three female indians 78
saw three indians standing 48
saw very clearly through 79
saw very little beyond 42
saw very little chance 159
saw very little combat 93
saw very little effort 40
saw very little except 101
saw very little fighting 307
saw very little indeed 63
saw well enough already 49
saw were better worded 51
