sack expedition of fifteen 46
safe anchorage to vessels 98
safe companions to liberty 92
safe mechanism to prevent 60
safe navigation of vessels 231
safe standards of conduct 65
safe transition to freedom 45
said agreement on general 247
said americans in general 50
said appellant is legally 81
said assistant or justice 41
said association is located 139
said attribute is eternal 58
said collector of customs 164
said commission by petition 212
said commission to prepare 81
said committee do appoint 45
said committee to consist 125
said committee to examine 76
said committee to inquire 61
said committee to prepare 48
said committee to receive 54
said constance to herself 41
said convention as amended 161
said convention in respect 96
said cornelius to himself 113
said defendant on account 66
said defendant to deliver 55
said districts an officer 217
said estimates as relates 429
said frederick to himself 56
said gradually to decrease 92
said hopefully to herself 78
said indenture of bargain 275
said inspector of buildings 260
said irritably to himself 52
said literally the following 131
said naturally to possess 62
said ordinance as amended 58
said paragraph the following 75
said petitioner be granted 55
said plaintiff do recover 169
said precincts of virginia 50
said precisely the reverse 40
said principal be present 56
said privilege of transit 43
said repeatedly to himself 47
said resolution as amended 52
said resolution of congress 73
said secretary of defense 168
said sometimes to colonel 45
said sometimes to contain 54
said sometimes to destroy 44
said sometimes to possess 57
said sometimes to produce 132
said statement of account 53
said subsection the following 79
said subsidies of tonnage 213
said territory of parents 118
said territory or dominion 106
said throughout the country 109
sale agreement is entered 45
sale agreement is usually 45
sale contained the following 160
sale throughout the country 683
salt absorption by excised 111
salt absorption by storage 42
salt deposited in ancient 44
salt dissolved in alcohol 86
salt insoluble in alcohol 149
salt molecules in solution 49
salt necessary to produce 44
salt throughout the country 78
same abundance of extreme 42
same abundance of material 48
same accusation is brought 54
same accusation is leveled 57
same accusation is repeated 71
same adjective is applied 104
same admixture of vexation 44
same advantage as regards 44
same advantage in examining 84
same advantage in respect 62
same advantage in returning 48
same advantage of nearness 136
same afternoon he arrived 40
same afternoon the british 103
same afternoon the captain 66
same afternoon to discuss 53
same afternoon we arrived 41
same afternoon we started 73
same afternoon we visited 47
same allowance as members 40
same ambiguity is evident 58
same ambiguity is present 401
same appearance of extreme 53
