saddest part about this 77
saddled their mules and 85
saddles were taken off 157
sailors call every man 68
sailors came gaily out 73
sailors during world war 166
sailors from ships that 83
sailors here after this 108
sailors went below and 41
sailors were armed with 159
sailors were cared for 60
sailors were dancing and 87
sailors were found lying 43
sailors were looking for 69
sailors were taken off 93
sailors were thrown out 232
sailors were waiting for 77
salient fact about him 56
salient fact about our 54
salient fact about them 81
salient fact about this 140
salient when people are 49
sallied forth again and 76
sallied forth again with 88
sallied forth alone and 40
sallied forth armed with 157
sallied forth every day 100
sallied forth under two 50
saloons were voted out 173
saluted their leader with 42
salutes from ships and 100
salutes were fired and 333
salutes were fired with 47
salutes were given and 55
sampled data model for 193
sampled four times per 140
sampled more often than 146
sampled three times per 99
samples even though they 73
samples from above and 83
samples from healthy and 100
samples from japan and 90
samples from lakes and 55
samples from people who 186
samples from people with 110
samples from sites that 93
samples from sites with 68
samples from urban and 58
samples from wells and 96
samples from which they 453
samples from which you 62
samples from within and 42
samples from within each 88
samples from women who 42
samples from women with 247
samples have found that 299
samples have shown that 2176
samples more often than 50
samples three times with 52
samples upon which they 79
samples were ashed and 47
samples were coded and 104
samples were cured for 145
samples were dated using 55
samples were doped with 337
samples were drawn and 619
samples were drawn are 349
samples were drawn for 790
samples were drawn off 182
samples were drawn using 73
samples were drawn was 83
samples were drawn with 179
samples were dried and 719
samples were dried for 419
samples were dried with 77
samples were fixed and 142
samples were fixed for 159
samples were fixed with 475
samples were found for 69
samples were found not 54
samples were found with 47
samples were fused with 71
samples were grown using 112
samples were grown with 155
samples were heated and 145
samples were heated for 539
samples were heated with 247
samples were large and 81
samples were lower than 249
samples were mixed and 312
samples were mixed for 97
samples were mixed with 1338
samples were saved for 79
samples were sealed and 91
samples were sealed with 71
samples were small and 462
samples were split and 89
samples were spread out 67
samples were taken and 4073
samples were taken are 480
samples were taken both 167
samples were taken but 83
samples were taken each 307
samples were taken for 6600
samples were taken had 57
samples were taken near 523
samples were taken not 45
samples were taken off 188
samples were taken one 285
samples were taken out 1526
samples were taken per 204
samples were taken that 71
samples were taken two 179
samples were taken using 608
samples were taken was 255
samples were taken with 2686
samples were thawed and 494
sanction from reason for 63
sanction upon which its 194
sandals were taken off 67
sandals were worse yet 51
sanguine view which they 44
sarcasm took horse for 42
sarcoma cell lines and 50
satchel hanging round his 40
satiated their hunger and 120
satiated their thirst for 110
satisfy four hungry men 51
satisfy just about any 114
satisfy many needs and 66
satisfy many people who 43
satisfy most people that 114
satisfy most people who 43
satisfy other needs and 65
satisfy other needs than 51
satisfy other people than 55
satisfy some method and 93
satisfy some needs and 60
satisfy such debts and 65
satisfy such needs and 88
satisfy their craving and 55
satisfy their craving for 2009
satisfy their drive for 69
satisfy their faiths with 61
satisfy their goals and 74
satisfy their greed and 331
satisfy their greed for 299
satisfy their hearts and 43
satisfy their hopes and 60
satisfy their hunger and 1045
satisfy their hunger but 131
satisfy their hunger for 1281
satisfy their hunger they 71
satisfy their hunger with 969
satisfy their longings for 153
satisfy their lusts and 73
satisfy their lusts with 60
satisfy their minds and 77
satisfy their minds that 210
satisfy their minds with 55
satisfy their moral and 77
satisfy their needs and 5366
satisfy their needs are 352
satisfy their needs but 101
satisfy their needs can 40
satisfy their needs for 3377
satisfy their needs than 51
satisfy their needs they 53
satisfy their needs with 470
satisfy their people and 40
satisfy their pride and 94
satisfy their quest for 252
satisfy their reason and 52
satisfy their search for 66
satisfy their social and 341
satisfy their souls with 86
satisfy their taste and 50
satisfy their taste for 461
satisfy their thirst and 172
satisfy their thirst for 1502
satisfy their thirst with 169
satisfy their wants and 1182
satisfy their wants for 270
satisfy their wants than 58
satisfy their wants that 41
satisfy their wants with 190
satisfy their whims and 111
satisfy their wives and 42
satisfy their yearning for 254
satisfy these goals and 44
satisfy these needs and 1043
satisfy these needs are 273
satisfy these needs can 93
satisfy these needs for 111
satisfy these needs may 61
satisfy these needs that 111
satisfy these needs was 41
satisfy these needs with 93
satisfy these people with 56
satisfy these wants and 124
satisfy these wants are 207
satisfy those looking for 84
satisfy those needs and 693
satisfy those needs any 109
satisfy those needs are 118
satisfy those needs for 78
satisfy those needs that 312
satisfy those needs with 114
satisfy those people who 147
satisfy those wants and 228
satisfy those wants are 74
satisfy those wants for 76
satisfy user needs and 115
satisfy your craving for 621
satisfy your craving with 45
satisfy your father and 53
satisfy your hunger and 337
satisfy your hunger but 45
satisfy your hunger for 310
satisfy your hunger with 213
satisfy your minds that 104
satisfy your needs and 612
satisfy your needs for 231
satisfy your needs with 55
satisfy your quest for 51
satisfy your taste for 149
satisfy your thirst and 55
satisfy your thirst for 305
satisfy your thirst with 69
satisfy your wants and 97
sauteed duck breast with 117
