sacrificed miss jemmy quite 51
sacrificed their lives rather 257
sacrificed their lives under 52
sacrificed their lives while 165
sacrificed their whole lives 121
sacrifices have taken place 68
sacrifices took place either 40
sacrifices were every where 53
sacrificial lamb whose blood 51
safeguards were thrown about 65
satellites into outer space 243
satellites into polar orbit 57
satellites will either appear 41
scientific data which could 94
scientific data which would 63
scientific fact which makes 58
scientific mind never could 58
scientific theory about human 82
scientific theory falls within 53
scientific theory gives reason 65
scientific theory which could 60
scientific theory which would 57
scientific truth about human 42
scientific truth about which 116
scientific work takes place 79
scientific work which could 49
scientific work which would 71
scientists have asked about 44
scientists have found quite 40
scientists have known about 190
scientists have known since 55
scientists have never found 95
scientists have often found 77
scientists have often noted 73
scientists have often tried 74
scientists have since found 49
scientists knew anything about 52
scientists like linus pauling 43
scientists like roger bacon 79
scientists were fully aware 51
scientists were learning about 41
scientists were right about 43
scientists were still arguing 57
scientists were still working 61
scientists were talking about 192
scientists were thinking about 62
securities laws would apply 53
sedulously wait every morning 56
segregated along class lines 134
segregated along ethnic lines 374
segregated along racial lines 1191
segregated from white people 43
segregation along class lines 93
segregation along ethnic lines 255
segregation along racial lines 559
sentiments have taken place 61
sentiments those lords which 75
sentiments upon others under 124
sentiments were later echoed 63
sentiments were still strong 84
separations have taken place 132
seriousness were rather feared 88
settlement have taken place 74
settlement having taken place 47
settlement some fifty miles 51
settlement some thirty miles 66
settlement took place about 112
settlement took place after 93
settlement took place under 88
settlement took place until 92
settlement took place within 61
settlement were still pending 64
shipwrecks have taken place 54
shouldered their empty tubes 249
shouldered their packs again 45
signatures were added later 80
simplicity into which honor 53
sisterhood among black women 51
skirmishes have taken place 272
skirmishes having taken place 52
skirmishes took place daily 55
skirmishes took place under 40
skirmishes took place which 56
snowflakes were still falling 63
solidarity along class lines 77
solidarity among black people 112
solidarity among black women 56
solidarity among white people 51
solidarity among working people 217
spacecraft into lunar orbit 102
spacecraft into orbit about 56
spacecraft into outer space 57
specialized free nerve endings 56
spectacles were cruel looking 61
spendthrift been wasting money 44
spontaneous cure takes place 261
spontaneous healing takes place 76
stabilizes your blood sugar 66
standpoint from which alone 163
standpoint from which every 55
statements made about jesus 48
statements made about people 58
statements made about women 47
statements made above about 401
statements made above apply 74
statements made above refer 49
statements made while under 70
statements were given under 49
statements when talking about 51
statistics will prove anything 48
stereotyped ideas about women 137
stimulated your thinking about 62
stimulates free nerve endings 119
stimulates more rapid growth 59
stimulation during human sleep 345
stimulation upon sucking rhythm 108
strategies have taken place 41
strategies into action plans 135
stratified along class lines 496
stratified along ethnic lines 200
stratified along racial lines 316
streetcars were running again 52
streetcars were still running 72
structural gene which codes 64
structured along class lines 399
structured along ethnic lines 469
structured along party lines 150
structured along racial lines 403
structured their daily lives 51
structures from simian virus 55
structures have taken place 86
structures into which people 56
structures were about thirty 74
structures were built after 108
structures were built under 58
structures were built within 83
structures were first built 54
structures were found which 117
structures were found within 75
structures were often built 103
subdivided along ethnic lines 42
subdivided into cases where 99
subdivided into eight equal 191
subdivided into eight major 43
subdivided into eight parts 459
subdivided into eight types 88
subdivided into equal parts 637
subdivided into parts which 218
subdivided into seven bales 65
subdivided into seven major 161
subdivided into seven parts 244
subdivided into seven types 43
subdivided into seven units 100
subdivided into sixty equal 211
subdivided into small cells 106
subdivided into small farms 318
subdivided into small parts 112
subdivided into small plots 464
subdivided into small rooms 102
subdivided into small units 672
subdivided into types based 102
subdivided into units which 118
subdivision into small farms 254
subdivision into small units 45
subjective meaning which seems 153
subjective self might alone 110
submarines were playing havoc 42
submarines were sinking ships 163
subsidence having taken place 146
substances also takes place 48
substances from nerve endings 63
substances from waste sites 118
substances from waste water 52
substances from which paper 42
substances like amino acids 112
substances like fatty acids 53
substances were found which 77
substantial cost savings could 142
substantial cost savings would 55
substantial form which gives 74
substitute bill which would 177
substitute other terms which 72
substratum upon which rests 51
subtracted from every score 172
subtracted from every value 72
subtracted from gross earnings 112
subtracted from gross sales 293
subtracted from total binding 243
subtracted from total costs 72
subtracted from total earnings 58
subtracted from total gross 54
subtracted from total sales 186
subtracted from unity gives 41
subtracted from value added 48
subtracted from white light 713
successful from every point 857
successions have taken place 51
successive mobs until chaos 44
successors have never ceased 44
sufficient hard drive space 70
sufficient time within which 237
suffocation from close packing 45
suggestions from others about 70
suggestions have borne fruit 51
suggestions made above about 64
suggestions were every where 55
suggestions were never acted 41
summarizes some facts about 56
superficial view might appear 55
superiority over black people 46
superiority over brute force 63
superiority over every rival 104
superiority over others based 54
superiority over others could 53
superiority over others which 84
superiority over women which 188
supervision over every phase 42
supervision over local units 51
supplement must first agree 94
supplement their meager diets 183
supplement their meager earnings 207
supplement their meager wages 237
supporters were fully aware 51
supporters were taken aback 43
supportive care alone after 151
supposedly took place after 44
suppuration have taken place 245
suppuration having taken place 364
surrounded their daily lives 46
suzerainty over large parts 115
synthesized from amino acids 2085
synthesized from fatty acids 464
synthesized into fatty acids 45
systematic theory which holds 70
