sad spectacle presented by 79
sat motionless throughout the 61
sat perfectly motionless in 46
sat scattered throughout the 76
saw excellent husbandry on 119
saw ourselves compelled to 113
saw ourselves reflected in 51
saw political advantage in 355
saw president roosevelt in 51
saw president roosevelt on 67
saw sometimes exercised on 94
saw themselves abandoned by 167
saw themselves abandoned to 96
saw themselves committed to 52
saw themselves compelled by 53
saw themselves compelled to 1218
saw themselves condemned to 158
saw themselves defrauded of 44
saw themselves despoiled of 65
saw themselves endangered by 47
saw themselves increasingly as 203
saw themselves powerless to 41
saw themselves primarily as 2283
saw themselves primarily in 53
saw themselves reflected as 89
saw themselves reflected in 1270
saw themselves relegated to 69
saw themselves subjected to 79
saw themselves supported by 49
say automatic equipment to 44
see additional discussion in 138
see additional discussion of 61
see assistant secretary of 119
see australian dictionary of 353
see australian institute of 263
see california institute of 123
see chartered institute of 216
see countless instances of 51
see different dimensions of 73
see different wavelengths of 45
see discussion elsewhere in 63
see excellent specimens of 44
see executive committee of 96
see expressed materially in 42
see extensive discussion in 87
see framework convention on 197
see jerusalem encircled by 135
see ourselves compelled to 179
see ourselves connected to 55
see ourselves primarily as 291
see ourselves reflected as 109
see ourselves reflected in 2379
see political advantage in 112
see president roosevelt in 44
see president roosevelt on 46
see president roosevelt to 92
see repeatedly throughout the 52
see scattered throughout the 104
see statutory employees in 71
see themselves abandoned by 114
see themselves commanded by 47
see themselves committed to 52
see themselves compelled to 371
see themselves condemned to 109
see themselves connected to 90
see themselves denounced as 63
see themselves distanced by 52
see themselves increasingly as 353
see themselves oppressed by 40
see themselves portrayed as 187
see themselves portrayed in 176
see themselves portrayed on 42
see themselves primarily as 4864
see themselves primarily in 169
see themselves reflected as 207
see themselves reflected in 5280
see themselves reflected on 143
see themselves subjected to 70
see themselves supported by 73
see theological dictionary of 57
set arbitrary standards of 117
set different standards of 148
set exemplary standards of 44
set intervals throughout the 237
set political prisoners at 102
set reasonable standards of 116
set themselves carefully to 43
set themselves faithfully to 80
set themselves instantly to 168
set themselves patiently to 125
set themselves purposely to 55
sex determining mechanism in 180
sex determining mechanism is 56
sex determining mechanism of 76
sex offenders committed to 76
sex offenders convicted in 59
sex offenders convicted of 85
sex offenders sentenced to 56
sex pheromone component of 163
sex pheromone production in 603
she accordingly preserved the 61
she accordingly proceeded to 63
she afterward described as 74
she afterward explained to 62
she afterward expressed it 86
she allegedly committed the 44
she altogether unwittingly to 52
she carefully deposited at 46
she carefully descended the 93
she carefully described the 40
she carefully explained the 80
she carefully explained to 210
she carefully inspected the 104
she carefully negotiated the 49
she carefully positioned the 40
she carefully preserved the 84
she carefully preserves the 53
she carefully separated the 58
she carefully unwrapped the 118
she cautiously descended the 49
she certainly continued to 46
she certainly possessed the 70
she certainly succeeded in 107
she commented favorably on 68
she conducted fieldwork in 66
she considers important in 86
she considers important to 78
she considers necessary in 102
she considers necessary or 115
she considers necessary to 318
she continued gradually to 85
she continued obstinate in 91
she continued throughout the 190
she continues throughout the 41
she correctly predicted the 46
she developed expertise in 44
she developed paralysis of 45
she developed shortness of 51
she displayed throughout the 56
she elegantly expressed it 42
she evidently perceived he 55
she evidently preferred to 57
she evidently struggled to 94
she exhibited regularly at 82
she exhibited regularly in 45
she expressed amazement at 74
she expressed gratitude to 94
she expressed willingness to 73
she expresses gratitude to 55
she faithfully performed the 47
she generally contrived to 341
she generally contrives to 115
she generally preferred to 93
she generally submitted to 44
she generally succeeded in 233
she graciously consented to 209
she gradually developed an 50
she gradually developed the 72
she gradually recovered the 131
she gradually slackened in 126
she gradually succeeded in 87
she gradually succumbed to 76
she instantly dismissed it 72
she instantly perceived the 81
she instantly proceeded to 46
she instantly regretted it 76
she instantly regretted the 86
she invariably presented to 68
she invariably succeeded in 57
she maintains throughout the 81
she naturally concluded it 76
she naturally preferred to 67
she passively submitted to 45
she patiently explained the 66
she patiently explained to 136
she patiently submitted to 154
she perchance underwent an 239
she perfectly conceived the 50
she perfectly perceived the 49
she performed regularly at 56
she performed throughout the 46
she playfully expressed it 62
she possessed knowledge of 58
she possessed qualities of 65
she possesses knowledge of 50
she presently dissolved in 92
she pretended ignorance of 56
she proceeded instantly to 47
she proceeded leisurely to 48
she professed ignorance of 75
she professes precisely the 52
she prorogued parliament in 68
she recovered possession of 82
she repeatedly attempted to 111
she requested permission of 53
she requested permission to 683
she responded correctly to 79
she responded favorably to 113
she responded instantly to 61
she skilfully contrived to 42
she solicited permission to 57
she sometimes attempted to 70
she sometimes complains of 95
she sometimes contrived to 48
she sometimes preferred to 58
she sometimes presented to 69
she sometimes pretended to 106
she sometimes regretted the 99
she sometimes succeeded in 89
she sometimes surprised in 52
she sometimes whispered to 100
she struggled painfully to 44
she submitted passively to 118
she submitted patiently to 97
she succeeded admirably in 112
she succeeded perfectly in 41
she surprised everybody by 88
she uniformly testified the 65
she whispered excitedly to 95
she whispered hurriedly to 69
singing continued throughout the 124
sin whatsoever committed by 98
six additional companies of 65
six additional molecules of 49
six additional regiments of 57
six countries discussed in 91
six countries throughout the 61
six criminals condemned to 42
six different addresses in 81
six different charities in 108
six different companies in 50
six different companies of 41
six different conditions of 77
six different countries in 202
six different countries of 44
six different countries to 100
six different dimensions of 275
six different directions at 127
six different directions he 42
six different directions of 62
six different estimates of 205
six different instances of 44
six different messengers at 52
six different movements be 41
six different qualities of 257
six different sequences of 50
six different situations in 93
six different specimens of 113
six different varieties of 1452
six directors appointed by 59
six directors nominated by 51
six electoral districts in 45
six gentlemen disguised in 90
six important dimensions of 58
six insurance companies in 114
six principal provinces of 45
six principal varieties of 41
six relational operators in 101
six specimens collected by 106
son alexander succeeded to 123
son ferdinand furnished the 61
sum frequency component is 46
sum frequency generation in 216
