sack was almost empty 43
sacs and hollow bones 80
safe and decent housing 247
safe and decent place 143
safe and decent working 127
safe and direct route 56
safe and enduring basis 42
safe and forget about 64
safe and humane working 71
safe and inviting place 41
safe and looked after 239
safe and narrow orbit 101
safe and proper method 138
safe and proper place 353
safe and proper working 285
safe and sacred organ 156
safe and sacred place 108
safe and sacred space 105
safe and secret guard 41
safe and secret keeping 58
safe and secret place 431
safe and secure abode 52
safe and secure about 132
safe and secure after 80
safe and secure again 196
safe and secure basis 73
safe and secure feeling 148
safe and secure haven 210
safe and secure homes 51
safe and secure housing 125
safe and secure israel 42
safe and secure knowing 53
safe and secure learning 221
safe and secure lives 57
safe and secure method 78
safe and secure nation 49
safe and secure place 1575
safe and secure route 54
safe and secure setting 310
safe and secure space 73
safe and secure state 74
safe and secure under 374
safe and secure until 158
safe and secure where 64
safe and secure while 600
safe and secure within 682
safe and secure working 371
safe and secure world 600
safe and simple method 385
safe and special place 59
safe and stable basis 603
safe and stable place 109
safe and stable world 97
safe and unerring guide 136
safe and unsafe zones 57
safe and useful guide 246
safe and useful method 95
safe and useful warning 48
safe and without danger 89
safe and without risks 1165
safe are nuclear power 50
safe for another night 218
safe for another season 43
safe for another world 72
safe for decent people 160
safe for drinking water 140
safe for infant feeding 53
safe for little girls 43
safe she looked round 59
safe with gentle jesus 97
sage and rabbit brush 370
sage and solemn tones 76
sage and solemn tunes 1115
said and almost added 42
said and looked about 142
said and looked again 71
said and looked round 47
said and nodded again 58
said and paused again 101
said and quoted above 43
said and reached under 47
said and sighed again 73
said and smiled again 415
said and smiled sadly 52
said and smiled shyly 55
said and smiled weakly 68
said and talked about 227
said and taught about 102
said and thought about 1623
said and thought under 74
said and turned again 44
said and turned round 145
said and waited until 162
said and waited while 53
said and without waiting 109
said and yawned again 66
said but little about 908
said but little until 44
said but little while 97
said don sancho panza 49
said for almost every 109
said her amazed father 48
said her brother would 75
said her cousin would 40
said her family would 112
said her sister flora 43
said her sister would 50
said his arrows never 49
said his attack might 81
said his brother could 41
said his brother george 70
said his brother would 145
said his chosen motto 104
said his church would 44
said his client would 139
said his estate would 50
said his family could 41
said his family lived 55
said his family owned 48
said his family would 156
said his famous words 43
said his forces would 66
said his friend major 73
said his friend would 107
said his little piece 128
said his master hired 150
said his master would 196
said his office would 149
said his sister would 93
said his tailor would 47
said his troops would 80
said may partly appear 78
said net income shall 59
said new county shall 128
said new states until 52
said nor choose repeat 99
said nor thought anything 94
said not without reason 76
said old alison apart 50
said old morgan never 65
said one former senior 89
said one friday evening 45
said one person close 48
said one should never 319
said one source close 110
said one sunday evening 41
said one sunday morning 164
said one winter evening 52
said our learned guide 80
said real estate shall 876
said real estate under 108
said real estate until 170
said real estate which 98
said real estate would 89
said she almost never 70
said she always found 102
said she always liked 129
said she always loved 81
said she always tried 84
said she became aware 50
said she dreamed about 58
said she learned about 89
said she looked really 44
said she looked tired 130
said she needed money 132
said she needed space 40
said she should cross 40
said she should marry 101
said she should never 958
said she should sleep 75
said she should start 54
said she should write 186
said she simply could 268
said she surely would 41
said she talked about 182
said she thanked major 72
said she thought about 266
said she thought maybe 232
said she thought people 53
said she thought women 65
said she thought would 42
said she wanted anything 42
said she wanted money 69
said she wanted nancy 44
said she wanted people 48
said sir joshua child 46
said sir michael hicks 42
said sir oliver lodge 45
said sir philip shall 70
said sir robert cecil 86
said sir robert shall 54
said sir samuel evans 84
said sir walter scott 747
said sir william could 61
said sir william grant 64
said sir william jones 107
said sir william osier 40
said sir william petty 50
said sir william scott 546
said son william shall 42
said that africa would 55
said that albania would 41
said that almost anything 182
said that almost every 3040
said that another cause 44
said that another meeting 42
said that another party 44
said that another reason 224
said that another woman 95
said that anyone could 752
said that anyone found 44
said that anyone looking 40
said that anyone might 69
said that anyone wanting 69
said that anyone wishing 84
said that anyone would 112
said that austria could 70
said that austria would 220
said that barnes would 52
said that before about 133
said that before anything 51
said that before every 74
said that before joining 50
said that before learning 44
said that before meeting 55
said that before reaching 50
said that before verse 270
said that before world 78
said that behind every 466
said that beyond doubt 53
said that blacks could 153
said that blacks would 91
said that bodies never 41
said that brazil would 50
said that canada could 52
said that canada would 248
said that christ could 116
said that christ found 43
said that christ jesus 50
said that christ lived 47
said that christ never 72
said that christ shall 73
said that christ would 297
said that coffee would 53
said that common people 53
said that common sense 465
said that cortes would 55
said that courts could 55
said that daniel boone 90
said that dinner would 138
said that direct taxes 92
said that edmund burke 45
said that edmund could 40
said that elijah would 89
said that england could 276
said that england might 79
said that england ought 70
said that england would 783
said that english people 136
said that english poetry 88
said that english women 42
said that english would 72
said that enough times 54
said that equity would 45
said that ernest could 57
said that europe could 94
said that europe would 205
said that france could 426
said that france never 48
said that france ought 87
said that france would 1168
said that french people 51
said that french women 43
said that further study 59
said that gandhi would 58
said that global warming 224
said that greece could 41
said that greece would 79
said that hannah could 44
