sailors had caught a 57
salient had become a 40
sallied out through a 111
samples and showed a 42
samples has become a 46
samples per second x 62
samples that showed a 74
samurai who became a 62
sanction for violating a 117
sandals and carrying a 151
satisfy and retain a 47
satisfy him without a 66
satisfy them beyond a 56
satisfy them without a 57
satisfy you beyond a 149
savages now formed a 94
scandal had become a 59
scandal has become a 79
scenario can become a 47
scenario has become a 114
scenery had become a 47
scenery has become a 74
schemes for building a 159
schemes for founding a 66
schemes for securing a 102
schemes has become a 50
schemes that employ a 42
scholar and became a 140
scholar and teacher i 54
scholar had become a 92
scholar has become a 76
scholar has called a 343
scholar has termed a 102
scholar who became a 483
scholar who played a 138
scholar who writes a 62
schooling and became a 131
schooling and become a 82
schooling had become a 308
schooling has become a 570
schooling has created a 56
schooling has played a 43
schooling was becoming a 46
schools and became a 557
schools and become a 150
schools and becoming a 46
schools and created a 218
schools and issued a 63
schools and offers a 78
schools and opened a 69
schools and passed a 40
schools and played a 55
schools and through a 79
schools are adopting a 87
schools are already a 41
schools are always a 41
schools are becoming a 103
schools are merely a 53
schools are offering a 153
schools are simply a 40
schools are taught a 45
schools are without a 62
schools can afford a 47
schools can become a 144
schools can expect a 41
schools can obtain a 69
schools for almost a 109
schools for grades k 71
schools for training a 57
schools had become a 515
schools had created a 113
schools had formed a 47
schools had played a 77
schools had proved a 41
schools had reached a 167
schools has become a 1003
schools has caused a 74
schools has created a 275
schools has played a 54
schools has reached a 92
schools may become a 87
schools may charge a 49
schools not offering a 51
schools that charge a 60
schools that desire a 102
schools that enroll a 61
schools that follow a 73
schools that foster a 50
schools that served a 79
schools that taught a 65
schools thus became a 61
schools was always a 41
schools was becoming a 51
schools was itself a 57
schools was mainly a 73
schools was merely a 44
science and became a 330
science and become a 283
science and becoming a 68
science and created a 77
science and offers a 86
science and theology a 45
science and toward a 48
science are fighting a 68
science but merely a 82
science can become a 220
science for almost a 60
science for grades k 48
science goes through a 56
science had become a 715
science had created a 112
science had gained a 45
science had played a 72
science had reached a 445
science has always a 47
science has become a 2498
science has caused a 47
science has created a 532
science has gained a 97
science has learned a 104
science has opened a 81
science has played a 478
science has proved a 77
science has reached a 686
science may become a 136
science that offers a 61
science that unless a 43
science thus became a 47
science was already a 56
science was always a 67
science was becoming a 192
science was hardly a 42
science was indeed a 56
science was itself a 115
science was merely a 175
science was simply a 71
science was wholly a 65
scolded and called a 47
scooped for itself a 50
scratch and building a 43
scratch and design a 72
screamed and yelled a 44
screening for factor v 51
screening has become a 139
searched for almost a 43
searched for something i 64
searched for without a 237
seceded and became a 224
seceded and formed a 1662
seconds and reached a 75
seconds and reaches a 55
seconds and without a 53
secrecy had become a 79
secrecy has become a 84
sections are merely a 42
sections cut through a 138
sections each covering a 60
sections has become a 57
sections that follow a 100
sections that follow i 992
sectors has become a 113
sectors has created a 70
sectors that employ a 52
secular arm without a 61
secured for england a 241
secured for france a 170
secured for itself a 1636
secured for myself a 170
secured not merely a 57
secures for itself a 479
seedlings had reached a 51
segment has become a 80
segment that creates a 47
seignior was always a 62
selecting and adapting a 133
selecting and adopting a 132
selecting and applying a 547
selecting and arranging a 226
selecting and building a 135
selecting and defining a 279
selecting and dwelling a 51
selecting and lighting a 57
selecting and limiting a 95
selecting and managing a 247
selecting and ordering a 148
selecting and planning a 150
selecting and refining a 130
selecting and securing a 303
selecting and training a 690
senator had become a 45
senator who became a 75
sensors can detect a 79
sensors that detect a 76
seraglio and without a 75
serfdom and created a 49
serfdom had become a 67
sergeant had formed a 55
sergeant sat behind a 108
sergeant was carrying a 42
sergeant who became a 42
serpent has become a 48
servant and became a 91
servant and become a 81
servant and engaged a 41
servant but instead i 55
servant can become a 50
servant had become a 69
servant had placed a 95
