sadly proud gesture of 171
safer place because of 125
safer today because of 56
sailing fishing vessels of 259
sailing right against the 61
sailing route between the 122
sailing ships against the 110
sailing ships because of 130
sailing ships between the 43
sailing ships brought the 54
sailing ships capable of 110
sailing ships carried the 66
sailing ships delight the 40
sailing under letters of 671
sails black against the 41
saint could discern the 80
saint still honored in 55
saint whose history is 184
saint would confirm the 99
sales after deducting the 110
sales could increase by 48
sales force according to 99
sales force because of 128
sales force because the 52
sales force capable of 73
sales force depends on 55
sales force focused on 97
sales force trained to 43
sales growth because the 74
sales method focuses on 55
sales nearly doubled in 58
sales occur outside the 41
sales price because of 57
sales price because the 48
sales price between the 86
sales price charged by 81
sales price divided by 150
sales price exceeds the 638
sales price reduced by 100
sales price remains at 63
sales price results in 52
sales price variance is 230
sales price variance of 141
sales taxes amounting to 143
sales taxes applied to 45
sales taxes because of 84
sales taxes imposed by 246
sales taxes imposed on 268
sales under decrees of 46
sales would benefit the 44
sales would decline by 50
sales would decrease by 43
sales would increase by 347
sales would increase if 113
sales would increase in 49
sales would increase the 84
sales would increase to 173
salts which consist of 44
salts which contain an 61
salts which contain it 41
salts which contain no 53
salts which contain the 171
salts which increase the 256
salts which possess the 50
salts which produce the 45
sands which appeared to 55
sands which compose the 53
sands which covered the 43
sands which overlie the 57
sandy banks against the 47
sandy coves divided by 40
sandy plain between the 270
sandy plain bordering the 60
sandy plain brought us 56
sandy plain outside the 69
sandy plain returns my 52
sandy ridge between the 61
sandy shore between the 72
sandy soils because of 186
sandy soils because the 73
sandy soils between the 59
sandy soils subject to 89
sandy space between it 54
sandy space between the 70
sandy strip between the 123
sandy sweet potatoes to 53
sandy tract between the 75
sandy waste between the 43
sandy waste covered by 92
sapling poles planted in 86
sarong wound tightly on 40
satin dress trimmed in 42
sauce until reduced by 58
sauce until reduced to 48
saute until beginning to 69
saute until browned on 171
saute until chicken is 47
saved about seventy of 77
saved large amounts of 215
saved large numbers of 210
saved money because the 45
saved small amounts of 51
saves large amounts of 185
saves money because it 202
saves money because of 40
saves money because the 93
savings after payment of 48
savings banks appeared in 41
savings banks because of 59
savings banks founded by 47
savings banks insured by 149
savings banks located in 158
savings banks operating in 270
savings banks reserve the 86
savings plans offered by 182
savings rates between the 43
savings which entered the 40
savings would increase by 42
savings would increase the 58
savings would increase to 93
savings would justify the 58
sayings which express the 44
sayings which pretend to 61
sayings which reflect the 57
scale action against the 344
scale armed attacks on 98
scale armed invasion of 91
scale bombing attacks on 125
scale change between the 184
scale clash between the 130
scale comes closest to 48
scale farming systems in 268
scale field studies in 95
scale field studies of 108
scale firms operating in 44
scale first appeared in 157
scale housing estates in 51
scale items according to 46
scale might consist of 68
scale model replica of 48
scale model studies of 121
scale often results in 43
scale quite similar to 45
