sacked towns and villages 122
sacral roots are involved 167
sacred books and pictures 52
sacred books and prophets 43
sacred books and religious 125
sacred cause was deserted 68
sacred grass and saddened 94
sacred music and religious 54
sacred power and authority 108
sacred power are servants 61
sacred rites and religious 104
sacred rites not publicly 59
sacred shade and solitude 47
sacred sites and religious 56
sacred space for yourself 71
sacred story are fixtures 48
sacred texts and religious 150
sacred truce was declared 56
sacred trust for humanity 48
sacred trust was strictly 137
sacred vases and utensils 51
sacred walls with pictures 66
sacred words and gestures 51
saddle bronc and bareback 58
safely infer that icebergs 140
safely keeping and preserving 62
safest model for imitation 160
safest place for children 476
safety belts and shoulder 323
safety belts are fastened 41
safety first and foremost 225
safety lamps are required 183
safety match was invented 62
safety pilot has adequate 43
safety rather than efficacy 71
safety razor was invented 69
safety rules and policies 63
safety rules are enforced 71
safety rules are followed 249
safety rules are observed 132
safety rules for children 112
safety under its protecting 87
safety valve and pressure 281
safety valve for american 65
safety valve for domestic 87
safety valve for economic 66
safety valve for employee 89
safety valve for expressing 52
safety valve for internal 50
safety valve for potential 58
safety valve that prevents 127
safety valve that protects 58
safety valve that relieves 51
safety valve was provided 80
safety which they indicate 53
sailed again for louisiana 52
sailor could not restrain 46
salary could not possibly 40
salary ranges for positions 58
salary scale and benefits 49
salary under this contract 61
salary which she received 135
salary which they received 112
saline taste and alkaline 55
salmon fishing and processing 103
saloon kills its thousands 56
salute which she advanced 66
salute which was answered 76
salute which was returned 215
sample after heat treatment 117
sample could not possibly 44
sample forms are included 121
sample forms are provided 87
sample items are included 49
sample items are provided 45
sample items are selected 82
sample period was extended 44
sample scope and sequence 107
sample sizes and multiple 47
sample sizes and response 109
sample sizes and selection 42
sample sizes and standard 152
sample sizes and therefore 88
sample sizes and variances 374
sample sizes are adequate 183
sample sizes are employed 54
sample sizes are increased 136
sample sizes are involved 135
sample sizes are moderate 110
sample sizes are obtained 55
sample sizes are possible 46
sample sizes are provided 48
sample sizes are reported 53
sample sizes are required 1008
sample sizes are selected 63
sample sizes are slightly 60
sample sizes are therefore 45
sample sizes for analysis 99
sample sizes for clinical 62
sample sizes for estimating 124
sample sizes for specific 45
sample sizes per treatment 45
sample space are mutually 63
sample space that consists 49
sample space that contains 54
sample taken for analysis 1368
sample units are selected 300
sample which was analyzed 69
sample which was obtained 64
sample which was prepared 112
sample which was selected 65
sampling error and therefore 189
sampling error has occurred 45
sampling frame that includes 101
sampling frame was designed 57
sampling method for estimating 64
sampling method that involves 50
sampling method was designed 47
sampling method was employed 322
sampling method was followed 117
sampling model for validity 111
sampling plans are designed 163
sampling plans for estimating 71
sampling plans for variables 147
sampling rates are required 165
sampling rather than complete 96
sampling times are required 44
sampling units are clusters 49
sampling units are randomly 51
sampling units are selected 1124
sandal paste and vermilion 55
sanded smooth and finished 89
savage beasts and serpents 58
savage people was received 82
savage pride and insolent 52
savers rather than spenders 56
scales which are attached 69
scales which are commonly 60
scales which are designed 65
scales which are relevant 140
scalping knife and tomahawk 970
scalping women and children 237
scanty cloak was dwarfish 74
scanty pubic and axillary 117
scarce allow two horsemen 44
scarce aught but disaster 55
scarce goods and services 2417
scarce human and financial 474
scarce human and physical 91
scarce labor and abundant 57
scarce labor and materials 72
scarce needing this attention 46
scarce rather than abundant 47
scarce social and economic 97
scared while his judgment 55
scared women and children 52
scenes could not possibly 41
scenes where its presence 53
scenes where they occurred 73
scenes which are depicted 104
scenes which are designed 147
scenes which are intended 41
scenes which are otherwise 44
scenes which are probably 49
scenes which are supposed 102
scenes which had attended 95
scenes which had followed 81
scenes which had formerly 54
scenes which had happened 77
scenes which had inspired 46
scenes which had occurred 513
scenes which had preceded 148
scenes which had recently 159
scenes which may possibly 59
scenes which our children 119
scenes which then occurred 95
scenes which they describe 609
scenes which they recorded 72
scenic beauty and abundant 53
scenic beauty and cultural 92
scenic beauty and grandeur 339
scenic beauty and historic 272
scenic beauty and interest 48
scenic beauty and recreation 153
scenic beauty and wildlife 158
scenic roads and parkways 187
scenic spots and historic 116
schema which they indicate 54
scheme could not possibly 192
scheme since its inception 296
scheme which had formerly 67
scheme which had occupied 49
scheme which had occurred 69
scheme which had received 77
scheme which has received 89
scheme which has recently 76
scheme which has resulted 43
scheme which they believed 68
scheme which they consider 102
scheme which they proposed 123
scheme which was accepted 135
scheme which was actually 89
scheme which was approved 162
scheme which was designed 252
scheme which was destined 114
scheme which was expected 56
scheme which was followed 63
scheme which was initially 45
scheme which was initiated 80
scheme which was intended 295
scheme which was launched 117
scheme which was obviously 54
scheme which was prepared 81
scheme which was probably 48
scheme which was proposed 320
scheme which was rejected 82
scheme which was supposed 49
schism which had occurred 47
school after her children 70
school after his freshman 105
school after one semester 105
school after she finished 43
school after they complete 106
school after this incident 40
school after you graduate 50
school board and approved 91
school board and citizens 42
school board and district 523
school board for approval 233
school board for fourteen 40
school board had approved 99
school board had complied 55
school board had intended 42
school board had promised 42
school board had provided 47
school board has approved 73
school board has authority 85
school board has proposed 42
school board has provided 42
school board has recently 50
school board may authorize 66
school board may exercise 61
school board may properly 57
school board was composed 149
school board was entitled 70
school board was required 225
school books and children 77
school books and materials 423
school books and religious 113
school books and supplies 829
school books and uniforms 218
school books for children 394
school breaks and holidays 75
school class for children 189
school class for crippled 48
school class for mentally 46
school class for students 127
school could not continue 129
school could not possibly 262
school could not tolerate 47
school drawing its students 47
school draws its students 186
school first and foremost 110
school fixes its attention 62
school funds and property 132
school funds are expended 92
school funds for sectarian 159
school games and athletics 98
school gives its students 58
school goals and policies 134
school goals and programs 99
school goals and purposes 79
school hours and holidays 299
school hours and vacations 179
school hours and weekends 209
school hours for children 324
school hours for religious 453
school hours for students 97
school house and premises 56
school house for religious 46
school house was finished 49
school house was situated 48
school hungry and unfitted 43
school level and continue 93
school level and continuing 192
school level are required 85
school level for children 40
school level for students 75
school level has increased 40
school links and exchanges 245
school logic and divinity 54
school longer than children 50
school lunch and breakfast 1790
school needs and problems 124
school nurse and physician 417
school nurse was employed 40
school order and insisted 51
school owned and operated 515
school people and citizens 67
school plans and policies 66
school plans and programs 48
school plant and supplies 66
school plays and concerts 409
school plays and musicals 153
school rather than continue 133
school rules and policies 781
school rules and routines 83
school setting for children 136
school since its inception 353
school sites and premises 52
school sport and physical 370
school staff and children 170
school staff and families 229
school staff and students 1722
school taxes are assessed 60
school teaching and clerical 40
school terms and holidays 116
school terms and vacations 47
school texts and children 96
school texts and materials 50
school today and tomorrow 71
school track and football 95
school under his direction 189
school under its auspices 49
school until age eighteen 73
school until age fourteen 120
school until his fifteenth 60
school until his sixteenth 50
school until she finished 42
school until they complete 320
school until they finished 62
school until they graduate 576
school until you graduate 61
school voice had acquired 214
school where all children 167
school where all students 147
school where all subjects 43
school where all succeeding 48
school where her children 74
school where her daughter 61
school where his children 124
school where his daughter 77
school where his education 45
school where our children 98
school where she attended 75
school where she excelled 54
school where she received 150
school where she remained 113
school where they received 170
school which all children 58
school which had formerly 61
school which had preceded 70
school which had produced 157
school which had received 45
school which had recently 201
school which has produced 281
school which has provided 41
school which has received 76
school which has recently 75
school which his admirers 40
school which his children 81
school which she attended 389
school which they attended 282
school which was attached 144
school which was attended 366
school which was designed 106
school which was destined 144
school which was dominant 68
school which was formerly 74
school which was intended 81
school which was operated 46
school which was probably 69
school which was situated 112
school which was supposed 60
school which you attended 129
school within its district 46
school within that district 105
school would not otherwise 44
school would not tolerate 43
sciatic nerve and increases 48
sciatic nerve was followed 76
sciatic nerve was sectioned 73
scored about one standard 46
scored lower than children 75
scored lower than controls 110
scored lower than students 77
scored within one standard 90
scores could not possibly 41
scores rather than absolute 47
scores rather than hundreds 92
scores under each condition 45
scores which are obtained 150
scores within each category 113
scores within each condition 107
