sack of peppermint candy 58
safe as government bonds 121
safe in therapeutic doses 54
safe or acceptable level 52
safe to generalize about 553
said an apologetic voice 40
said an unexpected voice 140
said by foreigners about 84
said by implication about 44
said by trustworthy people 70
said he absolutely could 42
said he absolutely would 42
said he definitely would 99
said he personally liked 56
said he personally would 453
said he remembered every 45
said he remembered meeting 61
said he understood about 161
said he understood fully 65
said in apologetic tones 56
said in astonished tones 47
said in deliberate tones 62
said in impressive tones 76
said in interviews about 45
said in particular about 102
said in retrospect about 63
said in sepulchral tones 226
said in subsequent pages 55
said in suppressed tones 58
said is absolutely right 97
said no government could 51
said of successful works 44
said on composition which 47
said the acquisition would 48
said the appropriate words 116
said the arrangement would 53
said the astonished clerk 54
said the astonished father 76
said the astonished mother 52
said the astonished woman 63
said the authorities would 139
said the benevolent judge 99
said the bewildered hicks 40
said the bewildered seaman 46
said the communists would 115
said the conference would 123
said the constables would 90
said the corporation would 47
said the cultivator aside 45
said the deliberate scout 119
said the democratic party 284
said the department could 44
said the department would 280
said the determined seaman 41
said the difficulty would 52
said the enterprising jenny 40
said the experience would 45
said the experiment would 59
said the frightened child 98
said the government agent 163
said the government could 867
said the government hoped 46
said the government might 171
said the government ought 122
said the government would 3263
said the grandfather again 51
said the hereditary grand 41
said the illustrious author 51
said the individual named 69
said the information about 46
said the information would 87
said the instruction drill 55
said the legislation under 116
said the legislation would 243
said the magistrate drily 43
said the mechanical voice 137
said the negotiations would 45
said the plaintiffs could 42
said the prosecution would 68
said the punishment would 82
said the regulations would 45
said the relentless baron 71
said the republican leader 45
said the republican party 325
said the restaurant owner 56
said the sepulchral voice 154
said the suppressed voice 140
said the thoughtless sarah 66
said the unconscious author 54
said the unconscious fives 56
said the unexpected voice 46
said the university could 43
said the university would 180
said to comprehend every 53
said to constitute about 184
said to constitute beauty 60
said to constitute either 44
said to constitute human 41
said to constitute nearly 59
said to constitute proof 89
said to constitute rival 62
said to constitute social 50
said to contribute anything 125
said to understand anything 75
saith no complaints shall 77
sake of accumulating money 74
sake of advantages which 115
sake of appearances rather 41
sake of beneficent power 82
sake of conscience carry 79
sake of delightful lines 63
sake of establishing which 43
sake of friendship would 46
sake of principles which 92
sake of punishment alone 49
sake of simplicity refer 44
sake of underselling others 113
sale by description where 41
sale is recognized under 87
sale is relatively small 40
sale of appreciated stock 71
sale of assessable stock 44
sale of automobile parts 55
sale of automobile tires 377
sale of automotive parts 56
sale of cigarettes within 66
sale of collateral trust 84
sale of comparable goods 74
sale of consumption goods 506
sale of contraband goods 170
