sacks containing money to 41
sadly declined since the 52
sadly depleted ranks of 66
sadly ignorant about the 43
sadly mistaken about the 69
safer approach would be 137
safer practice would be 52
sagging surfaces moved no 61
sailing directly above the 213
sailing westward round the 139
sails whitened every sea 117
sales activity within the 42
sales approach based on 42
sales approach would be 50
sales campaign aimed at 43
sales campaign based on 40
sales contract based on 49
sales contract could be 58
sales contract fails to 51
sales contract gives the 65
sales contract needs no 123
sales contract shall be 118
sales contract under the 130
sales contract where the 77
sales contract which is 148
sales contract within the 85
sales contract would be 113
sales forecast based on 269
sales forecast could be 66
sales forecast might be 50
sales forecast which is 61
sales forecast would be 116
sales increased after the 58
sales managers about the 41
sales managers began to 45
sales managers focus on 83
sales managers would be 95
sales occurred after the 58
sales operation could be 45
sales potential based on 73
sales potential within the 43
sales potential would be 71
sales proceeds shall be 65
sales proceeds would be 273
sales promotion aimed at 287
sales promotion could be 45
sales promotion might be 138
sales promotion tends to 58
sales promotion tools to 84
sales promotion which is 65
sales promotion within the 65
sales promotion would be 219
sales register shows the 70
sales remained about the 50
sales revenues minus the 65
sales revenues would be 76
sales strategy based on 79
salts commonly found in 116
salts containing water of 1339
salts dissolve easily in 52
salts normally found in 79
sated curiosity about the 55
satin delicacy above the 130
saved american lives by 50
saved american lives in 43
saved yourself hours of 47
savings accounts could be 188
savings accounts owned by 112
savings accounts under the 44
savings accounts where the 120
savings accounts within the 87
savings accounts would be 376
savings deposits could be 97
savings deposits shall be 60
savings deposits which the 48
savings deposits would be 235
savings possible under the 52
savor wherewith shall it 112
scale analysis based on 50
scale campaign aimed at 98
scale clinical trials in 243
scale clinical trials of 362
scale clinical trials on 57
scale clinical trials to 174
scale critical study of 154
scale directly above the 149
scale directly below the 252
scale directly under the 146
scale driftnet fishing on 60
scale electric field in 98
scale includes tests of 51
scale industry after the 109
scale industry based on 451
scale industry began to 187
scale industry could be 231
scale industry seems to 42
scale industry shall be 151
scale industry tends to 165
scale industry under the 199
scale industry which is 284
scale industry within the 118
scale industry would be 311
scale magnetic field in 368
scale magnetic field is 291
scale magnetic field of 189
scale military action by 61
scale military action in 377
scale military action to 56
scale operation could be 154
scale operation until the 41
scale operation would be 165
scale physical model of 224
scale programs aimed at 167
scale projects aimed at 237
scale projects based on 157
scale projects could be 125
scale projects under the 51
scale projects where the 171
scale projects within the 100
scale projects would be 125
scale questions about the 154
scale required would be 176
scale velocity field is 57
scale vertical motion in 188
scale vertical motion is 156
scans obtained after the 92
scant attention either to 88
scant attention given by 120
scant attention given the 77
scant attention given to 1005
scant attention seems to 41
scant attention since the 57
scant attention until it 43
scant attention until the 173
scant attention which the 57
scant attention within the 71
scant courtesy shown by 40
scant courtesy shown to 127
scant evidence about the 70
scant interest shown by 57
scant interest shown in 44
scare headlines about the 113
scathing articles about the 76
scathing comments about the 277
scathing editorial about the 77
scathing intention lurking in 59
scene directly after the 95
scene occurred after the 51
scene occurred which is 67
scene succeeds scene in 55
score slightly above the 156
score slightly below the 220
score slightly lower on 354
score somewhat lower on 314
score standard error of 58
scoring functions based on 51
scrap aluminum which is 67
seagoing merchant ships of 56
sealed document which he 100
sealed envelope which he 510
sealed envelope which is 181
sealed envelope which the 124
seaman directly after the 51
search algorithm based on 1044
search algorithm could be 109
search algorithm finds the 74
search algorithm given in 62
search algorithm needs to 80
search algorithm shown in 67
search algorithm which is 97
search algorithm would be 107
search american ships on 44
search approach based on 92
search direction based on 109
search operation would be 43
search strategy based on 786
search strategy could be 145
search strategy might be 111
search strategy which is 162
search strategy within the 94
search strategy would be 303
search strictly limit the 70
search warrants based on 293
search warrants could be 53
search warrants shall be 120
search warrants under the 396
search warrants would be 101
season followed season in 42
seated concerns about the 170
seated directly above the 51
seated directly below the 42
seated directly under the 79
seated divisions within the 152
seated misgivings about the 88
seated problems within the 128
sects included under the 46
sects likewise admit of 45
seeds commonly found in 63
seeds outdoors after the 131
seeking activity within the 140
seeking admission shall be 60
seeking admission under the 94
seeking approval under the 48
seeking autonomy within the 49
seeking benefits under the 133
seeking coverage under the 102
seeking guidance about the 81
seeking recovery under the 213
seeking solutions within the 105
seeking specific kinds of 50
seeking specific types of 72
seeking treatment until the 60
seeks literary power he 60
seeks recovery under the 79
seeming erudition might be 81
seeming goodness which the 63
seems abundant reason to 204
seems adequate reason to 53
seems careless about the 53
seems complete proof of 72
seems confused about the 248
seems curiously lacking in 72
seems designed rather to 79
seems destined either to 131
seems destined never to 381
seems directly aimed at 43
seems disposed rather to 47
seems doubtful about the 79
seems doubtful given the 78
seems doubtful since the 84
seems entirely alien to 64
seems entirely alone in 64
seems entirely based on 42
seems entirely lacking in 91
seems entirely right in 40
