sea not 93 sea for
198 sea its 56 sea
that 174 sea and 46
sing and 88 sing and
141 sing for 43 sing
that 49 sing and 61
so his 58 so and
62 so that 56 so
with 86 so for 40
so that 785 so out
67 so that 123 so
they 67 so all 43
so and 45 so each
158 so god 296 so
her 233 so him 150
so his 403 so its
116 so one 203 so
our 117 so them 81
so are 152 so any
152 so not 90 so
not 69 so you 41
so that 183 so they
76 so one 118 so
you 42 so they 42
so they 138 so that
178 so and 70 so
him 125 so they 149
so they 43 so that
64 so one 40 so
her 57 so with 46
so and 48 so that
915 so his 48 so
all 57 so they 76
so his 49 so and
78 so for 45 so
out 291 so that 394
so and 75 so for
153 so out 1571 so
that 170 so and 268
so for 167 so that
773 so with 65 so
his 57 so out 127
so they 194 so she
51 so they 53 so
they 60 so that 42
so you 62 so are
230 so that 107 so
that 103 so they 60
so put 40 so his
61 so they 52 so
not 63 so they 42
so not 114 so with
92 so her 94 so
his 177 so its 66
so this 121 so they
230 so she 43 so
you 48 so not 42
so him 135 so them
146 so all 49 so
his 71 so its 43
so they 1552 so she
61 so they 53 so
you 47 so may 41
so not 111 so his
57 so that 64 so
god 40 so her 64
so his 613 so she
43 so that 50 so
they 221 so this 63
so they 41 so was
66 so all 44 so
they 835 so that 94
so our 68 so them
68 so not 279 so
its 67 so they 393
so she 197 so they
151 so you 69 so
and 172 so any 70
so each 575 so god
207 so her 655 so
him 469 so his 1025
so its 443 so man
97 so men 64 so
oil 46 so one 993
so our 186 so that
299 so them 639 so
this 367 so you 135
so they 119 so his
86 so she 82 so
you 57 so our 40
so own 43 so not
52 so she 47 so
his 48 so they 172
so she 45 so they
166 so own 62 so
own 68 so not 43
so her 48 so they
43 so red 57 so
then 255 so are 142
so all 9909 so and
740 so any 10955 so
being 576 so both 325
so day 90 so dear
137 so doing 45 so
each 12342 so earth 266
so god 151 so going
90 so her 9511 so
him 1504 so his 17505
so how 960 so its
3228 so man 853 so
men 703 so new 367
so non 121 so now
334 so old 238 so
one 17355 so our 12746
so real 372 so sam
81 so sir 40 so
that 101488 so them 2127
so things 141 so this
1939 so tom 63 so
using 49 so war 97
so who 78 so you
1553 so and 45 so
than 90 so that 79
so was 44 so his
52 so they 670 so
one 284 so she 261
so they 356 so you
640 so for 282 so
now 41 so you 95
so they 59 so one
396 so she 68 so
they 148 so you 368
so can 45 so all
88 so they 100 so
his 52 so his 52
so its 47 so each
44 so his 57 so
them 53 so its 78
so his 47 so each
60 so his 67 so
one 173 so that 318
so that 51 so and
45 so old 43 so
his 156 so they 90
so they 54 so has
77 so his 65 so
and 68 so that 67
so and 47 so and
42 so and 47 so
and 123 so that 83
so and 68 so and
93 so how 42 so
not 227 so they 65
so they 46 so they
48 so they 120 so
she 43 so they 87
so and 57 so that
83 so can 123 so
that 234 so say 49
