sacraments and pastoral care 51
sacrificed and devoured their 75
sacrificed and suffered much 41
sacrificed her personal life 87
sacrificed his domestic peace 42
sacrificed his personal life 128
sacrificed his valuable life 74
sacrifices and expiatory songs 49
sacrifices and incurred great 50
sacrifices and libations were 114
sacrifices and oblations were 160
sacrifices and performing other 46
sacrifices and services were 46
sacrifices and sufferings have 48
sacrifices and sufferings into 56
sacrifices and sufferings were 62
sacrifices are demanded from 88
sacrifices are required from 77
sacrifices his faithless wife 55
sacrifices his personal life 99
safeguards and controls over 43
safeguards for children living 131
safeguards for personal data 124
safeguards for protecting their 59
sanctified and detached from 127
sanctified and purified from 130
sarcophagi and funerary urns 45
satellites and balloons gave 63
satellites and cellular radio 45
satellites and inferred from 137
satellites and unmanned aerial 44
satellites are launched from 127
satellites are launched into 301
scandalous and seditious book 103
schoolboys and students were 75
schoolroom and divorced from 49
scientific and academic life 97
scientific and academic work 86
scientific and artistic ideas 99
scientific and artistic life 219
scientific and artistic part 51
scientific and artistic truth 84
scientific and artistic work 527
scientific and business areas 53
scientific and business data 234
scientific and clinical data 272
scientific and clinical work 210
scientific and cultural areas 60
scientific and cultural ideas 145
scientific and cultural life 865
scientific and cultural ties 277
scientific and cultural work 253
scientific and didactic work 48
scientific and economic data 305
scientific and economic laws 45
scientific and economic life 79
scientific and economic work 49
scientific and engineering areas 271
scientific and engineering base 116
scientific and engineering data 707
scientific and engineering feats 54
scientific and engineering ideas 56
scientific and engineering jobs 106
scientific and engineering know 151
scientific and engineering teams 54
scientific and engineering theory 50
scientific and engineering tool 44
scientific and engineering uses 100
scientific and engineering work 2224
scientific and historic truth 64
scientific and literary ideas 59
scientific and literary life 170
scientific and literary work 805
scientific and military uses 51
scientific and personal life 54
scientific and religious faith 48
scientific and religious ideas 342
scientific and religious life 60
scientific and religious truth 374
scientific and religious ways 93
scientific and therefore less 42
scientific and therefore more 129
scientific man worships just 71
scientists and engineers also 267
scientists and engineers among 161
scientists and engineers away 55
scientists and engineers back 40
scientists and engineers came 144
scientists and engineers come 78
scientists and engineers coming 41
scientists and engineers dealing 42
scientists and engineers during 270
scientists and engineers even 54
scientists and engineers ever 48
scientists and engineers face 76
scientists and engineers feel 84
