sable phenomenon emerge in 148
sadly formidable portion of 71
sailing completely around the 73
sailing gracefully through the 125
sailing positively through it 40
salad vegetables should be 47
sales activities should be 86
sales department should be 360
sales department wishes to 43
sales information should be 85
sales information system to 92
sales literature issued by 45
sales literature relating to 80
sales literature should be 91
sales management should be 74
sales objectives should be 42
sales resistance became so 85
sales transaction should be 165
sandy wilderness across the 72
scale destruction caused by 100
scale enterprise sector in 216
scale experiment should be 44
scale heretofore unheard of 124
scale industries engaged in 132
scale industries existing in 43
scale industries sector in 110
scale industries sector is 49
scale industries should be 1790
scale industries through the 346
scale represents number of 43
scale structural changes in 248
scale systematic survey of 55
scalp electrodes placed on 49
scalp electrodes should be 60
scalp lacerations should be 58
scant information exists on 48
scene completely changed the 46
scene immediately before the 139
scene immediately shifts to 74
scent discovered itself to 101
score determines whether the 41
score propaganda points by 103
score relatively higher on 272
score relatively highly on 123
score relatively poorly on 40
scoring procedures should be 170
screw dislocation emerging at 99
sealed containers should be 99
seaman terminates before the 110
search diligently through the 239
search experience taught me 174
search procedures should be 55
search strategies should be 132
search techniques should be 57
season attendance record of 48
seated immediately behind the 164
seated inferiority feelings to 57
seated structural changes in 46
seeking assistance through the 49
seeking employment should be 133
seeking employment through the 161
seeking information beyond the 50
seeking information relating to 191
seeking information through the 85
seeking privileged access to 41
seeking protective orders or 116
seeking structural changes in 42
seeks information relating to 174
seeks insidiously enough to 42
seeming difficulty engaged to 67
seems absolutely devoid of 44
seems absolutely unable to 53
seems abundantly proved by 56
seems appropriate enough in 47
seems appropriate enough to 99
seems attractive enough to 58
seems completely absurd to 42
seems completely devoid of 84
seems completely unable to 117
seems diligently intent on 41
seems impossible unless the 70
seems impossible wholly to 43
seems impossible without an 68
seems impossible without it 55
seems impossible without the 152
seems incomplete without the 134
seems inevitable sooner or 57
seems inevitable unless the 59
seems inevitably doomed to 54
seems interested mainly in 41
seems intimately linked to 96
seems irrelevant whether the 52
seems legitimate enough to 41
seems manifestly absurd to 41
seems manifestly unfair to 91
seems preferable simply to 70
seems relatively immune to 53
seems relatively simple in 57
seems relatively simple to 157
seems substantial enough to 175
seems sufficient answer to 40
seems sufficient ground to 158
seems sufficient merely to 93
seething multitudes around us 90
seize bridgeheads across the 71
seizing particular events or 46
selling department should be 41
selling government assets to 54
selling intoxicating liquor in 230
selling intoxicating liquor to 659
selling publication rights to 58
selling securities backed by 65
selling securities issued by 145
selling securities solely as 66
selling securities through the 186
sells intoxicating liquor to 56
sending diplomatic agents to 103
sending individual copies to 122
sending information across the 82
sending information through the 133
sending peremptory orders to 50
sending republican throats to 72
sending sufficient troops to 42
sends electrical pulses to 70
sends information through the 53
senior contributing editor of 71
senior democratic member of 192
senior executives across the 51
senior executives around the 83
senior executives engaged in 50
senior executives should be 221
senior executives wanted to 47
senior management agreed to 93
senior management before the 47
senior management engaged in 46
senior management failed to 104
senior management levels in 150
senior management levels of 108
senior management needed to 68
senior management review of 46
senior management seemed to 46
senior management should be 764
senior management tended to 53
senior management through the 86
senior management wanted to 171
senior management wishes to 64
senior management without the 50
senior manuscript editor at 47
senior republican member of 346
senior scientific worker at 104
senior scientific worker of 63
senior securities issued or 50
sense experience should be 172
sense experience through the 137
sense impressions caused by 48
sense impressions through the 193
sense manifested itself in 42
sense precautions should be 69
sensing techniques should be 45
serial correlation exists in 83
serial correlation should be 57
serum complement levels at 42
serum complement levels in 517
serum phosphorus levels in 523
serum phosphorus levels is 45
serum phosphorus levels of 49
serum phosphorus levels to 44
serum phosphorus should be 132
serum rheumatoid factor by 116
serum rheumatoid factor is 60
serve particular groups of 117
serving particular buyers or 53
serving particular groups of 108
setting acceptable levels of 91
setting appropriate levels of 104
setting appropriate limits on 182
setting appropriate limits to 72
setting boundaries around the 76
setting confidence limits on 127
setting confidence limits to 57
setting determines whether or 76
setting determines whether the 788
seven astronauts aboard the 52
seven astronauts killed in 52
seven categories listed in 88
seven generations before the 98
seven motivators listed in 45
seven penitential psalms in 169
seven penitential psalms of 126
seven penitential psalms on 45
seven penitential psalms to 42
seven percentage points in 509
seven percentage points of 191
seven percentage points on 44
seven percentage points to 99
seven successive nights to 175
