sacrificed for political expediency 135
sacrifices and nocturnal assemblies 40
safeguards and standards equivalent 330
sandstones and calcareous sandstones 58
satellites are artificial satellites 134
scientific and commercial activities 107
scientific and commercial enterprise 50
scientific and commercial importance 131
scientific and commercial information 187
scientific and commercial literature 111
scientific and commercial satellites 42
scientific and efficient management 77
scientific and geographic information 57
scientific and industrial activities 135
scientific and industrial capability 42
scientific and industrial capacities 59
scientific and industrial cooperation 118
scientific and industrial experience 54
scientific and industrial importance 161
scientific and industrial information 135
scientific and industrial innovations 54
scientific and industrial revolutions 1702
scientific and industrial techniques 109
scientific and industrial technology 165
scientific and industrial tendencies 60
scientific and intensive cultivation 67
scientific and managerial techniques 56
scientific and objective assessment 58
scientific and political activities 156
scientific and political authorities 60
scientific and political cooperation 73
scientific and political discourses 111
scientific and political discussions 107
scientific and political importance 114
scientific and political information 109
scientific and political literature 84
scientific and political revolutions 268
scientific and practical activities 138
scientific and practical advantages 45
scientific and practical application 104
scientific and practical approaches 51
scientific and practical conclusions 58
scientific and practical conference 105
scientific and practical efficiency 60
scientific and practical experience 213
scientific and practical importance 1377
scientific and practical information 688
scientific and practical instruction 164
scientific and practical objectives 61
scientific and practical principles 151
scientific and practical psychology 152
scientific and practical standpoint 83
scientific and practical usefulness 53
scientific and practical viewpoints 66
scientific and production associations 99
scientific and scholarly activities 87
scientific and scholarly discipline 44
scientific and scholarly information 109
scientific and scholarly literature 202
scientific and scholarly periodicals 54
scientific and scholarly publication 49
scientific and technical activities 2696
scientific and technical agreements 154
scientific and technical application 46
scientific and technical approaches 111
scientific and technical assessment 186
scientific and technical assistance 1563
scientific and technical associations 357
scientific and technical background 403
scientific and technical capability 335
scientific and technical capacities 183
scientific and technical categories 51
scientific and technical collections 153
scientific and technical commissions 50
scientific and technical committees 115
scientific and technical competence 529
scientific and technical competition 65
scientific and technical complexity 116
scientific and technical components 81
scientific and technical computation 43
scientific and technical conference 237
scientific and technical cooperation 14888
scientific and technical curriculum 47
scientific and technical department 103
scientific and technical discipline 82
scientific and technical discourses 52
scientific and technical discussions 94
scientific and technical educational 83
scientific and technical efficiency 92
scientific and technical employment 115
scientific and technical enterprise 155
scientific and technical excellence 128
scientific and technical exhibitions 50
scientific and technical experience 390
scientific and technical facilities 246
scientific and technical feasibility 195
scientific and technical foundations 141
scientific and technical glossaries 184
scientific and technical guidelines 130
scientific and technical importance 206
scientific and technical information 27890
scientific and technical innovations 632
scientific and technical institutes 299
scientific and technical institution 67
scientific and technical instruction 847
scientific and technical integration 65
scientific and technical interchange 84
scientific and technical laboratory 50
scientific and technical limitations 65
scientific and technical literature 6295
scientific and technical management 106
scientific and technical monographs 51
scientific and technical objectives 213
scientific and technical occupations 460
scientific and technical orientation 109
scientific and technical periodicals 2538
scientific and technical preparation 105
scientific and technical principles 491
scientific and technical procedures 91
scientific and technical professions 388
scientific and technical propaganda 65
scientific and technical publication 170
scientific and technical publishers 154
scientific and technical rationality 259
scientific and technical researchers 93
scientific and technical revolutions 189
scientific and technical specialists 462
scientific and technical specialties 93
scientific and technical standpoint 151
scientific and technical superiority 172
scientific and technical supervision 45
scientific and technical translation 307
scientific and technical undertakings 62
scientific and technical university 62
scientific and technical vocabulary 480
scientific and theological literature 67
scientific and theoretical foundations 45
scientific than practical importance 47
scientists and behavioral scientists 71
scientists and biological scientists 64
scientists and biomedical researchers 54
scientists and clinicians interested 138
scientists and cognitive scientists 49
scientists and corporate executives 46
scientists and operations researchers 93
scientists and personnel management 56
scientists and physicians interested 41
scientists and political economists 246
scientists and political geographers 42
scientists and political scientists 90
scientists and practical politicians 43
scientists and technical specialists 280
scientists are especially interested 92
scientists are increasingly interested 70
scientists are primarily interested 163
scientists are shallowly optimistic 90
scientists with extensive experience 81
scientists with important information 41
scriptural and theological foundations 49
secretarial and technical assistance 189
securities and corporate securities 49
securities and insurance activities 243
securities and insurance businesses 112
securities and insurance industries 326
securities and insurance regulators 65
securities and municipal securities 64
securities are generally classified 49
securities are generally considered 88
securities are perfectly correlated 138
securities are perfectly negatively 89
securities are perfectly positively 95
securities for outstanding securities 114
securities with different maturities 415
seminaries and theological institutes 58
sentiments and political principles 561
separately and carefully considered 51
separately for different categories 116
seriousness and passionate joyfulness 42
settlement and intensive cultivation 1221
settlement and landscape management 45
settlement has authorized remittance 131
settlement with additional securities 76
shipbuilding and ancillary industries 47
shipbuilding and armaments industries 44
shipbuilding and associated industries 48
shipbuilding and machinery industries 49
shipbuilding and navigation techniques 49
simplicity and practical application 65
simplicity and practical usefulness 69
simplicity and universal application 50
simplistic and stultifying absolutism 80
simulations with different parameters 49
solicitous and attentive government 46
solicitude and unremitting attendance 41
solidarity and fraternal friendship 131
solidarity and universal brotherhood 107
solubility and adsorption properties 89
solubility and emulsifying properties 60
solubility and stability properties 51
spacecraft and artificial satellites 45
specialists and behavioral scientists 42
specialists and political scientists 66
specialists with extensive experience 100
specialists with practical experience 52
specialized and technical information 543
specialized and technical vocabulary 112
specialized but important application 116
specialized for different activities 123
spontaneous and artificial ventilation 98
statements and additional information 160
statements and arguments calculated 42
statements and empirical statements 69
statements and normative statements 93
statements and theoretical statements 95
statements are generally admissible 41
statements are generally considered 58
statements are logically consistent 69
statements are logically equivalent 1102
statements are materially equivalent 85
statements are perfectly compatible 56
statements are perfectly consistent 121
statements are presented separately 45
statistics and classical statistics 49
statistics and cognitive psychology 53
statistics and commercial information 48
statistics and inductive statistics 67
statistics and population parameters 307
statistics and population statistics 71
statistics and technical information 92
