sa vie politique . 46
sea and adventure . 51
sea and coastline . 96
sea and destroyed . 103
sea and disappears . 83
sea and earthquakes . 53
sea and elsewhere . 91
sea and estuaries . 79
sea and landscape . 134
sea and mountains . 1385
sea and navigation . 77
sea and shipwreck . 47
sea and shoreline . 56
sea are concerned . 78
sea are discussed . 43
sea bed resources . 104
sea can hypnotize . 49
sea for centuries . 266
sea for exercises . 54
sea for multitude . 256
sea ice conditions . 377
sea ice microalgae . 195
sea lion population . 83
sea lion rookeries . 99
sea than elsewhere . 51
sea that afternoon . 196
sea this afternoon . 166
sea was abandoned . 69
sea was concerned . 142
sea was different . 78
sea was disturbed . 54
sea was invisible . 71
sea was motionless . 43
sea was necessary . 61
sea was turbulent . 47
sea was wonderful . 84
sing and celebrate . 350
sing and entertain . 66
sing for themselves ! 447
sing his obsequies ! 45
sing them correctly . 87
sing them themselves . 44
sing this afternoon . 111
sing with conviction . 47
sing with expression . 60
sing with happiness . 171
so act accordingly . 547
so all afternoon . 44
so all important . 202
so are available . 262
so are different . 126
so are discarded . 41
so are discussed . 59
so are employees . 43
so are important . 51
so are interesting . 40
so are neglected . 41
so are plentiful . 56
so are surpluses . 55
so bad sometimes . 156
so bring repellent . 83
so did advertising . 42
so did alexander . 60
so did aristotle . 44
so did churchill . 77
so did everybody . 315
so did jefferson . 50
so did mussolini . 58
so did population . 49
so did production . 118
so did repression . 42
so did roosevelt . 76
so did wordsworth . 75
so dnia rozhdeniia . 255
so does charlotte . 127
so does democracy . 54
so does everybody . 371
so does ignorance . 58
so does innovation . 59
so does matrimony . 49
so does motivation . 40
so does production . 92
so does television . 43
so doing themselves . 40
so easy sometimes . 57
so far acquiesce . 45
so far addressed . 65
so far announced . 62
so far arbitrary . 86
so far assembled . 77
so far attempted . 742
so far attracted . 62
so far available . 2469
so far backwards . 61
so far beneficial . 50
so far benefited . 42
so far collected . 404
so far committed . 91
so far completed . 550
so far conceived . 157
so far concerned . 83
so far concluded . 111
so far conducted . 247
so far confessed . 55
so far confirmed . 210
so far consulted . 41
so far continued . 47
so far defective . 192
so far deficient . 53
so far delivered . 75
so far dependent . 50
so far described . 4351
so far destroyed . 52
so far developed . 2559
so far disclosed . 122
so far discussed . 5889
so far displayed . 167
so far downstream . 57
so far encouraging . 77
so far endangered . 64
so far envisaged . 116
so far excavated . 272
so far excellent . 45
so far excursive ? 44
so far exhibited . 82
so far explained . 169
so far exploited . 86
so far expounded . 61
so far expressed . 149
so far fortunate . 120
so far fruitless . 48
so far fulfilled . 147
so far generated . 75
so far identical . 59
so far imperfect . 188
so far indicated . 504
so far indicates . 51
so far justified . 254
so far lightened . 78
so far neglected . 704
so far northwards . 56
so far perfected . 48
so far performed . 186
so far permitted . 44
so far possessed . 88
so far presented . 1347
so far preserved . 103
so far prevailed . 391
so far prevented . 110
so far proceeded . 133
so far prospered . 85
so far published . 2128
so far recovered . 453
so far responded . 41
so far satisfied . 206
so far separated . 139
so far sequenced . 63
so far specified . 64
so far succeeded . 786
so far suggested . 926
so far supported . 41
so far suspected . 50
so far sustained . 90
so far travelled . 66
so far traversed . 74
so far triumphed . 44
so far uncertain . 110
so far uncovered . 229
so far undefined . 56
so far undergone . 44
so far unnoticed . 63
so far untouched . 150
so far victorious . 82
so far westwards . 74
so far witnessed . 242
so fed themselves . 40
so few accidents . 124
so few adherents . 42
so few americans . 42
so few christians . 46
so few customers . 163
so few exceptions . 52
so few followers . 93
so few instances . 43
so few listeners . 43
so few passengers . 50
so few prisoners . 84
so few relatives . 42
so few resources . 487
so few sentences . 62
so few successes . 58
so few syllables ! 42
so for americans . 55
so for aristotle . 85
so for beginners . 92
so for centuries . 4751
so for christians . 144
so for everybody . 227
so for ourselves . 386
so for posterity . 50
so for protection . 59
so for themselves . 2715
so had everybody . 44
so has everybody . 95
so his followers . 42
so ill afterward . 76
so ill qualified . 91
so ill regulated . 41
so ill supported . 58
so long abandoned . 340
so long advocated . 446
so long afflicted . 138
so long afterward . 269
so long associated . 707
so long championed . 96
so long cherished . 493
so long clamoured . 46
so long commanded . 339
so long committed . 42
so long condemned . 141
so long conducted . 53
so long connected . 468
so long contended . 931
so long contested . 82
so long continued . 1043
so long corrupted . 60
so long delighted . 112
so long denounced . 71
so long desolated . 76
so long desuetude ! 40
so long digressed . 54
so long discussed . 60
so long disgraced . 87
so long displayed . 54
so long disturbed . 66
so long dominated . 223
so long enthralled . 62
so long enveloped . 117
so long envisioned . 75
so long exercised . 244
so long exploited . 94
so long forbidden . 63
so long forgotten . 781
so long inhabited . 292
so long journeyed . 45
so long languished . 170
so long meditated . 436
so long neglected . 3198
so long officiated . 119
so long oppressed . 393
so long persisted . 76
so long perverted . 41
so long possessed . 413
so long postponed . 787
so long practiced . 49
so long practised . 141
so long predicted . 222
so long preserved . 374
so long prevailed . 1229
so long prevalent . 81
so long previously . 45
so long professed . 163
so long projected . 87
so long prospered . 143
so long protected . 99
so long protested . 42
so long repressed . 500
so long respected . 54
so long separated . 950
so long slumbered . 105
so long sojourned . 65
so long solicited . 46
so long sometimes . 48
so long struggled . 420
so long subjected . 382
so long submerged . 44
so long submitted . 112
so long subsisted . 260
so long supported . 254
so long suspected . 56
so long suspended . 416
so long sustained . 328
so long tolerated . 184
so long travelled . 70
so long unchecked . 46
so long undecided . 68
so long unmarried . 148
so long unnoticed . 326
so long unsettled . 128
so long untouched . 41
so long venerated . 41
so long yesterday . 88
so mad sometimes . 194
so mean sometimes . 202
so near approaching . 42
so near christmas . 271
so near completion ! 279
so near gibraltar . 62
so near perfection . 262
so near realization . 57
so not necessary . 60
so read carefully ! 239
so sad sometimes . 83
so she consented . 122
so she continued . 1349
so she continues . 64
so she explained . 391
so she hesitated . 97
so she persisted . 167
so she pretended . 62
so she refrained . 72
so she submitted . 43
so she suspected . 65
so than americans . 56
so than elsewhere . 388
so than necessary . 61
so than ourselves . 185
so than previously . 246
so than themselves . 44
so than yesterday . 243
so that afternoon . 408
so they consented . 62
so they continued . 208
so they dispersed . 59
so they pretended . 46
so they proceeded . 88
so they prospered . 59
so they quarreled . 50
so they scattered . 49
so they separated . 487
so they travelled . 48
so this afternoon . 1662
so was abandoned . 307
so was alexander . 49
so was aristotle . 64
so was available . 63
so was churchill . 56
so was coleridge . 69
so was confession . 44
so was destroyed . 64
so was difficult . 95
so was discarded . 66
so was dismissed . 239
so was everybody . 142
so was important . 59
so was karolides . 40
so was necessary . 78
so was preserved . 65
so was richelieu . 47
so was roosevelt . 40
so was uncertain . 46
so was yesterday . 53
so with advantage . 657
so with assurance . 68
so with certainty . 849
so with character . 45
so with christians . 170
so with compassion . 104
so with composure . 44
so with computers . 59
so with conviction . 311
so with countries . 44
so with discretion . 153
so with donatello . 95
so with economics . 81
so with enjoyment . 55
so with everybody . 135
