sad events connected with 43
sat almost motionless for 76
sat around campfires and 94
sat silent throughout this 41
sat watching television and 76
sat watching television with 67
saw better prospects for 155
saw bright prospects for 49
saw divers skeletons hung 40
saw eleanor roosevelt sit 88
saw little indication that 126
saw little necessity for 134
saw myself ridiculed all 44
saw myself stretched out 56
saw neither propriety nor 120
saw something different and 74
saw something interesting and 50
saw something monstrous and 75
saw something suspicious and 42
say almost certainly that 155
say amongst themselves that 46
say enough wonderful things 171
say something courageous and 55
say something different and 163
say something different than 184
say something important and 349
say something important but 70
say something important that 47
say something interesting and 185
say something outrageous and 73
say something sarcastic and 50
say something sarcastic but 49
say without ambiguity that 107
say without arrogance that 94
say without blasphemy that 193
say without hesitance that 139
say without hesitancy that 159
say without hesitation and 51
say without hesitation that 15847
say without hyperbole that 114
say without immodesty that 501
say without prejudice that 215
seat without permission and 67
see another president and 119
see anyone appreciate them 62
see anyone connected with 65
see better prospects for 97
see beyond ourselves and 93
see beyond themselves and 146
see bright prospects for 54
see common interests and 40
see earlier discussion and 177
see earlier discussion for 80
see england humiliated and 52
see franco modigliani and 75
see further discussion and 42
see highly qualified for 53
see little indication that 189
see little necessity for 61
see marine insurance act 184
see neither necessity nor 45
see neither themselves nor 54
see nippon telegraph and 47
see oliver protector and 73
see pamela constable and 42
see places associated with 45
see something different and 401
see something different each 199
see something different for 57
see something different than 148
see something interesting and 149
see strange countries and 60
see through hypocrisy and 43
see useful addresses and 234
see useful addresses for 53
see whether agreement can 44
see whether conditions are 50
see whether perchance they 44
see whether proportion can 90
set another precedent for 101
set before ourselves and 133
set before ourselves for 84
set before ourselves that 88
set before ourselves this 47
set before ourselves was 109
set before themselves and 480
set before themselves any 55
set before themselves are 41
set before themselves for 100
set before themselves has 84
set before themselves that 110
set before themselves this 59
set before themselves two 93
set before themselves was 558
set before themselves with 48
set common standards and 42
set common standards for 167
set design standards for 61
set ethical standards and 49
set ethical standards for 131
set exacting standards for 307
set future directions for 49
set global standards for 154
set higher standards and 227
set higher standards for 3756
set higher standards than 988
set initial conditions and 52
set initial conditions for 81
set proper standards for 57
set safety standards and 252
set safety standards for 1462
