sea monsters scylla and 46
so abruptly broken off 378
so absurdly framed that 92
so absurdly severe that 66
so absurdly simple that 230
so absurdly united and 58
so acquired should not 54
so actively engaged and 54
so actively engaged that 43
so adjusted itself that 301
so adroitly framed that 49
so affected should not 142
so anxiously before she 74
so anxiously looked for 947
so anxiously sought and 96
so anxiously sought for 377
so anxiously striving for 45
so anxiously waited for 202
so anxiously watching for 41
so anxiously wished for 242
so approved wisdom and 64
so ardently desire and 79
so ardently desire that 91
so ardently looked for 112
so ardently prayed for 155
so ardently sought for 266
so ardently wished for 1264
so ardently wished him 50
so ardently yearned for 97
so artfully hidden that 40
so artfully raised for 57
so artfully veiled with 56
so asserted itself that 173
so astutely points out 115
so beautiful indeed that 145
so beautiful inside and 55
so beautiful should not 76
so beautiful through her 41
so beautiful without any 43
so bitterly fought for 121
so bitterly fought that 105
so blindingly bright that 81
so blindingly obvious that 195
so brightly before him 54
so brightly before men 50
so brilliant indeed that 112
so brutally hacked and 53
so brutally honest that 62
so brutally honest with 58
so brutally mangled and 61
so brutally treated that 221
so charmingly simple and 70
so cheerily trudging off 63
so children should not 77
so cleverly forged that 44
so cleverly framed and 51
so cleverly hidden that 287
so cleverly placed that 91
so cleverly thought out 40
so cleverly worded that 339
so cleverly worked out 185
so clumsily loaded that 50
so clumsily worded that 84
so cogently points out 138
so commonly danced with 49
so commonly termed and 69
so complete already was 87
so complete indeed that 138
so connects itself with 101
so consider whether you 65
so contents itself with 51
so copiously indeed that 63
so copiously poured out 50
so cordially graced his 74
so cordially united are 52
so critical indeed that 42
so curiously carved that 43
so curiously languid and 52
so curiously marked was 48
so curiously shaped that 48
so dazzlingly bright and 43
so dazzlingly bright that 305
so desolate places for 84
so desolate without you 67
so devoutly prayed for 83
so devoutly wished and 46
so devoutly wished for 391
so diminish praise and 45
so directed purely for 359
so directly before her 203
so directly before him 52
so directly before his 51
so directly before our 84
so directly linked with 151
so directly without any 55
so dismally engaged all 42
so disposed around her 107
so disposed events that 47
so distinct indeed that 144
so disturbing buyers they 45
so divinely gifted that 70
so earnestly begged for 47
so earnestly begged him 41
so earnestly bestow his 45
so earnestly called for 88
so earnestly desire and 57
so earnestly desire can 55
so earnestly desire for 68
so earnestly desire that 147
so earnestly exhort them 47
so earnestly fought for 43
so earnestly looked for 177
so earnestly pleaded for 87
so earnestly prayed and 60
so earnestly prayed for 472
so earnestly prayed that 164
so earnestly sought and 124
so earnestly sought for 391
so earnestly sought was 70
so earnestly striving for 42
