say disagreeable things . 226
se ressemblent pas . 229
see differently now . 44
set artificially low . 105
sex differences and . 58
she accompanied her . 48
she accompanied him . 761
she accompanied them . 212
she accompanies him . 120
she anticipated him . 127
she customarily did . 52
she disappoints you . 41
she disbelieved him . 40
she discouraged him . 96
she disregarded him . 61
she disregarded them . 76
she embarrassed him . 93
she encountered him . 169
she encountered them . 201
she enlightened him . 87
she entertained him . 92
she entertained them . 81
she exasperated him . 51
she experienced now . 74
she experienced them . 183
she experiences them . 156
she forestalled him . 352
she intercepted him . 86
she intercepted them . 73
she interpreted them . 115
she interrupted her . 102
she interrupted him . 5809
she interrupted them . 88
she interviewed him . 97
she interviewed them . 73
she intimidated him . 59
she manipulated him . 56
she masturbated him . 44
she occasionally did . 62
she overwhelmed him . 90
she practically sang . 54
she reluctantly did . 90
she represented them . 54
she reprimanded him . 303
she scrutinized him . 110
she sidestepped him . 132
she understands him . 307
she understands not . 41
she understands now . 70
she understands that . 293
she understands them . 619
she understands this . 108
she understands why . 71
she understands you . 323
she undoubtedly did . 101
she undoubtedly had . 75
she undoubtedly has . 45
she undoubtedly was . 524
shy intolerably shy . 52
six centimeters long . 127
six centimetres long . 93
six millimetres long . 45
so acknowledge him . 55
so comfortable now . 75
so comfortable too ! 40
so comfortable with . 187
so complicated now . 134
so contradicting him . 43
so desperately for . 51
so desperately ill . 289
so desperately long . 46
so desperately now . 68
so desperately sad . 63
so differently now . 227
so discomposed him . 41
so distinguished her . 51
so distinguished him . 205
so distinguished them . 72
so exasperated him . 84
so excessively dear ? 56
so excessively odd . 313
so extensively read . 107
so frightfully bad ! 59
so frightfully hot . 70
so frightfully real . 58
so independent now . 49
so interpreted them . 279
so intimidates them . 47
so irremediably bad ? 84
so overwhelmed her . 44
so overwhelmed him . 70
so prodigiously old . 48
so represented them . 129
so tantalizingly near . 132
so transformed him . 99
so unaccounted for . 46
so unimportant now . 236
so universally read . 49
so unutterably sad . 75
so wonderfully real . 42
son accompanied him . 284
son interrupted him . 56
