sea broke continually over 52
sea level fluctuations during 157
sea level fluctuations from 42
sea level fluctuations have 70
sea level fluctuations were 115
sea level oscillations along 44
sea would occasionally break 47
so easily assimilated into 101
so easily convertible into 161
so easily degenerated into 61
so easily degenerates into 394
so easily discouraged from 49
so easily disentangled from 62
so easily distinguished from 1168
so easily transferred from 182
so easily transformed into 317
so easily transmitted from 44
so easily transported from 47
so fully assimilated into 71
so fully established their 42
so nobly represented must 118
so often accompanied their 46
so often accompanies great 95
so often accompanies such 209
so often accompanies these 138
so often degenerated into 207
so often degenerates into 202
so often encountered among 160
so often encountered during 67
so often encountered when 136
so often experienced during 76
so often experienced from 192
so often experienced here 40
so often experienced when 233
so often experienced your 54
so often experiences when 41
so often inseparable from 122
so often interrupted here 66
so often recommended from 65
so often transferred from 195
so often transformed into 46
so often transmitted from 61
so quite differently from 68
so small satisfaction there 49
so under instructions from 109
so would necessarily have 52
so would undoubtedly have 194
