sable three escallops of 56
sagas were committed to 52
sages have forbidden it 41
sages took advantage of 65
sailing from alexandria to 367
sailing from amsterdam to 189
sailing from baltimore to 114
sailing from barcelona to 162
sailing from california to 75
sailing from gibraltar to 326
sailing from liverpool in 269
sailing from liverpool on 612
sailing from liverpool or 129
sailing from liverpool to 1476
sailing from marseille to 45
sailing from melbourne to 40
sailing from portsmouth in 117
sailing from portsmouth on 163
sailing from portsmouth to 145
sailing from rotterdam to 197
sailing from vancouver to 110
sails from liverpool on 153
sails from liverpool to 59
sails from portsmouth on 52
sales data collected at 40
sales data collected by 51
sales data presented in 101
sales from producers to 93
sales have continued to 549
sales have stagnated in 47
sales leads generated by 73
sales over purchases of 51
sales tend naturally to 101
sales vice president in 48
sales vice president of 476
sales were announced in 49
sales were authorized by 61
sales were collected in 52
sales were completed by 71
sales were completed in 76
sales were conducted at 49
sales were conducted by 218
sales were conducted in 145
sales were conducted on 156
sales were dependent on 78
sales were deposited in 58
sales were difficult to 54
sales were dominated by 134
sales were estimated at 829
sales were estimated by 67
sales were estimated to 492
sales were forbidden by 54
sales were generated by 268
sales were generated in 79
sales were important to 49
sales were motivated by 77
sales were necessary to 147
sales were predicted to 51
sales were projected at 62
sales were projected to 250
sales were reflected in 72
sales were regulated by 56
sales were suspended in 55
sales were unrelated to 53
sales when inventory is 54
sales will determine the 58
sales will generally be 76
salts more sensitive to 141
salts were contained in 51
salts were converted to 66
salts were deposited in 159
salts were deposited on 59
salts were dissolved in 1076
salts were effective in 49
salts were subjected to 49
salts when dissolved in 577
sands were deposited as 90
sands were deposited by 161
sands were deposited in 879
sands were deposited on 301
sandy areas throughout the 44
sandy beach protected by 50
sandy beach sheltered by 42
sandy hill overlooking the 50
sandy loam underlain by 93
sandy soil throughout the 71
sandy soil underlain by 40
saved from absorption by 86
saved from absorption in 87
saved from absurdity by 127
saved from amputation by 53
saved from annexation by 54
saved from arrogance by 58
saved from austerity by 52
saved from blindness by 76
saved from captivity by 80
saved from communism by 87
saved from conviction by 113
saved from corruption by 92
saved from demolition by 634
saved from demolition in 372
saved from deposition by 64
saved from depression by 41
saved from discovery by 75
saved from dismissal by 91
saved from disruption by 58
saved from domination by 72
saved from extinction as 135
saved from extinction at 110
saved from extinction by 2335
saved from extinction in 356
saved from extinction the 82
saved from humiliation by 85
saved from inundation by 58
saved from mediocrity by 155
saved from melodrama by 44
saved from mutilation by 40
saved from obscurity by 173
saved from oppression by 111
saved from ourselves by 58
saved from perfection by 44
saved from pessimism by 50
saved from preemption by 195
saved from refutation by 64
saved from revolution by 76
saved from sacrifice by 91
saved from shipwreck by 612
saved from shipwreck in 90
saved from shipwreck on 119
saved from shipwreck to 40
saved from slaughter by 103
saved from stagnation by 87
saved from starvation at 41
saved from starvation by 2176
saved from starvation in 242
saved from starvation or 93
saved from subjection to 48
saved from temptation by 67
saved from themselves by 259
saved from triteness by 49
saved from triviality by 87
saved from vulgarity by 166
saved their privilege by 70
savings bank chartered by 45
savings bank depositor is 202
savings bank insurance in 109
savings from economies of 724
savings from eliminating the 251
savings from prevention of 43
savings from reductions in 562
savings have continued to 70
savings made available by 87
savings made available to 81
savings plan available to 81
savings rate continued to 40
savings rate continues to 42
savings were available to 104
savings were deposited in 132
savings were difficult to 40
savings were estimated at 445
savings were estimated by 70
savings were estimated to 308
savings were generated by 63
savings were necessary to 44
savings were projected to 109
savings were reflected in 65
savings were swallowed up 115
sayings have parallels in 63
sayings were addressed to 40
sayings were collected by 117
sayings were collected in 90
sayings were preserved in 47
scale also indicates the 50
scale arms shipments to 129
scale data collection in 89
scale food production in 65
scale from excellent to 193
scale from primitive to 49
scale here presented to 43
scale land ownership in 48
scale made necessary by 63
scale maps published by 66
scale mass movements in 54
scale mass production in 55
scale mass production is 99
scale mass production of 535
scale mining operations in 509
scale mining operations of 41
scale reading indicates the 109
scale rice production in 44
scale seed production of 46
scale used throughout the 83
scale were conducted by 113
scale were conducted in 97
scale were converted to 45
scale were developed by 55
scale were developed in 42
scale were developed to 85
scale were difficult to 43
scale were subjected to 114
scale when considering the 147
scale will determine the 273
scale will generally be 174
scale will influence the 148
scale will represent the 235
scaling laws discussed in 51
scans were collected at 67
scans were conducted at 68
scans were conducted in 40
scans were conducted on 54
scans were performed as 43
scans were performed at 397
scans were performed by 81
scans were performed in 1077
scans were performed on 1389
scans were performed to 152
scant data available on 120
scare into submission the 44
scene been witnessed in 88
scene ever witnessed by 49
scene ever witnessed in 288
scene ever witnessed on 63
scene from childhood is 42
scene have commented on 79
scene have continued so 56
scene here described is 135
scene here presented is 71
scene here presented to 68
scene just described in 49
scene just described is 211
scene like passengers on 40
scene once witnessed in 68
scene were indicated by 71
scene were presented to 70
scene were reflected in 41
scene were witnessed in 55
score great successes in 46
score some successes in 114
score test statistic is 205
score were dispelled by 41
score will represent the 46
score your responses to 57
scrap iron collector in 74
scrap iron shipments to 68
scream from somewhere in 168
screw axes indicated by 62
screw their faculties up 51
seabed mining provisions of 332
sealed disc container in 197
sealed disk container in 50
sealed note addressed to 57
sealed their testimony by 93
sealed their testimony in 62
sealed their testimony to 209
seaman took possession of 53
seamen made prisoners by 47
seamen took advantage of 71
seamen took possession of 112
seamen were appointed to 52
seamen were collected on 42
seamen were compelled to 172
seamen were impatient to 86
seamen were impressed by 77
seamen were impressed in 48
seamen were incapable of 43
seamen were permitted to 114
seamen were possessed to 130
seamen were reluctant to 60
seamen were subjected to 72
search coil connected to 160
search firm specializing in 414
search made throughout the 84
search more efficient by 46
search more thoroughly on 187
search their cupboards or 107
search tree generated by 360
search very carefully to 42
search were conducted is 173
search will generally be 40
season from christmas to 126
season from michaelmas to 47
season from september to 1328
season from thanksgiving to 71
season most conducive to 41
season most favorable to 108
season took possession of 60
season were estimated at 64
season were estimated to 40
season were plentiful in 42
season when everybody is 130
season when irrigation is 92
season when navigation is 109
season when production is 44
season when vegetation is 98
season will determine the 68
season will doubtless be 149
seated their commander at 76
sects have attempted to 66
sects have concurred in 214
sects have continued to 59
sects were forbidden to 58
sects will subscribe the 114
seeds from germinating in 92
seeds were available in 63
seeds were available to 62
seeds were collected at 83
seeds were collected by 177
seeds were collected in 348
seeds were collected on 52
seeds were contained in 70
seeds were deposited in 132
seeds were destroyed by 48
seeds were difficult to 68
seeds were dispersed by 44
seeds were germinating in 42
seeds were harvested at 55
seeds were harvested in 62
seeds were implanted in 101
seeds were incubated at 86
seeds were incubated in 126
seeds were preserved in 54
seeds were recovered in 85
seeds were scattered by 105
seeds were scattered in 98
seeds were scattered of 52
seeds were scattered on 94
seeds were separated by 46
seeds were subjected to 357
seeds were suspended in 50
seeds will germinate as 109
seeds will germinate at 206
seeds will germinate if 102
seeds will germinate in 1516
seeds will germinate on 87
seeds will germinate the 77
seeking more knowledge of 120
seeking prior permission of 80
seeking some assurance of 48
seeking some indication of 89
seeking some knowledge of 80
seeking some resolution of 44
seeking some semblance of 83
seeking their agreement to 125
seeking their happiness in 161
seeking their permission to 111
seeking work throughout the 68
seeking your permission to 152
seeks only amusement in 41
seeks your permission to 49
seems also confirmed by 99
seems also desirable to 149
seems also difficult to 81
seems also important to 138
seems also indicated by 81
seems also necessary to 296
seems also plausible to 47
seems also reasonable to 320
seems also reflected in 43
seems also sometimes to 82
seems also supported by 57
seems best described as 977
seems best described by 182
seems best described in 57
seems best explained as 818
seems best explained by 910
seems best explained in 113
seems best explained on 63
seems best expressed by 121
seems best expressed in 112
seems best indicated by 43
seems best qualified to 107
seems best sometimes to 76
seems best supported by 122
seems even sometimes to 41
seems ever addressed to 43
seems from childhood to 50
seems less committed to 86
seems less concerned to 119
seems less conducive to 49
seems less convinced of 43
seems less dependent on 218
seems less desirable to 49
seems less difficult to 274
seems less effective in 112
seems less favorable to 64
seems less important as 219
seems less important at 41
seems less important in 427
seems less important to 872
seems less interesting to 55
seems less motivated by 53
seems less necessary to 104
seems less offensive to 49
seems less pernicious in 94
seems less plausible as 84
seems less plausible in 108
seems less plausible to 164
seems less prevalent in 46
seems less prominent in 41
seems less reasonable to 215
seems less sensitive to 208
seems like blasphemy to 80
seems like deflowering the 43
