sabbatical the following year 93
sacraments as baptism and 186
sacraments in general and 277
sacraments in harmony with 60
sacraments of baptism and 12894
sacraments of marriage and 364
sacraments of penance and 2775
sacraments to baptism and 116
sacraments to parents who 88
sacredness in america not 45
sacredness in suffering and 53
sacredness of marriage and 790
sacredness of marriage was 66
sacredness of religion and 41
sacredness of treaties and 146
sacrificed in achieving his 58
sacrificed in exchange for 477
sacrificed in producing two 47
sacrificed the animals and 102
sacrificed the comfort and 66
sacrificed the dignity and 45
sacrificed the following day 44
sacrificed the present for 76
sacrificed the welfare and 49
sacrificed to achieve its 55
sacrificed to achieve that 91
sacrificed to achieve this 178
sacrificed to artemis and 44
sacrificed to avarice and 47
sacrificed to bacchus and 59
sacrificed to demeter and 110
sacrificed to dionysus and 40
sacrificed to dionysus was 49
sacrificed to gratify his 52
sacrificed to jupiter and 103
sacrificed to pleasure and 108
sacrificed to produce her 179
sacrificed to produce one 60
sacrificed to produce them 80
sacrificed to provide for 84
sacrificed to satisfy his 66
sacrificed to sustain his 41
sacrifices in asserting them 41
sacrifices in comfort and 42
sacrifices in exchange for 621
sacrifices in general and 44
sacrifices it demands are 85
sacrifices my parents had 40
sacrifices of abraham and 81
sacrifices of animals and 861
sacrifices of animals are 108
sacrifices of animals that 126
sacrifices of comfort and 205
sacrifices of dignity and 56
sacrifices of expiation and 63
sacrifices of flowers and 59
sacrifices of fortune and 44
sacrifices of freedom and 52
sacrifices of himself and 49
sacrifices of leisure and 54
sacrifices of liberty and 49
sacrifices of parents and 66
sacrifices of parents for 76
sacrifices of pleasure and 71
sacrifices of prayers and 70
sacrifices of society are 42
sacrifices of treasure and 102
sacrifices or offerings are 190
sacrifices the present for 299
sacrifices to achieve his 42
sacrifices to achieve that 206
sacrifices to achieve them 85
sacrifices to achieve this 204
sacrifices to demeter and 48
sacrifices to educate her 47
sacrifices to educate him 44
sacrifices to improve its 50
sacrifices to jupiter and 205
sacrifices to lustful and 42
sacrifices to placate him 75
sacrifices to pleasure and 81
sacrifices to promote its 142
sacrifices to protect and 69
sacrifices to provide for 341
sacrifices to spirits and 63
sacrifices to support and 40
sacrifices to support his 89
sacrifices to sustain them 40
safeguarding of forests and 551
safeguarding of freedom and 192
safeguarding of liberty and 62
safeguarding of persons and 551
safeguarding the country and 87
safeguarding the dignity and 159
safeguarding the freedom and 203
safeguarding the liberty and 89
safeguarding the position and 41
safeguarding the privacy and 64
safeguarding the quality and 59
