saddled their nest in 53
saddles were flung on 96
saddles were made by 59
saddles were made of 154
sadness came from the 99
sadness came into the 105
sadness came over me 2955
sadness came over my 151
sadness came over the 281
sadness came over us 132
sadness came upon me 56
sadness come over me 257
sadness coming from the 95
sadness coming over me 211
sadness fell over me 56
sadness fell over the 79
sadness fell upon me 201
sadness fell upon the 254
sadness from time to 172
sadness hanging over the 131
sadness hangs over the 69
sadness must come of 48
sadness over having to 105
sadness over loss of 97
sadness over what he 43
sadness steal over me 100
sadness took hold of 416
sadness wash over me 166
sailors away from the 216
sailors back from the 47
sailors back into the 73
sailors came back to 70
sailors came down the 68
sailors came down to 42
sailors came from the 142
sailors came into the 134
sailors came over the 42
sailors cast away on 93
sailors cast lots to 162
sailors clad only in 44
sailors come from the 60
sailors coming from the 128
sailors coming into the 51
sailors died during the 55
sailors down into the 55
sailors fell from the 45
sailors fell into the 104
sailors fled into the 48
sailors flung into the 103
sailors from among the 57
sailors from time to 62
sailors hanging over the 50
sailors have been in 49
sailors have been the 64
sailors have come to 128
sailors have gone to 41
sailors have nothing to 44
sailors have seen it 58
sailors have time to 57
sailors have told me 70
sailors have used the 48
sailors home from the 164
sailors knew nothing of 57
sailors leaning over the 129
sailors made ready to 57
sailors must learn to 41
sailors need most the 42
sailors sent forth by 46
sailors sent from the 41
sailors taking part in 65
sailors took hold of 67
sailors took over the 116
sailors took part in 203
sailors very idle at 94
sailors went back to 183
sailors went down to 53
sailors went into the 147
sailors went over the 50
sailors were able to 908
sailors were among the 360
sailors were back in 43
sailors were busy at 47
sailors were busy in 131
sailors were eager to 215
sailors were fond of 82
sailors were free to 53
sailors were from the 74
sailors were full of 77
sailors were glad to 182
sailors were held in 123
sailors were just as 101
sailors were kept in 106
sailors were kept on 113
sailors were left in 57
sailors were left to 144
sailors were loath to 60
sailors were lost at 42
sailors were lost in 84
sailors were made of 44
sailors were making the 43
sailors were part of 52
sailors were ready to 386
sailors were said to 195
sailors were seen on 44
sailors were seen to 46
sailors were sent in 94
sailors were sent on 196
sailors were sent to 538
sailors were sure to 54
sailors were taking it 46
sailors were there to 42
sailors were told to 82
sailors were trying to 425
sailors were used to 120
sailors were wont to 202
sailors will also be 135
sailors will come to 59
sailors will have to 87
saintly life need in 48
salamis hanging from the 116
salient fact here is 78
salient fact must be 54
salient living spring of 47
salient when there is 60
sallied forth along the 102
sallied forth among the 71
sallied forth down the 47
sallied forth during the 63
sallied forth early in 70
sallied forth from it 72
sallied forth from my 120
sallied forth from the 5871
sallied forth full of 112
sallied forth into the 5752
sallied forth onto the 80
sallied forth over the 63
sallied forth upon my 47
sallied forth upon the 889
sallied from time to 47
sallies forth from the 502
sallies forth into the 1380
sallies forth upon the 44
sallies forth when the 94
sallies from time to 47
sallies made from the 68
sallies were made at 71
sallies were made by 317
sallies were made on 66
sallies were made to 46
saloons rose into my 49
saloons were full of 76
saloons were open to 41
saluted from afar the 45
saluted pope pius ii 49
salvage made prior to 157
salvage much from the 65
salvage nothing from the 40
salvage some form of 119
salvage some kind of 241
salvage some part of 577
salvage some sort of 394
sampled data from the 257
sampled from among the 78
sampled from time to 162
sampled just prior to 78
sampled once during the 47
sampled only during the 100
sampled only from the 137
sampled were able to 89
sampled were from the 100
samples also have the 60
samples also must be 55
samples also show the 64
samples also tend to 73
samples away from the 97
samples back from the 44
samples back into the 67
samples came from the 1833
samples come from an 53
samples come from the 2352
samples coming from the 445
samples data from the 41
samples date from the 41
samples dating back to 91
samples dating from the 100
samples even from the 40
samples even when the 118
samples fall into the 199
samples fell into the 71
samples from along the 50
samples from among the 151
samples from areas of 194
samples from deep in 48
samples from five of 68
samples from four of 125
samples from left to 94
samples from many of 155
samples from most of 218
samples from north of 51
samples from only the 56
samples from some of 532
samples from those of 77
samples from three of 153
samples from three or 55
samples from time to 478
samples gave rise to 88
samples give rise to 169
samples giving rise to 67
samples have been in 78
samples have been of 56
samples have been so 53
samples have been the 81
samples just prior to 102
samples made from the 247
samples must also be 449
samples must have the 79
samples need only be 159
samples only from the 175
samples only when the 98
samples over time to 47
samples range from the 46
samples ranging from the 89
samples sent back to 44
samples sent from the 104
samples there were no 85
samples there will be 140
samples used during the 46
samples used must be 67
samples used were of 40
samples used were the 64
samples were able to 215
samples were aged at 165
samples were aged in 112
samples were among the 48
samples were cast in 84
samples were done at 58
samples were done by 144
samples were done in 212
samples were done on 52
samples were free of 248
samples were from the 1017
samples were held at 1517
samples were held in 450
samples were held on 47
samples were high in 56
samples were kept at 2794
samples were kept in 1953
samples were kept on 302
samples were left at 144
samples were left in 312
samples were left on 44
samples were left to 301
samples were lost in 49
samples were made as 124
samples were made at 243
samples were made by 1061
samples were made in 1061
samples were made of 347
samples were made on 330
samples were made to 189
samples were made up 1112
samples were more or 78
samples were part of 82
samples were ready to 46
samples were rich in 89
samples were said to 86
samples were seen to 41
samples were sent by 142
samples were sent in 304
samples were sent to 2961
samples were spun at 205
samples were spun in 61
samples were those of 64
samples were used as 2089
samples were used at 110
samples were used by 110
samples were used in 4529
samples were used to 3529
samples when five or 66
samples when there is 120
samples will also be 458
samples will fall on 78
samples will give an 95
samples will give the 105
samples will give us 59
samples will have an 79
samples will have no 40
samples will have the 178
samples will have to 629
samples will help to 98
samples will need to 320
samples will only be 54
samples will show the 146
samples will tell us 42
samples will tend to 531
samplings were made at 104
samplings were made in 128
samurai were able to 260
sanction came from the 56
sanction from time or 42
sanction from time to 49
sanction gave rise to 40
sanction laid down in 50
sanction only when the 43
sanction some form of 145
sanction such acts as 43
sanction such acts of 44
