saddled great britain with 50
saddles were covered with 125
saddles were emptied and 94
saddles were whipped off 40
sailors have dressed him 120
sailors were carried off 45
sailors were charged with 75
sailors were familiar with 124
sailors were wounded and 66
salient fact emerges that 91
salient fact remains that 506
salient risk factors for 76
sallied forth against them 169
sallied from granada for 59
sallies even against his 85
sallies were greeted with 42
saloons were crowded and 40
saloons were crowded with 160
salvage work carried out 45
sampled data systems are 50
samples also suggest that 119
samples during storage and 45
samples from animals that 44
samples from animals with 75
samples from central and 49
samples from control and 146
samples from florida and 73
samples from infants and 67
samples from infants with 49
samples from mineral and 54
samples from northern and 52
samples from persons who 73
samples from persons with 94
samples from southeast asia 127
samples from surface and 52
samples have revealed that 225
samples much smaller than 240
samples were amended with 81
samples were annealed and 40
samples were annealed for 653
samples were annealed with 50
samples were assayed and 48
samples were assayed for 1518
samples were assayed using 99
samples were assayed with 101
samples were carried out 3430
samples were checked for 240
samples were counted and 95
samples were counted for 446
samples were counted using 114
samples were counted with 149
samples were covered with 486
samples were crushed and 353
samples were diluted and 182
samples were diluted with 2373
samples were divided and 47
samples were excited with 203
samples were exposed for 218
samples were flushed with 107
samples were gathered and 68
samples were gathered for 44
samples were handled with 41
samples were labeled and 62
samples were labeled with 353
samples were matched for 162
samples were matched with 40
samples were measured and 309
samples were measured for 442
samples were measured using 791
samples were measured with 745
samples were mounted and 86
samples were mounted with 86
samples were reduced with 149
samples were removed and 1320
samples were removed for 713
samples were removed with 112
samples were scanned using 57
samples were scanned with 47
samples were similar and 59
samples were smaller than 129
samples were sprayed with 41
samples were stained for 71
samples were stained with 505
samples were stirred for 58
samples were studied and 105
samples were studied for 159
samples were studied using 294
samples were studied with 203
samples were weighed and 806
samples were weighed for 46
samples were weighed out 149
samples were weighed with 42
samples were wrapped with 47
samplings were carried out 349
samurai from satsuma and 202
sanction much stronger than 46
sandals were covered with 48
sandals were studded with 117
sarcoma among persons with 277
satisfy five thousand men 100
satisfy their ambition and 170
satisfy their ambition for 69
satisfy their avarice and 114
satisfy their clients and 70
satisfy their criteria for 51
satisfy their demands and 280
satisfy their demands for 1021
satisfy their demands with 46
satisfy their desires and 666
satisfy their desires but 42
satisfy their desires for 891
satisfy their desires than 43
satisfy their desires with 440
satisfy their emotions and 41
satisfy their material and 336
satisfy their passions and 90
satisfy their passions with 40
satisfy these criteria and 345
satisfy these criteria are 307
satisfy these criteria can 41
satisfy these criteria for 115
satisfy these demands and 238
satisfy these demands are 70
satisfy these demands for 78
satisfy these desires and 83
satisfy these desires are 43
satisfy those critics who 185
satisfy those desires and 82
satisfy those desires that 42
satisfy those members who 54
satisfy those persons who 217
satisfy your cruelty and 60
satisfy your desires and 87
satisfy your desires for 62
satisfy your desires with 53
satisfy your request for 55
savages none perhaps are 45
savages were defeated with 44
savages will respect you 43
sawdust soon righted that 53
scalped their enemies and 68
scalped their victims and 50
scandal ever touched her 74
scandal ever touched him 79
scandal ever touched his 48
scandal upon religion and 51
scandal worth reporting that 40
scarlet cloth trimmed with 199
scarlet coat trimmed with 140
scarlet gown trimmed with 48
scarlet robe trimmed with 108
scarlet silk stockings with 60
scatter like rabbits and 43
scatter more strongly than 58
scatter their insults and 133
scenario also assumes that 337
scenario also implies that 44
scented lady rustles her 47
schemes also provide for 47
schemes ever devised for 86
schemes fail because they 41
schemes have evolved for 55
schemes have existed for 64
schemes must provide for 44
schemes were adopted and 50
schemes were adopted for 95
schemes were carried out 2395
schemes were crowned with 72
schemes were devised and 160
schemes were devised for 492
schemes were evolved for 68
schemes were floated for 43
schemes were hatched and 51
schemes were planned and 128
schemes were planned for 78
schemes were started and 58
schemes were started for 79
scholar coming towards him 55
scholar once admired for 58
scholar will observe that 46
schools also provide for 91
schools also require that 123
schools fail because they 58
schools from parents and 49
schools grew rapidly and 43
schools have adopted its 444
schools have adopted this 217
schools have applied for 66
schools have arranged for 85
schools have assumed that 147
schools have carried out 119
schools have claimed that 47
schools have classes for 57
schools have decided that 199
schools have existed and 43
schools have existed for 254
schools have parents who 55
schools have pointed out 83
schools have realized that 98
schools have revealed that 108
schools have teachers and 45
schools have teachers who 220
schools have teachers with 63
schools having allowed and 60
schools into centers for 46
schools into contact with 75
schools into harmony with 62
schools into primary and 100
schools just because they 94
schools like columbia and 47
schools like hampton and 131
schools like harvard and 285
schools more closely with 123
schools more quickly than 45
schools more rapidly than 85
schools must compete for 114
schools must compete with 107
schools must contend with 64
schools must develop and 44
schools must educate for 58
schools must prepare all 48
schools must prepare for 65
schools must provide all 47
schools must provide for 261
schools need teachers who 91
schools only because they 70
schools were arranged for 41
schools were carried out 153
schools were charged with 305
schools were competing for 48
schools were complying with 49
schools were content with 43
schools were crowded and 97
schools were crowded with 185
schools were endowed with 49
schools were erected and 115
schools were erected for 79
schools were familiar with 77
schools were flooded with 138
schools were founded all 55
schools were founded and 1078
schools were founded for 613
schools were founded out 51
schools were founded that 53
schools were founded with 208
schools were inferior and 87
schools were inferior with 143
schools were largely due 44
schools were located and 134
schools were located near 76
schools were managed and 90
schools were matched for 60
schools were matched with 151
schools were operating with 98
schools were plagued with 49
schools were planned and 75
schools were planned for 132
schools were planted with 49
schools were pointed out 41
schools were popular and 72
schools were popular with 68
schools were preparing for 83
schools were private and 296
schools were rebuilt and 43
schools were reopened and 162
schools were reopened for 40
schools were schools for 69
schools were smaller and 46
schools were smaller than 64
schools were staffed and 41
schools were staffed with 244
schools were started all 63
schools were started and 350
schools were started for 407
schools were started with 121
schools were studied and 65
schools were unequal and 52
schools were ungraded and 50
schools were usually not 50
schools were usually run 103
schools were visited and 241
schools were visited for 46
schools will compete for 46
schools will compete with 42
schools will contact you 42
schools will improve and 64
schools will increase and 41
schools will provide for 46
schools will provide you 46
schools will require all 46
schools will require that 205
schools will require you 142
schools work closely with 157
schools work together with 87
science deals chiefly with 158
science fair project and 116
science fair project can 66
science fair project for 80
science fair project that 162
science fair project was 86
science from expecting that 50
science from harvard and 42
science from religion and 160
science have assumed that 91
science have claimed that 162
science have pointed out 878
science have revealed that 91
science into contact with 119
science into harmony with 128
science into relation with 77
science just because they 53
science like physics and 162
science more certain than 95
science more closely than 53
science more complex than 41
science more evident than 60
science must account for 195
science must contend with 58
science must develop its 61
science must include all 55
science once becomes old 51
science only because they 104
science over religion and 77
science upon examining all 71
science were content with 51
science will account for 60
science will examine not 50
sconces were kindled for 76
scooped into valleys and 49
scrapie prion protein using 54
scratch vain prayers and 59
screening test results and 189
screening test results are 367
screening test results for 93
screening were carried out 48
screens were carried out 69
