s also worth checking 41
s among some grassy 88
s arms came around 202
s arms from around 94
s arms from behind 90
s arms went around 179
s arms were around 423
s arms were folded 80
s beach club resort 127
s been acting strange 105
s been done already 138
s been done before 731
s been good enough 46
s been hanging around 392
s been hard enough 40
s been here before 377
s been kind enough 163
s been left behind 66
s been over twenty 119
s been said before 365
s been there before 299
s been very little 98
s beer hall putsch 53
s best high school 87
s best kept secret 807
s blue eyes filled 59
s blue eyes looked 99
s blue eyes opened 171
s blue eyes stared 47
s blue eyes turned 68
s book club edition 43
s book into english 42
s book went through 45
s breath their masked 58
s call came through 98
s case came before 76
s coming along nicely 54
s coming into office 100
s crew were killed 88
s dark eyes gleamed 70
s dark eyes looked 127
s dark eyes seemed 107
s days were filled 145
s days were passed 44
s dream into reality 42
s early life except 53
s even more famous 102
s even more likely 48
s ever been before 209
s ever seen before 65
s eyes fell before 73
s eyes grew bigger 42
s eyes grew bright 111
s eyes grew larger 101
s eyes half closed 43
s eyes just before 45
s eyes were ablaze 41
s eyes were alight 97
s eyes were almost 125
s eyes were already 353
s eyes were always 146
s eyes were bright 676
s eyes were brimming 101
s eyes were caught 47
s eyes were closed 3046
s eyes were dimmed 80
s eyes were filled 592
s eyes were flashing 95
s eyes were glassy 165
s eyes were glazed 228
s eyes were hidden 131
s eyes were hooded 92
s eyes were intent 51
s eyes were lifted 43
s eyes were locked 131
s eyes were narrow 58
s eyes were opened 644
s eyes were raised 49
s eyes were searching 57
s eyes were starting 73
s eyes were swimming 46
s eyes were turned 373
s eyes were watching 79
s eyes were watering 68
s eyes were watery 43
s face grew bright 50
s face grew darker 168
s face grew purple 58
s face grew radiant 43
s face grew redder 103
s face grew serious 137
s face grew solemn 44
s face just before 95
s face more clearly 84
s face rose before 49
s face swam before 55
s face went through 47
s fair trial rights 68
s fall from office 81
s feet were firmly 53
s give three cheers 126
s good faith belief 128
s good faith effort 48
s good will toward 381
s great open spaces 57
s great rift valley 103
s half past eleven 59
s hand just before 44
s hand more firmly 50
s hard riding showed 40
s hard work before 49
s have been called 47
s have been changed 62
s have been chosen 130
s have been placed 44
s have bread enough 431
s have some coffee 287
s having been chosen 43
s having been created 42
s health care crisis 150
s health care market 44
s health care reform 283
s health care system 2041
s health will permit 53
s heart beats faster 45
s heart grew heavier 93
s heart when caught 42
s high time someone 49
s home rule policy 73
s ideal body weight 86
s ideas have become 78
s ideas were already 42
s ideas were further 112
s ideas were widely 70
s just been through 54
s just room enough 45
s just such another 48
s just your opinion 44
s last acts before 70
s last full fiscal 85
s last great battle 52
s last great effort 50
s last stop before 42
s last three novels 74
s legs were broken 54
s life been spared 81
s life were filled 61
s life were marked 110
s life were passed 223
s life will always 92
s lips were closed 47
s lips were parted 85
s lips were pursed 68
s living room window 184
s main bank system 55
s main post office 189
s mind even before 47
s most deep decree 107
s most rare device 72
s much less likely 105
s much more common 70
s much more exciting 54
s much more likely 981
s much more recent 44
s much more serious 58
s much more useful 49
s name also appears 134
s name will always 317
s name will remain 64
s neck from behind 171
s next three novels 44
s none like pretty 95
s north asian colony 114
s north korea policy 114
s nothing good enough 43
s nothing more annoying 105
s nothing more exciting 80
s only high school 40
s only three blocks 100
s only true friend 97
s open door policy 1337
s other best friend 82
s pale face turned 41
s plan into effect 54
s poor rich indians 51
s rays pass through 211
s reach must exceed 88
s ride from london 50
s role will become 44
s room just before 51
s saks fifth avenue 43
s single most famous 42
s some time before 65
s sons were killed 78
s taking upon itself 81
s tent young ishmael 99
s third piano sonata 47
s three main engines 47
s three mile island 59
s three most famous 125
s three most recent 62
s very best friend 196
s very good friend 272
s very good indeed 146
s very much better 66
s walk from london 45
s were more likely 146
s were much higher 92
s west india policy 204
s what will happen 789
s wide open spaces 63
s wild west dinner 70
s will find titles 50
s will pass through 97
s will upon another 45
s wood high street 64
s work into english 314
s work into german 41
s work will always 101
s work will become 142
s work will remain 47
s your best chance 110
s your best friend 522
s your lady friend 41
s your last chance 340
s your only chance 562
