sac continuous with the 201
sad associations with it 40
sad associations with the 70
sad commentary for the 44
sad commentary that in 134
sad commentary that it 64
sad commentary that so 80
sad commentary that the 394
sad commentary that we 167
sad comparison with the 62
sad experience and the 55
sad experience for me 161
sad experience for the 181
sad experience how to 49
sad experience not to 111
sad experience that at 40
sad experience that he 162
sad experience that if 86
sad experience that in 86
sad experience that it 558
sad experience that no 74
sad experience that the 980
sad experience that to 76
sad experience that we 102
sad experience was to 84
sad experience with the 624
sad familiarity with the 91
sad information that the 47
sad lamentation for the 75
sad misfortune for the 67
sad misfortune that the 50
sad observation that the 63
sad recognition that the 82
sad substitute for the 181
sang beautifully and the 55
sat downstairs with the 50
sat grandfather all by 72
sat speechless all the 40
saw advantages for the 81
saw beforehand that the 42
saw completely eye to 60
saw cooperation with the 272
saw distinctly for the 100
saw distinctly how the 53
saw distinctly that he 128
saw distinctly that it 164
saw distinctly that no 273
saw distinctly that the 418
saw everywhere and in 40
saw government not as 133
saw immediately how it 41
saw immediately how the 108
saw immediately that he 1361
saw immediately that if 140
saw immediately that in 57
saw immediately that it 2363
saw immediately that my 117
saw immediately that the 2581
saw immediately that we 128
saw immediately why the 57
saw inadequate aid in 40
saw indications that the 240
say absolutely that he 122
say absolutely that it 210
say absolutely that the 362
say accurately that the 52
say beforehand how it 76
say beforehand how the 51
say beforehand that he 205
say beforehand that in 42
say beforehand that it 424
say beforehand that the 492
say conversely that the 106
say convincingly that the 42
say decisively that the 70
say definitely and in 50
say definitely how it 45
say definitely how the 111
say definitely that an 48
say definitely that he 578
say definitely that if 107
say definitely that in 109
say definitely that it 849
say definitely that no 91
say definitely that the 2040
say definitely that we 242
say distinctly that he 300
say distinctly that if 89
say distinctly that it 113
say distinctly that the 460
say distinctly that we 92
say enterprise out of 83
say essentially that the 48
say explicitly how the 43
say explicitly that he 504
say explicitly that if 49
say explicitly that in 57
say explicitly that it 318
say explicitly that the 1187
say explicitly that we 86
say frequently that he 77
say frequently that the 45
say furthermore that the 54
say immediately that he 76
say immediately that if 86
say immediately that in 61
say immediately that it 194
say immediately that the 577
say immediately that we 107
say implicitly that we 43
say informally that the 59
say positively how the 50
say positively that he 807
say positively that if 58
say positively that in 59
say positively that it 989
say positively that no 177
say positively that on 55
say positively that the 1840
say positively that we 257
say premarital sex is 90
say scornfully that the 46
seal impressions and the 140
seal impressions with the 136
seal populations can be 75
seam allowances and the 133
seam allowances can be 151
seam allowances for the 289
seat adjustment with the 292
seat auditorium and an 83
seat auditorium and the 92
seat auditorium for the 109
see absolutely eye to 82
see accurately and to 87
see advantages for the 89
see beforehand that it 98
see beforehand that the 160
see beforehand that we 110
see completely eye to 108
see concretely how the 47
see congregation for the 93
see connections and to 61
see connections with the 101
see constantly and to 147
see constantly going on 61
see continuity with the 107
see cooperation with the 82
see distinctly all the 107
see distinctly and it 55
see distinctly far or 229
see distinctly how the 127
see distinctly that it 87
see distinctly that the 337
see distinctly that we 61
see distinctly with the 100
see eventually that the 59
see everywhere and in 107
see everywhere going on 40
see everywhere that the 152
see everywhere you go 54
see explicitly how the 89
see explicitly that the 160
see furthermore that the 137
see government and the 260
see guidelines for the 63
see habitually going on 158
see immediately how it 104
see immediately how the 459
see immediately how to 124
see immediately that an 93
see immediately that as 104
see immediately that at 43
see immediately that by 61
see immediately that he 620
see immediately that if 387
see immediately that in 358
see immediately that it 1257
see immediately that no 136
see immediately that the 5831
see immediately that to 44
see immediately that we 436
see immediately why he 40
see immediately why it 71
see immediately why the 211
see immigration act of 60
see indications that the 346
see information that is 160
see manifestly that the 41
see memorandum for the 281
see personally how the 47
see personally that it 55
see personally that the 157
see philosophy and the 105
see philosophy not as 65
see recognized that it 58
see references for the 149
see regulations for the 60
see relatively few of 51
see securities act of 135
see shakespeare and the 219
see statements that the 62
see statistics for the 40
see versailles and the 52
see yourselves that my 65
sen university and the 181
set appropriate for the 166
set attributes for the 255
set benchmarks for the 217
set boundaries and to 129
set boundaries for the 1349
set boundaries with the 45
set compatible with the 253
set concentric with the 57
set conference with the 41
set consistent with the 491
set curriculum for the 86
set guarantees that the 42
set guidelines for the 4266
set incentives for the 48
set information can be 125
set membership and the 101
set membership can be 176
set milestones for the 40
set objectives and the 114
set objectives and to 371
set objectives can be 95
set objectives for the 2144
set occurrence for the 114
set parameters and the 57
set parameters for an 89
set parameters for the 1877
set permissions for the 805
set precedence for the 47
set precedents for the 1906
set procedures for the 448
set properties for the 1539
set properties using the 49
set regulations for the 354
set relatively low in 60
set relatively low to 48
set representing all the 92
set represents all the 134
set separately for the 214
set sufficient for the 54
set timetables for the 135
set vertically and at 51
set vertically and the 284
set vertically with the 105
sex activities that in 96
sex adjustment may be 49
sex approaches and is 72
sex assignment can be 46
sex attractant for the 175
sex characters and the 208
sex characters and to 40
sex characters are the 67
sex characters can be 45
sex characters may be 119
sex chromosome and is 73
sex chromosome and the 189
sex chromosome can be 45
sex chromosome may be 102
sex chromosome that is 163
sex composition and the 183
sex composition for the 74
sex difference and no 51
sex difference and the 319
sex difference can be 335
sex difference for the 226
sex difference may be 754
sex difference that is 172
sex difference was in 69
sex difference was the 66
sex difference with the 94
sex experience and the 75
sex experience may be 45
sex friendship and the 70
sex friendship may be 45
sex information and the 75
sex information can be 41
sex information for the 86
sex instruction for the 108
sex instruction may be 49
sex interferes with the 60
sex phenomenon and it 49
sex pheromones and the 58
sex pheromones can be 67
sex pheromones for the 47
sex pheromones may be 50
sex preference and the 52
sex preference for the 88
sex recognition and the 137
sex segregation and the 365
sex segregation can be 49
sex stereotypes and the 110
sex stereotypes and to 42
sex stereotypes can be 44
sex stereotypes may be 57
sex structures and the 51
sex techniques that my 112
she absolutely had no 47
she absolutely had to 2688
she absolutely has to 430
she accompanying him to 47
she acquainted with the 231
she admonished him as 137
she admonished him in 100
she admonished him to 215
she admonished them to 134
she admonishes him to 108
she admonishes them to 51
she apologized for it 199
she apologized for the 1094
she apologizes for it 56
she apologizes for the 241
she apparently did so 53
she apparently had an 88
she apparently had it 64
she apparently had no 833
she apparently had the 145
she apparently had to 111
she apparently has no 227
she apparently has the 40
she apparently saw no 102
she apparently was in 79
she apparently was the 68
she apparently was to 47
she appreciated all he 71
she appreciated all the 190
she appreciated him as 93
she appreciated that he 239
she appreciated that it 54
she appreciated that the 157
she appreciates all the 63
she appreciates that the 58
she approached and he 65
she approached and the 44
she approached her in 44
she approached him as 222
she approached him at 154
she approached him he 276
she approached him in 391
she approached him on 207
she approached him the 65
she approached him to 238
she approached one of 443
she approached one or 68
she approached them as 41
she approached them in 139
she approached them to 43
she approached with an 53
she approached with the 258
she approaches him in 94
she approaches with the 49
she astonished him by 322
she astonished them by 94
she attributed all the 106
she attributed all to 44
she attributed not to 41
she attributed that to 185
she attributed them to 298
she attributed this to 672
she attributes all the 133
she attributes them to 117
she attributes this to 422
she breakfasted with me 54
she breakfasted with the 75
she calculated that he 118
she calculated that if 111
she calculated that in 55
she calculated that it 142
she calculated that the 295
she calculates that the 66
she campaigned for the 548
she classified them as 45
she complained all the 103
she complained for the 68
she complained not of 80
she complained that he 1325
she complained that in 109
she complained that it 771
she complained that my 108
she complained that no 96
she complained that the 2836
she complained that we 72
she completely won the 70
she compounded for the 54
she confronted him as 40
she confronted him at 75
she confronted him he 70
she confronted him in 253
she confronted him on 108
she confronted one of 57
she considered all of 118
she considered all the 510
she considered death as 43
she considered doing so 44
she considered due to 170
she considered for the 70
she considered going to 282
she considered her as 166
she considered her so 264
she considered her the 54
she considered her to 79
she considered him an 370
she considered him as 854
she considered him in 209
she considered him so 55
she considered him the 377
she considered him to 874
she considered how he 47
she considered how it 55
she considered how the 96
she considered how to 390
she considered not the 45
she considered not to 127
she considered one of 499
she considered out of 88
she considered that an 116
she considered that as 219
she considered that by 40
she considered that he 676
she considered that if 169
she considered that in 156
she considered that it 947
she considered that my 61
she considered that no 52
she considered that the 2065
she considered that to 164
she considered that we 63
she considered them an 53
she considered them as 1050
she considered them in 77
she considered them the 73
she considered them to 464
she considered this an 118
she considered this as 259
she considered this the 141
she considered this to 302
she considered using the 48
she considered was an 49
she considered was the 262
she constantly had to 643
she constantly has to 215
she constantly led the 46
she contracted for the 84
she contracted with the 203
she contrasted with the 245
she controlled all of 40
she controlled all the 135
she cooperated with the 473
she cooperates with the 229
she correspond with the 49
she cultivated and it 47
she cultivated for the 42
she definitely had an 73
she definitely had no 115
she definitely had the 230
she definitely had to 196
she definitely has the 59
she delicately put it 142
she designated him as 46
she determined for the 131
she determined not to 3367
she determined now to 96
she determined that as 50
she determined that at 70
she determined that he 555
she determined that if 216
she determined that in 62
she determined that it 528
she determined that no 157
she determined that on 43
she determined that the 1386
she determines not to 151
she determines that he 69
she determines that it 178
she determines that the 791
she disappeared and he 131
she disappeared and no 106
she disappeared and the 171
she disappeared and we 49
she disappeared for an 81
she disappeared for the 220
she disappeared off the 142
she disappeared out of 436
she disappeared out the 447
she disappeared with it 42
she disappeared with the 406
she discharged all the 62
she discharged with the 61
she discoursed with me 43
she discovered all in 104
she discovered all of 49
she discovered all the 265
she discovered for the 225
she discovered her in 64
she discovered him at 107
she discovered him in 324
she discovered him on 46
she discovered him to 245
she discovered how he 63
she discovered how the 106
she discovered how to 338
she discovered one in 89
she discovered one of 299
she discovered she no 96
she discovered that an 251
she discovered that as 231
she discovered that at 236
she discovered that by 261
she discovered that he 7643
she discovered that if 292
she discovered that in 724
she discovered that it 4413
she discovered that my 260
she discovered that no 356
she discovered that on 229
she discovered that so 40
she discovered that the 16388
she discovered that to 102
she discovered that we 214
she discovered them in 110
she discovered them to 54
she discovered things so 42
she discovered was the 104
she discovered who he 202
she discovered who it 97
she discovered who the 59
she discovered why he 73
she discovered why it 56
she discovered why we 45
she dispatched him to 153
she dispatched one of 125
she distinctly saw the 454
she distracted him by 68
she distrusted him on 56
she emphasized that he 48
she emphasized that it 157
she emphasized that the 744
she emphasizes how the 42
she emphasizes that in 53
she emphasizes that it 152
she emphasizes that the 698
she encounters all the 48
she encounters and the 58
she encounters for the 58
she encounters him in 51
she encounters one of 67
she encounters them in 73
she encouraged all of 45
she encouraged all the 43
she encouraged each of 45
she encouraged her in 60
she encouraged her to 566
she encouraged him as 123
she encouraged him by 166
she encouraged him in 720
she encouraged him to 5007
she encouraged them by 167
she encouraged them in 142
she encouraged them to 1710
she encouraged you to 180
she encourages her to 158
she encourages him by 42
she encourages him in 139
she encourages him to 1331
she encourages them to 929
she encourages you to 179
she entertains all the 62
she entertains for it 40
she entertains for the 40
she enumerated all the 145
she enumerates all the 56
she eventually did so 176
she eventually goes to 56
she eventually got it 48
she eventually got the 116
she eventually got to 166
she eventually had the 41
she eventually had to 717
she eventually has to 82
she eventually met the 43
she eventually saw the 72
she eventually won the 148
she fantasized that he 57
she fantasized that the 73
she fantasizes that the 41
she frequently cut in 56
she frequently did at 54
she frequently did in 269
she frequently did on 40
she frequently did so 44
she frequently did the 64
she frequently goes to 59
she frequently had of 91
she frequently had the 125
she frequently had to 660
she frequently has the 51
she frequently has to 202
she frequently saw at 41
she frequently saw the 74
she frightened him by 45
she guaranteed him the 79
she guarantees that the 41
she highlights how the 48
she identified all the 42
she identified him as 745
she identified him at 78
she identified him in 56
she identified one of 93
she identified that the 40
she identified them as 301
she identified this as 44
she identified was the 49
she identified with it 116
she identified with me 75
she identified with the 1799
she identifies him as 328
she identifies them as 129
she identifies with it 113
she identifies with no 52
she identifies with the 2198
she immediately did in 92
she immediately did so 57
she immediately goes on 286
she immediately goes to 165
she immediately got in 62
she immediately got on 123
she immediately got the 55
she immediately got to 71
she immediately got up 828
she immediately had an 42
she immediately had the 109
she immediately had to 153
she immediately hung up 89
she immediately led to 104
she immediately let go 50
she immediately put in 120
she immediately put it 153
she immediately put me 84
she immediately put on 440
she immediately put the 143
she immediately put to 44
she immediately ran to 285
she immediately sat up 221
she immediately saw the 526
she immediately set to 397
she immediately set up 232
she importuned him to 105
she imprisoned him in 76
she inevitably had to 75
she inevitably has to 47
she influenced him in 91
she influenced him to 107
she insinuated that he 83
she insinuated that the 62
she insinuates that the 65
she instigated him to 48
she instructed her in 107
she instructed her to 163
she instructed him as 140
she instructed him by 112
she instructed him in 398
she instructed him on 69
she instructed him to 1456
she instructed one of 95
she instructed that the 44
she instructed them in 263
she instructed them on 57
she instructed them to 597
she interacted with the 514
she interceded for the 129
she interceded with the 158
she intercedes for the 108
she intercedes for us 76
she interested him as 176
she interested him in 96
she interfered with my 41
she interfered with the 382
she interferes with the 218
she interprets them as 190
she interprets them in 54
she interprets this as 481
she interrupts him to 44
she intervened with the 60
she introduced for the 56
she introduced her as 96
she introduced her to 561
she introduced him as 709
she introduced him at 46
she introduced him by 46
she introduced him in 43
she introduced him to 5667
she introduced one of 90
she introduced them as 117
she introduced them to 1086
she introduced you to 146
she introduces her to 66
she introduces him as 105
she introduces him to 660
she introduces them to 256
she introduces you to 169
she maintained all the 56
she maintained for the 203
she maintained that he 220
she maintained that if 99
she maintained that in 92
she maintained that it 580
she maintained that no 66
she maintained that the 1557
she maintained with the 164
she maneuvered him to 42
she maneuvered out of 62
she manifested all the 45
she manifested for the 144
she manifested not the 41
she nonetheless had the 52
she nonetheless had to 68
she nonetheless has the 41
she obediently did as 166
she originally had in 94
she outweighed him by 79
she overlooked all the 80
she persevered and in 43
she persevered with the 137
she personally had no 100
she personally had to 72
she personally saw to 49
she personally was to 61
she positively had to 75
she postulated that the 108
she postulates that the 132
she predeceased him by 66
she prescribed for me 53
she prescribed for the 56
she prescribes for the 85
she presumably had no 42
she presumably has no 41
she proclaimed that he 51
she proclaimed that the 275
she progressed with the 60
she pronounced him an 49
she pronounced him the 45
she pronounced him to 93
she pronounced that the 66
she pronounced with an 63
she pronounced with the 76
she prophesied that he 140
she prophesied that the 124
she recognized all of 50
she recognized all the 238
she recognized any of 222
she recognized both the 61
she recognized for the 129
she recognized her as 478
she recognized her at 57
she recognized him as 4490
she recognized him at 616
she recognized him by 249
she recognized him in 346
she recognized him on 59
she recognized him or 145
she recognized him the 82
she recognized him to 73
she recognized now as 112
she recognized one as 81
she recognized one of 1271
she recognized that an 49
she recognized that as 174
she recognized that he 1028
she recognized that if 142
she recognized that in 261
she recognized that it 1504
she recognized that of 62
she recognized that the 2857
she recognized that to 67
she recognized them as 1560
she recognized them at 102
she recognized them by 45
she recognized them in 65
she recognized this as 380
she recognized two of 129
she recognized was the 151
she recognized who he 63
she recognized who it 241
she recognized you as 67
she recognizes all of 58
she recognizes any of 49
she recognizes both the 54
she recognizes for the 41
she recognizes him as 1084
she recognizes him at 65
