sabot laid trustingly by 94
sadly bade farewell to 125
sagas were composed in 50
sages have imparted to 132
sages were supposed to 61
sailing from acapulco to 194
sailing from archangel to 82
sailing from australia to 170
sailing from calcutta to 200
sailing from portland to 88
sailing from portugal to 83
sailing from scotland to 134
sailing from veracruz to 74
sailing from yokohama to 52
sailing ship anchored in 61
sails were attached to 95
sails were descried in 160
sails were devoured by 54
sails were fastened to 61
sails were fluttering in 56
sails were replaced by 109
sails were unfurled to 232
sales data provided by 125
sales from producer to 87
sales goal assigned to 46
sales have amounted to 262
sales have declined as 47
sales have declined by 105
sales have declined in 155
sales have declined to 49
sales have decreased by 64
sales have decreased in 87
sales have exceeded the 69
sales have increased an 60
sales have increased as 123
sales have increased at 306
sales have increased by 992
sales have increased in 645
sales have increased or 54
sales have increased so 47
sales have increased to 192
sales have occurred in 88
sales have remained at 77
sales have resulted in 128
sales made directly by 240
sales made directly to 290
sales made possible by 205
sales made pursuant to 1055
sales only amounted to 95
sales only increased by 45
sales talk designed to 113
sales tool designed to 44
sales went directly to 63
sales were achieved by 61
sales were achieved in 72
sales were affected by 223
sales were approved by 71
sales were attended by 51
sales were believed to 57
sales were composed of 51
sales were confined to 330
sales were continuing to 97
sales were contrary to 49
sales were credited to 133
sales were designed to 72
sales were directed to 48
sales were diverted to 119
sales were effected at 276
sales were effected by 208
sales were effected in 148
sales were effected on 63
sales were effected to 41
sales were expected to 1371
sales were financed by 84
sales were followed by 84
sales were forecast at 48
sales were forecast to 78
sales were governed by 64
sales were hampered by 61
sales were included in 163
sales were increased by 139
sales were increased to 64
sales were initiated by 46
sales were intended to 159
sales were invested in 69
sales were obtained by 60
sales were produced by 43
sales were provided by 45
sales were recorded as 173
sales were recorded at 86
sales were recorded by 64
sales were recorded in 332
sales were recorded on 84
sales were regarded as 142
sales were remitted to 45
sales were reported as 189
sales were reported at 126
sales were reported by 87
sales were reported in 141
sales were reported to 381
sales were required to 163
sales were supposed to 118
sales were unlikely to 51
sales when compared to 104
sales will actually be 61
sales will continue at 89
sales will continue in 93
sales will continue to 964
sales will normally be 47
sales will probably be 330
sales will therefore be 70
salts from solutions of 93
salts must therefore be 81
salts were absorbed by 55
salts were employed in 41
salts were included in 46
salts were obtained by 114
salts were obtained in 72
salts were prepared by 270
salts were prepared in 73
salts were produced by 53
salts were produced in 44
salts were regarded as 105
salts were replaced by 62
