sack will therefore fall 45
safe from detection even 44
safe from missiles from 47
safe from personal harm 55
safe from physical harm 321
safe when properly used 289
said came directly from 83
said came straight from 111
said city harmless from 110
said last mentioned acts 46
said last mentioned date 721
said last mentioned deed 138
said last mentioned line 668
said last mentioned name 73
said last mentioned road 136
said last mentioned sums 50
said last mentioned term 56
said last mentioned time 69
said miss crawford when 58
said nothing concerning their 57
said other officers three 49
said ship departed from 43
said their children were 605
said their families were 179
said their husbands were 290
said their marriages were 180
said their partners were 94
said their problems were 48
said their programs were 48
said their salaries were 49
said these children were 61
said these pictures were 48
said these problems were 44
said those miracles were 106
said those struggling legs 61
said were answered only 64
said were received into 48
said what everyone else 226
said what everyone knew 66
said what everyone says 47
said what happened when 46
said what mattered most 116
said your highness lies 45
sail some distance along 96
sail were reported from 55
salt fish imported from 86
salt into incisions made 48
salt most commonly used 247
salt tears trickled down 108
salt were exported from 50
salt were imported from 51
salt were imported into 40
salt were obtained from 143
same blue cavalier whom 58
same bone ossified from 64
same book contains also 52
same care bestowed upon 74
same city likewise took 48
same city regarded from 75
same cold reception from 42
same cuts likewise vary 51
same data obtained from 67
same data transfer rate 61
same doom extended even 41
same dose injected into 59
same duty devolves upon 53
same faith proceeds also 82
same fate overtook many 60
same fate overtook their 51
same form anywhere else 63
same from everyone else 264
same from whatever side 41
same fund produces more 82
same great authority says 43
same health benefits from 41
same high authority adds 40
same high authority says 147
same kind happened when 42
same kind occurred during 46
same kind prevails among 141
same kind treatment from 46
same laws presided over 65
same meaning wherever used 58
same month elections were 75
same rich materials were 137
same rule prevails among 45
same rule prevails when 93
same safe distance from 82
same size selected from 54
same sort happened when 47
same three questions were 60
same three variables were 43
same time abandoning their 68
same time abstaining from 128
same time acquired from 45
same time addressing some 63
same time addressing their 40
same time admitted into 89
same time advanced from 114
same time advanced into 52
same time advances were 56
same time assailed from 58
same time asserted their 54
same time attacked from 51
same time attempts have 65
same time attempts were 669
same time attention must 223
same time attention will 61
same time attracting their 68
same time benefiting from 1132
same time benefits from 69
same time bestowed upon 218
same time borrowed from 140
same time broadening their 91
same time carbonic acid 352
same time challenging their 68
same time children learn 54
same time children were 91
same time commenting upon 62
same time concealed from 68
same time condemning those 64
same time condense into 45
same time conferring upon 197
same time confirming their 56
same time confirming what 51
same time confirms what 61
same time conserving their 52
same time consider their 42
same time consider these 77
same time consider what 104
same time containing some 50
same time contains much 45
same time continue their 413
same time continuing their 262
same time contrive ways 76
same time decisions were 42
same time declared their 160
same time declared void 41
same time decreased from 52
same time decreased their 63
same time defended their 46
same time demanded from 112
same time departed from 85
same time depended upon 94
same time deputies from 83
same time destroying their 213
same time detached from 291
same time detracting from 96
same time detracts from 70
same time developing into 64
same time developing more 133
same time developing some 49
same time developing their 349
same time devolved upon 42
same time diffused over 49
same time directed into 41
same time directed their 56
same time discover their 135
same time displaying their 66
same time dissolving into 41
same time distinct from 576
same time diverted from 92
same time divorced from 58
same time education must 44
same time enjoined upon 54
same time enlarged their 100
same time enormous sums 54
same time entailed upon 59
same time entirely free 85
same time estranged from 60
same time europeans were 48
same time everyone else 422
same time everyone knew 48
same time excluded from 432
same time exempted from 111
same time exercise over 41
same time exercise some 51
same time exercise their 58
same time exercising great 174
same time exercising their 87
same time exhibiting some 46
same time exhibiting their 62
same time exhibiting those 55
same time expanded their 43
same time expelled from 147
same time expenses were 41
same time explaining their 66
same time explaining what 99
same time explains their 41
same time exploiting their 54
same time expressing great 117
same time expressing much 91
same time expressing some 199
same time expressing their 653
same time expressing what 50
same time expressing your 53
same time extended from 43
same time extended over 87
same time extended their 148
same time extracting from 63
same time extracting their 40
same time fulfilling their 208
same time generating more 42
same time gratifying their 87
same time hindered from 53
same time immunity from 58
same time immunizing those 48
same time impressing upon 156
same time improved their 52
same time increased from 351
same time increased their 386
same time increases their 172
same time indicate some 59
same time indicate their 97
same time indicate what 88
same time indicating some 94
same time indicating their 132
same time indicating what 88
same time inflicting heavy 40
same time inflicting upon 49
same time insisted upon 478
same time instilling into 96
same time interval during 68
same time interval from 124
same time interval there 89
same time interval when 55
same time interval will 131
same time isolated from 110
same time justifying their 62
same time maintain good 118
same time maintain high 114
same time maintain some 176
same time maintain such 181
same time maintain their 833
same time maintain your 90
same time maximize their 43
same time maximizing their 72
same time meditating upon 49
same time messages from 96
same time messages were 64
same time minimizing their 148
same time neglecting their 54
same time nominating five 58
same time numerous other 76
same time observed less 48
same time obtained from 122
same time obtained just 120
same time officers were 50
same time performing many 43
same time performing their 69
same time permitting free 40
same time permitting more 44
same time permitting other 68
same time permitting some 74
same time permitting their 80
same time permitting those 78
same time persuading their 55
same time polygamy having 44
same time possessing some 41
same time powerful jets 43
same time prepared many 50
same time presenting some 69
same time presenting their 60
same time presents some 57
same time preserve some 102
same time preserve their 736
same time preserve those 43
same time preserve what 58
same time preserve your 79
same time preserving free 180
same time preserving many 104
same time preserving much 102
same time preserving some 224
same time preserving their 1070
same time preserving those 71
same time preserving what 109
same time presided over 124
same time pressure from 104
same time preventing their 160
same time probably also 54
same time proceeds from 53
same time produced from 42
same time produced some 54
same time professing their 56
same time profited from 44
same time protecting their 519
same time protecting those 111
same time protecting your 78
same time protesting their 164
same time provided some 97
same time provides good 44
same time provides more 208
same time provides some 148
same time provision must 78
same time purified from 41
same time questioning their 40
same time questions were 45
same time reaffirming their 79
