sailors fifty dollars apiece 44
sandals speaks plainly enough 50
sarcoma virus induced tumors 121
satisfy needs outside itself 104
schools after regular school 102
schools until shortly before 44
schools which appeared likely 88
schools which existed before 245
schools which prepare pupils 80
schools which provide training 182
schools which receive grants 104
schools whose student bodies 172
schools would benefit greatly 47
science could proceed without 70
science which devotes itself 81
science whose subject matter 297
scrawny hands scuttling through 94
seaborne trade between europe 45
searches after contact visits 97
seconds which elapsed before 63
secrecy which plainly showed 41
secular roman catholic clergy 156
secular trend towards earlier 267
secular trend towards greater 140
secured under letters patent 277
seismic waves traveling through 262
sellers whose product claims 61
servers running windows server 572
service under certain states 126
service until shortly before 47
service which mahatma gandhi 52
service whose visible reward 43
service within certain limits 42
settled until shortly before 48
several black african states 45
several black objects slowly 44
several books devoted solely 42
several cases brought before 155
several cases involving public 47
several cross sections through 45
several holes drilled through 71
several holes pierced through 42
several holes punched through 41
several hours between trains 52
several hours elapsed before 501
several hours following ingestion 127
several hours following injury 41
several hours together before 44
several hours together without 77
several hours wandering around 162
several hours wandering through 66
several large european cities 106
several large grocery stores 59
several large northern cities 73
several large upright stones 44
several latin classic authors 240
several lower federal courts 307
several major canadian cities 43
several major chinese cities 53
several major european cities 146
several major european powers 51
several major foreign policy 79
several major stumbling blocks 42
several months elapsed before 1054
several months elapsed without 149
several months following therapy 46
several months traveling around 117
several months traveling through 74
several motion picture studios 68
several others deserve mention 48
several others gathered around 104
several people besides myself 51
several people deserve special 92
several people gathered around 375
several roman catholic orders 71
several rooms arranged around 45
several rooms grouped around 68
several ruddy peasants standing 51
several small grocery chains 41
several small grocery stores 99
several small sections called 54
several small vessels belonging 83
several small whinnying laughs 54
several social science fields 156
several state supreme courts 416
several steps forward before 48
several tense seconds before 47
several times appeared before 82
several times between august 49
several times between france 43
several times brought before 238
several times crossed swords 47
several times invited abroad 50
several times noticed little 107
several times refused offers 40
several times repeated before 153
several times repeated without 59
several times shortly before 133
several times tightly around 54
several times visited england 95
several weeks elapsed before 872
several weeks elapsed without 62
several weeks following injury 79
several weeks together without 59
several weeks traveling through 42
shadows which gathered around 44
shadows which portend dangers 51
sharper eight thousand pieces 53
shelter under general taylor 126
shelter whose average annual 51
sheriff shall forthwith return 138
shorter route between europe 44
shortly after beginning therapy 49
shortly after brought before 52
shortly after congress passed 122
shortly after finishing school 43
