sabbatical from teaching and 110
sacrificed many beasts one 42
sacrificed more lives and 75
sacrificed more lives than 56
sacrificed much blood and 118
sacrificed their blood and 189
sacrificed their blood for 73
sacrificed their homes and 179
sacrificed their honor and 40
sacrificed their lives and 4445
sacrificed their lives but 58
sacrificed their lives for 18589
sacrificed their lives had 42
sacrificed their lives that 380
sacrificed their lives with 171
sacrificed their right and 45
sacrificed their wives and 60
sacrificed your lives for 49
sacrifices during world war 137
sacrifices from which she 59
sacrifices from which they 89
sacrifices were still being 161
sacrifices were types and 40
sacrificial fire which was 42
safeguarding their lives and 74
salespeople have found that 162
sanctified from above than 63
satellites have shown that 536
satellites into orbit and 291
satellites into orbit for 130
satellites into orbit with 49
satellites into space and 155
satellites into space for 61
schoolboys were smoking and 66
scientific data about how 45
scientific data rather than 195
scientific data showing that 294
scientific data shows that 44
scientific data which are 234
scientific data which can 68
scientific data which has 51
scientific data which may 53
scientific duel which now 68
scientific duel which was 43
scientific fact rather than 173
scientific fact which can 83
scientific fact which has 56
scientific ideas rather than 86
scientific ideas which are 83
scientific ideas which had 48
scientific ideas which they 66
scientific laws rather than 72
scientific laws which are 311
scientific laws which can 50
scientific mind could not 91
scientific mind would not 47
scientific name which has 42
scientific theory about how 73
scientific theory could not 62
scientific theory holds that 48
scientific theory rather than 219
scientific theory which can 87
scientific theory which does 55
scientific theory which had 57
scientific theory which has 212
scientific theory which was 96
scientific toys rather than 63
scientific truth could not 56
scientific truth rather than 105
scientific truth which can 56
scientific truth which has 77
scientific truth which was 55
scientific work began with 45
scientific work could not 84
scientific work rather than 267
scientific work shows that 83
scientific work until his 54
scientific work which are 40
scientific work which can 72
scientific work which does 81
scientific work which had 141
scientific work which has 420
scientific work which they 102
scientific work which was 284
scientific work would not 57
scientists also agree that 199
scientists also argue that 129
scientists also claim that 98
scientists also found that 524
scientists also noted that 111
scientists also point out 63
scientists during world war 511
scientists even argue that 55
scientists even claim that 120
scientists even though they 64
scientists from china and 64
scientists from italy and 45
scientists from japan and 113
scientists from russia and 94
scientists have begun using 67
scientists have found and 42
scientists have found new 63
scientists have found out 1092
scientists have found that 12138
scientists have found them 58
scientists have found this 115
scientists have given them 86
scientists have given this 59
scientists have known for 616
scientists have known how 43
scientists have known that 1787
scientists have never had 78
scientists have never yet 44
scientists have noted that 1870
scientists have shown how 127
scientists have shown that 5544
scientists have still not 121
scientists have taken them 44
scientists have taken this 115
scientists have tried for 43
scientists have urged that 127
scientists into thinking that 108
scientists know about how 47
scientists like boyle and 119
scientists more often than 64
scientists soon found that 189
scientists take issue with 71
scientists think about and 85
scientists took issue with 49
scientists were arguing that 161
scientists were asked for 45
scientists were aware that 601
scientists were calling for 43
scientists were faced with 249
scientists were finding that 48
scientists were looking for 443
scientists were still not 67
scientists were waiting for 51
scientists were working for 97
scientists were working with 219
scientists when faced with 62
scientists will admit that 194
scientists will agree that 618
scientists will agree with 114
scientists will argue that 179
scientists will claim that 84
scrapbooks into which they 72
scriptures from which they 57
scriptures into greek was 41
scrupulous care which now 51
scrupulous care which was 54
scrupulous what books they 45
scrutinizing their small dial 61
sculptural form rather than 55
sculptured bust above his 731
securities during world war 76
securities even though they 111
securities from banks and 105
securities from bidding for 62
securities from which they 113
securities into which they 227
securities laws rather than 58
securities laws which are 48
securities laws would not 68
securities like bonds and 75
securities over which that 299
securities sold under this 45
securities upon which they 208
securities were given for 99
securities were taken for 74
