sack buttoned tightly at 64
safe clearance between the 54
safe conducts granted by 97
safe distance because of 47
safe distance between me 73
safe distance between the 923
safe distance between us 401
safe distance outside the 245
safe distance watched the 82
safe frontier against the 50
sage decisions arrived at 55
said addressing himself to 46
said american vessels do 60
said articles between the 79
said attorney general of 182
said attorney general to 54
said authority assumes the 105
said boundary strikes the 43
said colonies against the 58
said contending parties as 53
said contract according to 135
said contract between the 127
said district according to 83
said district subject to 71
said farewell forever to 140
said governor general in 500
said impotent persons as 48
said intended marriage as 181
said intended marriage in 68
said intended marriage it 173
said intended marriage the 140
said intended marriage to 53
said judgment against the 325
said minister declaring to 55
said mortgage subject to 49
said premises according to 125
said premises against the 137
said premises attaching or 89
said premises insured in 64
said premises subject to 106
said probation officer to 92
said property according to 99
said property against the 60
said property covered by 69
said property subject to 157
said railroad company as 142
said railroad company at 80
said railroad company by 48
said railroad company in 146
said railroad company is 113
said railroad company of 56
said railroad company on 51
said railroad company or 222
said railroad company the 54
said railroad company to 480
said relations between the 83
said reverend brothers so 47
sail directly against the 284
sail directly towards the 324
sale contract between the 301
sale doctrine applies to 146
sale involves carriage of 443
sale occurred outside the 46
sale proceeds between the 50
salt formation between the 326
salt linkages between the 154
salt prepared according to 44
same absolute devotion of 51
same absolute devotion to 44
same absolute freedom as 75
same absolute freedom of 199
same absolute increase in 214
same absolute instant by 49
same absolute instant of 146
same absolute position in 76
same accident happens to 48
same activity pattern as 44
same actually applies to 51
same affinity between the 40
same algorithm applied to 74
same algorithm applies to 62
same analysis applied to 486
same analysis applies as 144
same analysis applies if 161
same analysis applies in 272
same analysis applies to 3521
same analysis extends to 63
same antipathy against me 52
same apparent absence of 70
same apparent diameter as 107
same apparent position as 40
same apparent position in 60
same approach adopted by 55
same approach adopted in 69
same approach applied to 353
same approach applies in 168
same approach applies to 1062
same approach towards the 58
same approval process as 68
same argument against the 664
same argument answers the 99
same argument appeared in 66
same argument applied in 49
same argument applied to 1205
same argument applies as 572
same argument applies at 76
same argument applies if 428
same argument applies in 908
same argument applies of 46
same argument applies to 15928
same argument extends to 99
same argument reappears in 66
same argument regarding the 161
same assertion applies to 54
same attitude adopted by 51
same attitude appeared in 50
same attitude applied to 170
same attitude applies to 307
same attitude existed in 79
same attitude extends to 40
same attitude regarding the 84
same attitude towards it 162
same attitude towards me 91
same attitude towards my 101
same attitude towards the 2657
same attitude towards us 74
same authority assures us 192
same authority informs me 73
same authority informs us 943
same authority mentions the 101
same authority towards the 67
same barbaric weakness of 51
same benefits enjoyed by 170
same benefits granted to 63
same benefits offered to 51
same benefits package as 47
same biblical passage in 41
same brilliant scarlet as 158
same brilliant success as 53
same business carried on 166
same calamity reduced to 53
same campaign against the 74
same category according to 83
same category because it 57
same category because of 165
same category because the 64
same category belonged the 74
same challenge applies to 51
same chemical behavior as 183
same chemical content as 41
same chemical effects as 112
same chemical element as 124
same chemical formula as 1135
same chemical process as 76
same chemical reactions as 670
same chemical reactions in 51
same chemical relation to 44
same chemical species as 205
same circular bristle of 66
same clinical effects as 204
same clinical features as 681
same clinical features of 43
same clinical picture as 1202
same clinical picture in 121
same clinical picture is 122
same clinical picture of 126
same clinical results as 93
same clustering thickets of 97
same commanding position as 122
same commanding position in 89
same commanding position we 49
same comments regarding the 52
same complete absence of 194
same complete freedom of 56
same computer program as 177
same computer program to 51
same concepts applied to 55
same concerns regarding the 136
same condition affecting the 46
same condition applied to 242
same condition applies in 125
same condition applies to 1197
same condition existed at 72
same condition existed in 1207
same condition existed on 96
same condition extends to 46
same condition governs the 46
same condition obtains in 479
same condition occurring in 89
same conflict between an 52
same conflict between the 844
same confused account of 42
same confused division of 89
same confusion between the 373
same confusion existed in 92
same constant fraction of 43
same constant relation to 44
same constant returns to 74
same contract between the 137
same contrast applies to 103
same contrast between an 41
same contrast between the 2087
same contrast existed in 41
same contrast reappears in 63
same criterion applied to 136
same criterion applies in 44
same criterion applies to 432
same critical acclaim as 56
same critique applies to 204
same cultural context as 129
same cultural function as 44
same cultural horizon as 169
same curiosity evinced by 93
same curiosity excited by 43
same cyclical pattern as 127
same cyclical pattern of 56
same dangerous effects as 47
same dangerous mistake of 83
same dangerous position as 87
same defenses against the 100
same definite relation to 83
same delicate balance of 51
same detailed account of 93
same diagnosis applies to 60
same dialectic between the 56
same direction according to 206
same direction against the 183
same direction although the 73
same direction because it 75
same direction because of 296
same direction because the 219
same direction between the 341
same direction despite the 49
same direction resulting in 44
same direction results in 131
same direction towards the 778
same disorder towards the 64
same dissolving moments of 52
same distance against the 69
same distance between the 1806
same distance between us 141
same distance covered in 42
same distance measured on 55
same distance northeast of 188
same distance outside the 62
same distance southeast of 237
same distance towards the 244
same divisions between the 55
same doctrine appeared in 52
same doctrine applied to 165
same doctrine applies in 197
same doctrine applies to 583
same doctrine extends to 40
same doctrine preached in 56
same document informs us 104
same dominant position as 155
same dominant position in 202
same dominating position in 46
same dramatic function as 73
same dramatic increase in 91
same drawback applies to 106
