sad affair might not 52
sad beyond words that 130
sad changes which had 67
sad cities dwell are 62
sad events which are 62
sad events which had 263
sad little brook say 217
sad little lives and 62
sad little party that 89
sad little smile and 282
sad little smile she 47
sad little smile that 242
sad little woman who 47
sad reality which has 41
sad scenes which had 68
sad suitor bends his 54
sad without knowing why 224
sang softly under her 46
sang softly under his 61
sat almost every day 109
sat almost holding his 42
sat around fires and 56
sat around smoking and 202
sat around talking and 611
sat around talking for 300
sat around talking with 151
sat around thinking and 54
sat around waiting and 43
sat around waiting for 1709
sat around while they 52
sat behind desks and 67
sat brooding after this 51
sat calmly looking out 126
sat calmly smoking his 81
sat calmly waiting for 106
sat dumbly shaking her 45
sat eagerly waiting for 44
sat numbly waiting for 51
sat secure above our 60
sat silent after that 88
sat silent again for 74
sat silent until she 55
sat silent until they 57
sat silent waiting for 91
sat silent while her 43
sat silent while his 93
sat silent while she 107
sat silent while they 101
sat through every day 56
sat through hours and 40
sat vainly groping for 76
sat without changing his 77
sat without speaking and 92
sat without speaking for 1179
sat without speaking she 52
sat without talking and 43
sat without talking for 254
sat without waiting for 51
saw almost every day 827
saw almost every one 77
saw almost within his 107
saw another child with 43
saw another flash and 41
saw another horse and 41
saw another human being 686
saw another party who 40
saw another reason for 177
saw another reason why 81
saw another sight that 58
saw another which was 45
saw another white man 117
saw another woman who 114
saw another woman with 75
saw antonia driving her 65
saw before passing out 43
saw better reason for 79
saw beyond doubt that 104
saw christ after his 254
saw christ jesus was 51
saw clearly where her 42
saw clearly where his 95
saw clearly which way 42
saw divers hills and 50
saw doctor harry with 124
saw dollar signs and 76
saw flames shoot out 49
saw further above her 70
saw hardly anything but 80
saw itself faced with 238
saw julius caesar and 75
saw little action and 131
saw little action but 47
saw little action for 43
saw little basis for 68
saw little cause for 413
saw little green men 40
saw little option but 96
saw little place for 105
saw little reason for 1328
saw little reason not 121
saw little reason why 364
saw little scope for 180
saw madame merle and 60
saw myself alone with 47
saw myself faced with 59
saw myself money was 43
saw myself walking with 52
saw neither birds nor 44
saw neither horse nor 55
saw neither house nor 179
saw neither people nor 46
saw neither river nor 82
saw neither smoke nor 53
saw neither trees nor 44
saw neither women nor 91
saw niagara falls and 48
saw pindar walking all 51
saw pretty nearly all 42
saw someone casting out 248
saw someone driving out 84
saw someone looking out 153
saw something about her 72
saw something about him 133
saw something about that 358
saw something about them 56
saw something about you 136
saw something awful and 225
saw something black and 232
saw something black lying 74
saw something brave and 90
saw something broad and 115
saw something flash and 75
saw something large and 245
saw something peeping out 47
saw something quite new 52
saw something round and 162
saw something shining and 47
saw something shiny and 66
saw something small and 320
saw something today that 182
saw something which did 75
saw something which for 54
saw something which had 263
saw something which led 49
saw something which she 151
saw something which they 251
saw something which was 430
saw something which you 49
saw something white and 338
saw something white for 45
saw something white lying 238
saw something worse than 79
saw sparta exert her 53
saw sterling again sub 93
saw strange lands and 49
saw strange words and 101
saw stuart helping and 47
saw warren enter with 40
saw without doubt that 46
say actions which are 76
say almost anything and 182
say almost anything for 64
say almost anything one 123
say almost anything she 42
say almost anything that 208
say almost anything they 170
say almost anything with 46
say almost anything you 157
say almost every day 243
say before closing this 44
say beyond doubt that 104
say bottom right out 135
say broken words and 66
say common sense and 74
say enough about all 50
say enough about each 47
say enough about her 247
say enough about him 326
say enough about his 237
say enough about how 749
say enough about its 40
say enough about our 111
say enough about that 213
say enough about them 248
say enough about this 400
say enough about you 110
say jasper allen did 52
say little about any 75
say little about her 133
say little about him 231
say little about his 441
say little about how 939
say little about its 290
say little about one 44
say little about our 114
say little about that 315
say little about them 882
say little about this 523
say little about who 44
say little about why 126
say michael angelo was 54
say something about all 783
