saddest memory kept alive 116
saddled horses were waiting 120
sailors desert their ships 54
sailors passed their quids 43
sailors regard these naked 66
sailors risked their lives 61
salient points upon which 148
saloons closed their doors 105
salvage something from defeat 42
samples should fall within 57
samples tested were found 70
samples tested were taken 44
sanction before taking action 73
sanction crimes like yours 44
sarcasm dripping from every 249
satisfy deeply felt needs 46
satisfy myself more fully 42
saucers skipping over water 42
savages always work mines 71
savages behind these stout 45
savages clapping their hands 40
savages should have roved 194
scarves across their faces 122
scarves across their mouths 40
scarves around their faces 191
scarves around their mouths 45
scarves around their necks 1278
scarves covering their faces 56
scatter diagram from which 42
scenery became more grand 43
scenery became very grand 59
schooling should take place 86
schools changed their names 46
schools closed their doors 396
schools nearest their homes 727
schools opened their doors 787
schools remain free under 47
schools should come under 68
schools should have equal 64
schools should have given 52
schools should make every 104
schools should take place 96
schools should teach about 223
schools varies from state 71
science boldly into human 50
science fiction book about 44
science fiction ever since 146
science fiction film about 193
science fiction film alien 89
science fiction film blade 57
science fiction film genre 253
science fiction film which 63
science fiction have often 43
science fiction tale about 72
science fiction will enjoy 40
science should also guide 66
science should ever create 551
science writer carl sagan 73
scraped tongues like yours 85
screening should take place 460
screwed firmly into place 83
scrolling through page after 42
scuffle ensued during which 113
seaboard states from maine 134
searched through many books 54
searched through many lands 42
seasonal changes take place 178
seasonal changes taking place 63
seceded states were still 239
seconds before saying anything 107
seconds before trying again 67
seconds nobody said anything 56
seconds passed during which 81
seconds passed like hours 131
seconds risked their lives 89
seconds seemed like hours 439
seconds ticked away while 43
seconds without saying anything 277
secrecy without having anything 43
secreting hybrid cell lines 289
secreting neural stem cells 50
sections fanned into flame 48
sections should take place 40
secular changes taking place 66
secular clergy were often 46
secular killings fall within 40
secured behind their backs 215
secured solely from within 47
secured through mass action 71
secured through your local 47
secured without some share 56
seedlings raised from seeds 145
seemingly lifted high above 43
segment changes during acute 124
segment passes into brown 45
segment speech into words 82
seizure occurs even though 132
seizure should take place 61
selecting amongst those which 87
selecting options from menus 164
sellers hawked their wares 64
sensory dorsal root ganglia 136
sensory memory into short 45
sensory organs during sleep 48
servant carrying some linen 47
servant kisses your hands 113
service factor from table 67
service lasted five hours 47
service lasted four hours 46
service lasted only about 45
service lasted only until 52
service lasted three hours 139
service options from which 44
service sector jobs which 112
service should come first 69
service should come under 51
service should take place 295
service station from which 44
service through most parts 46
service twenty years later 66
service unless good cause 178
service without good cause 245
service without having first 54
service without just cause 303
sessions always took place 42
sessions should last about 55
sessions should take place 574
settled before there could 82
settled behind their backs 45
settled firmly into place 60
settled policy ever since 109
settled regions from which 51
settled twelve years since 82
seventy elders whom moses 103
seventy nations into which 56
several actions take place 78
several actions taking place 48
several actions took place 204
several actions were taken 183
several adults what comes 49
several authors have begun 105
several authors have drawn 166
several authors have found 735
several authors have given 132
several authors have noted 1474
several authors have shown 1036
several authors have since 110
several authors have taken 161
several authors have tried 461
several billion more people 53
several billion years after 87
several billion years later 116
several blocks away where 112
several blocks from where 252
several bodies from which 41
several bodies into which 45
several bodies were found 181
several burials were found 57
several cabins were built 58
several canals were built 56
several cancer cell lines 288
several causes among which 70
several causes from which 61
several changes have taken 614
several changes take place 465
several changes taking place 104
several changes took place 1000
several chiefs were taken 92
several cities have shown 51
several cities were taken 51
several common myths about 57
several copies were taken 79
several courts have found 267
several courts have noted 124
several courts have ruled 276
several courts have taken 59
several cupids flying about 47
several engines were built 44
several errors have crept 49
several errors into which 129
several errors were found 63
several events have taken 44
several events must occur 98
several events take place 143
several events taking place 96
several events took place 562
several events will occur 90
several fights gave proof 73
several fights took place 68
several forces from every 66
several german army corps 42
several graves were found 67
several groups came again 50
several groups from which 40
several groups have begun 189
several groups have found 246
several groups have noted 60
several groups have shown 730
several groups have taken 64
several groups have tried 168
several groups into which 285
several groups were working 60
several guests were seated 47
several horses coming after 71
several horses shot under 157
several horses were grazing 56
several horses were missing 111
several houses from which 44
several houses were blown 92
several houses were built 422
several houses were burning 289
several houses were burnt 356
several houses were still 43
several houses were thrown 83
several inches from where 54
several inches thick which 40
several indians were looking 58
several issues over which 46
several issues upon which 41
several judges were named 89
several kingdoms into which 100
several ladies were seated 79
several leagues from cuzco 79
several leagues from paris 85
several leagues from shore 43
several levels from which 41
several manors held under 51
several meadows were found 42
several meetings during which 93
several meetings have taken 50
several meetings took place 360
several meetings were spent 114
several methods from which 107
several methods were tried 224
several million base pairs 280
several million date palms 75
several million more acres 55
several million more people 180
several million more votes 43
several million other people 179
several million years after 332
several million years later 495
several million years older 106
several million years since 51
several million young people 142
several mobile home parks 74
several models from which 96
several nations from eight 68
several nations into which 150
several nations were equal 47
several nights were spent 46
several options from which 628
several orders were given 60
several papers have shown 59
several papers were found 91
several papers were given 41
several periods during which 354
several periods into which 84
several phases during which 56
several pieces from which 43
several pieces were found 80
several pieces were missing 50
several places been added 79
several places been meanly 185
several places from mount 67
several places from which 284
several places high rocks 83
several places were found 42
several places were large 84
several places were named 56
several places were still 51
several places were taken 79
several plants from which 68
several plants were built 58
several plants were found 58
several points from which 298
several points here which 87
several points over which 40
several points upon which 500
several points were taken 42
several pretty songs which 60
several pretty young women 50
several prizes were taken 96
several readers have noted 62
several reasons among which 137
several reasons were cited 50
several reasons were given 220
several regions from which 49
several regions into which 82
several rounds were fired 116
several routes along which 75
several scenes take place 53
several series have shown 98
several shells were fired 47
several shells were thrown 118
several simple ideas which 394
several skiffs were stealing 48
several smacks were sailing 80
several source code files 191
several stages during which 134
several stages into which 58
several states from passing 98
several states from which 151
several states have acted 44
several states have added 68
several states have begun 314
several states have either 104
several states have equal 47
several states have found 94
several states have given 67
several states have moved 126
several states have never 69
several states have power 66
several states have ruled 134
several states have shown 124
several states have since 51
several states have still 43
several states have taken 376
several states have tried 180
several states having equal 52
several states into which 249
several states over which 56
several states there still 43
several states took steps 70
several states were bound 112
several states were given 48
several states were never 233
several states were still 43
several stones were found 50
several stones were thrown 158
several styles from which 60
several swords were drawn 45
several theories upon which 57
several toasts were drunk 83
several toasts were given 126
several topics from which 43
several tribes into which 105
several tribes there still 56
several tumors were found 40
several visits during which 48
several widely used drugs 49
several widely used tests 84
several widely used texts 45
several widely used types 41
several wounds were given 91
shadows across their faces 244
shadows across these shining 84
shadows deepen into night 49
shadowy canvas hanging loose 169
shadowy figure moving about 41
shallow cavity ever since 63
shallow trench from which 42
shallow waters along shore 43
shelter another tied house 65
shelter behind some rocks 97
shelter behind their walls 63
shelter income from taxes 351
shelter myself till night 40
shelves reached from floor 89
shields before their faces 133
shields before their hearts 51
shields before their mouths 43
shields before your hearts 92
shields behind their backs 65
shifted around from place 96
shipped myself soon after 55
shorter periods during which 135
shortly before been taken 81
shortly before high water 45
shortly before leaving paris 123
shortly before noon today 118
shortly before their father 64
shortly before their final 227
shortly before their first 249
shortly before their mother 47
shortly before their wedding 411
shortly before your mother 74
shortly neither dare shoot 59
shortly tumble into ruins 114
shotgun blasts were fired 104
showman seemed very proud 50
shuffle number post haste 40
sidelong glance from beneath 113
sidelong glance from under 184
signals changed from green 88
signify something else which 87
silence ensued during which 180
silence spreading into sleep 46
silence through clean white 51
silvery plates into which 44
silvery record over fifty 49
similar actions take place 74
similar actions took place 99
similar actions were taken 210
similar affair took place 113
similar attack took place 128
similar bodies were found 53
similar causes acting alike 231
similar causes ever since 48
similar changes also occur 88
similar changes have taken 388
similar changes take place 699
similar changes taking place 305
similar changes took place 490
similar changes were found 328
similar changes were noted 126
similar changes will occur 165
similar claims made about 40
similar debate took place 312
similar design were built 78
similar effect took place 46
similar effect will occur 196
similar effort took place 54
similar engines were built 70
similar errors also occur 44
similar events have taken 91
similar events take place 284
similar events taking place 248
similar events took place 574
similar events will occur 100
similar exodus took place 42
similar findings were found 128
similar findings were noted 185
similar gathering took place 82
similar houses were built 56
similar issues will arise 77
similar lesions were found 143
similar levels were found 50
similar manner even though 48
similar meetings took place 121
