saddled a donkey and 68
sanction a demand for 42
sanction a measure that 133
sanction a public man 45
sanction a result that 100
sanction a scheme for 291
sanction a stifling and 107
satisfy a bishop who 41
satisfy a client who 44
satisfy a decree for 55
satisfy a demand and 56
satisfy a demand for 1190
satisfy a demand that 522
satisfy a desire and 82
satisfy a desire for 1846
satisfy a desire that 270
satisfy a market for 45
satisfy a market that 41
satisfy a passion for 108
satisfy a person who 154
satisfy a public that 292
satisfy a tyrant and 159
savored a little too 72
scanner a device that 433
scholar a supper and 94
schooling a person has 358
schools a decade ago 110
schools a teacher may 58
science a dictum that 42
scouted a belief that 57
scowled a little and 71
scratch a diamond with 64
scratch a little bit 167
scratch a russian and 190
scratch a russian you 144
scratch a softer one 122
screamed a battle cry 57
screamed a little and 41
screamed a little too 46
scruple a direct and 67
searched a drawer for 48
searched a moment for 93
seconds a person had 54
seconds i forced him 218
seconds i thought she 94
seconds i thought that 97
secrecy a little can 72
secrete a factor that 918
secrete a liquid that 267
secrete a poison that 189
secrets i should not 44
sections i argued that 126
secured a better deal 79
secured a better job 101
secured a better one 42
secured a building and 55
secured a building for 78
secured a corner seat 70
secured a decree for 50
secured a decree that 48
secured a direct and 53
secured a direct hit 102
secured a future for 85
secured a ladder and 48
secured a lawyer for 50
secured a market for 312
secured a pardon and 40
secured a pardon for 335
secured a patent and 95
secured a patent for 2258
secured a pension for 192
secured a permit and 42
secured a permit for 169
secured a pistol and 48
secured a pledge that 286
secured a profit for 62
secured a record deal 89
secured a refuge for 63
secured a retreat for 134
secured a second and 42
secured a special act 74
secured a summer job 66
secured a teacher for 43
secured a ticket for 186
secured a vessel for 42
secured a window seat 114
secures a better and 46
secures a market for 65
secures a pardon for 52
secures a patent for 58
secures a retreat for 58
seduces a virgin who 236
seemingly a simple and 40
seemingly a strange one 91
seemingly a stupid man 50
seemingly a useful one 45
segment a market and 89
selecting a boiler for 56
selecting a camera for 86
selecting a career and 135
selecting a career for 44
selecting a career path 111
selecting a career that 139
selecting a choice that 153
selecting a column and 56
selecting a column for 47
selecting a course for 73
selecting a course that 108
selecting a design and 71
selecting a design for 197
selecting a design that 172
selecting a device for 106
selecting a doctor and 47
selecting a doctor for 56
selecting a fabric for 46
selecting a filter for 74
selecting a finite set 47
selecting a fiscal year 287
selecting a format for 134
selecting a lawyer and 100
selecting a measure for 68
selecting a medium for 95
selecting a needle for 48
selecting a number that 113
selecting a person for 432
selecting a person who 450
selecting a person with 170
selecting a policy that 42
selecting a proper set 51
selecting a remedy for 101
selecting a return for 67
selecting a sample and 228
selecting a sample are 82
selecting a sample can 54
selecting a sample for 312
selecting a sample that 1011
selecting a sample using 53
selecting a sample with 334
selecting a school and 96
selecting a school for 350
selecting a school that 124
selecting a server and 60
selecting a source and 41
selecting a source for 107
selecting a speaker for 42
selecting a spouse for 106
selecting a switch for 48
selecting a system and 73
selecting a system for 287
selecting a system that 324
selecting a system with 55
selecting a target and 89
selecting a target for 99
selecting a teacher for 120
selecting a vendor and 75
selecting a vendor for 104
selects a fiscal year 169
selects a number and 56
selects a person and 54
selects a person for 61
selects a person who 95
selects a policy that 44
selects a sample and 50
