samples showed good agreement 40
scarves across their shoulders 67
scenery became more interesting 66
schooling became more important 49
schools became more important 56
schools became more prevalent 45
schools become more effective 144
schools become more efficient 40
schools become more inclusive 128
schools called into existence 65
schools differ among themselves 65
schools raised their standards 53
schools should make available 72
schools should take advantage 92
science became more prominent 42
science fiction film forbidden 118
science fiction pulp magazines 507
science shares your certainty 71
scrawny little hand awkwardly 66
secular clergy were concerned 42
seekers poured into california 46
seemingly should have responded 42
seemingly without soul altogether 46
sensory inputs from different 46
service became less important 49
service became more difficult 42
service became more important 61
service chains have perfected 50
service sector more generally 62
settled beyond these mountains 70
settled through free discussion 192
settled without much discussion 110
settled without their knowledge 42
seventy elders were appointed 73
seventy papers were presented 41
several actors from different 60
several authors from different 131
several authors have addressed 183
several authors have advocated 219
several authors have attempted 710
several authors have challenged 59
several authors have commented 287
several authors have concluded 290
several authors have confirmed 75
several authors have described 836
several authors have developed 334
several authors have discussed 370
several authors have estimated 60
several authors have evaluated 48
several authors have expressed 188
several authors have indicated 188
several authors have performed 54
several authors have presented 224
several authors have published 304
several authors have questioned 250
several authors have suggested 2512
several bodies more diaphanous 79
several changes were necessary 84
several changes were suggested 42
several claims among themselves 76
several copper mining companies 63
several courts have addressed 49
several courts have concluded 209
several courts have expressed 104
several courts have indicated 91
several courts have permitted 93
several courts have suggested 85
several credit card companies 98
several eastern bloc countries 111
several fairly well preserved 44
several groups from different 89
several groups have advocated 40
several groups have attempted 379
several groups have confirmed 71
several groups have described 158
several groups have developed 448
several groups have evaluated 42
several groups have performed 62
several groups have published 82
several groups have succeeded 70
several groups have suggested 161
several groups were organized 44
several houses were destroyed 252
several images from different 73
several issues were addressed 44
several issues were discussed 58
several little boys clambered 190
several meetings among themselves 79
several meetings were organized 52
several methods were available 53
several methods were developed 233
several methods were presented 41
several methods were suggested 67
several million other americans 82
several million radio listeners 42
several million young americans 60
several models were developed 129
several mutual fund companies 45
several options were available 139
several options were discussed 48
several papers have described 59
several papers have suggested 47
several papers were presented 222
several papers were published 438
several places were massacred 67
several points were discussed 93
several points worth considering 69
several points worth emphasizing 48
several points worth remembering 51
several powers were expressly 46
several quotes from different 46
several soviet bloc countries 48
several states have abandoned 66
several states have abolished 71
several states have addressed 45
several states have attempted 193
several states have authorized 63
several states have developed 307
several states have entrusted 49
several states have provisions 70
several states have sustained 116
several states have virtually 46
several states were assembled 71
several states were considering 64
several states were exhausted 47
several states were requested 42
several theories were developed 60
several topics were discussed 51
several warsaw pact countries 74
several widely used textbooks 125
several wounds were inflicted 61
shadows without true substance 54
shelter behind their inability 62
shelter behind their palisades 92
shielding judges from published 177
shorter pieces were published 42
shortly before been appointed 218
shortly before been estimated 44
shortly before noon yesterday 41
shortly before their appearance 65
shortly before their departure 815
shortly before their graduation 53
shortly before their scheduled 128
shortly before their separation 69
shortly before your departure 67
signals across cell membranes 43
signals across vast distances 51
signals arriving from different 345
signals arriving from directions 42
signify something very different 318
silence except when addressed 48
