sailed southward a long 353
sample containing a few 74
sample containing a lead 79
sample contains a few 99
sample contains a lot 42
sample contains a low 47
sample included a few 69
sample includes a few 81
sample produced a mean 161
sample produces a mean 69
sample thickness d and 58
sampling interval t and 76
saucer containing a few 64
scalar potential v and 92
scarce observed a boy 113
scarce suppress a cry 67
schema contains a set 47
scheme included a new 42
scheme provides a way 105
school acquired a new 78
school children a year 163
school district a few 40
school holidays i was 103
school purposes a sum 48
school received a new 73
school requires a lot 40
school students a year 147
school students i had 96
school whenever i had 46
scores indicate a low 84
second followed a few 45
second instance a set 45
second likewise i may 140
second operation a few 73
second semester i had 102
second semester i was 108
section contains a few 502
section contains a long 65
section contains a lot 85
section contains a new 59
section contains a set 536
section develops a new 45
section develops a set 47
section examines a few 213
section explains a few 76
section explores a few 121
section includes a few 273
section includes a long 48
section includes a new 50
section includes a set 235
section inserted a new 109
section outlines a few 192
section outlines a set 66
section presents a few 717
section presents a new 374
section presents a set 651
section presents a two 55
section presents a way 62
section proposes a new 143
section proposes a set 42
section provides a few 449
section provides a new 78
section provides a non 205
section provides a set 402
section provides a way 118
section suggests a few 59
section suggests a way 82
seemed possible a few 341
seemed possible a year 63
seldom exceeded a few 303
seldom suffered a day 55
senate dismissing a man 40
series contains a few 72
series contains a set 51
series includes a few 72
series presents a new 96
series provides a new 53
series provides a way 66
series resistor r and 47
serious accident a few 107
serious injuries a year 91
server provides a set 70
server receives a new 70
sexual partners a year 212
should announce a new 59
should approach a new 61
should assemble a team 104
should authorize a man 56
should commence a new 153
should commence a war 69
should complete a new 69
should comprise a set 64
should conceive a son 132
should conclude a new 54
should conclude i was 46
should consider a day 105
should consider a few 755
should consider a job 57
should consider a law 47
should consider a long 108
should consider a low 41
should consider a man 167
should consider a new 357
should consider a non 86
should consider a real 58
should consider a set 136
should consider a tax 51
should consider a two 199
should consider i had 81
should consider i was 200
should continue a few 138
should continue a long 70
should dedicate a heap 138
should describe a man 42
should discover a new 318
should discover a way 109
should discover i was 50
should distrust a man 41
should exercise a bit 51
should exercise a real 123
should generate a lot 92
should generate a new 233
should generate a set 153
should hesitate a long 303
should identify a few 102
should identify a set 108
should indicate a low 141
should indicate a real 43
should maintain a log 262
should maintain a long 72
should maintain a low 1011
should maintain a non 141
should maintain a real 52
should maintain a set 170
should maintain a two 95
should manifest a real 75
should negotiate a new 152
should nominate a man 73
should nominate a new 41
should organize a new 112
should organize a team 40
should overcome a man 52
should practice a few 64
should practice a lot 43
should preclude a man 158
should proclaim a new 52
should purchase a few 71
should purchase a new 212
should purchase a set 44
should remember a few 384
should remember i was 42
should reproach a man 76
simply acquired a new 133
simply consider a few 59
simply describe a few 57
simply developing a new 53
simply exchanged a few 52
simply generate a new 84
simply indicate a few 83
simply installing a new 101
simply invented a new 138
simply mentioned a few 50
simply produced a new 42
simply produces a new 68
simply provided a new 188
simply provided a way 74
simply provides a new 159
simply provides a set 117
simply provides a way 323
simply purchase a new 69
simply purchasing a new 44
simply requires a few 44
simply selected a few 59
singular affection i had 42
singular situation i was 63
slight eminence a few 63
slowly acquired a new 44
slowly advanced a few 68
slowly backward a few 146
slowly developing a new 101
sodium chloride a day 177
someone composed a song 47
someone develops a new 96
someone invented a new 242
someone invented a way 52
someone presents a new 45
someone proposes a new 107
someone suggests a new 143
something happened a few 191
something happened a long 96
something happened i did 52
something resembling a bed 135
something resembling a long 59
something resembling a man 266
something resembling a new 142
something resembling a real 178
something resembling a two 142
something resembling a war 135
something specific i can 64
something suggesting a pin 80
source produces a beam 70
spatial variables x and 157
special occasions i was 52
special treatment a lot 46
speech concerning a war 74
spirit received a new 110
spirit requires a man 99
square brackets a few 43
square matrices a and 856
states produced a new 40
static pressure p and 132
station platform a few 40
steels containing a low 45
stepping backward a few 85
stores vitamins a and 47
stoves extended a row 53
strange isolation i then 103
strange prophecy i had 46
strange sensation i had 78
street resemble a row 73
street whenever i saw 45
stress exponent n and 145
stumps projecting a few 71
suffer whenever i see 120
summer holidays i had 51
summer holidays i was 99
summer produced a new 73
summer vacations i had 41
supply vitamins a and 446
surely protects a man 159
survey included a set 66
sweeps collects a heap 47
system achieves a new 46
system acquired a new 56
system acquires a new 72
system comprising a set 148
system connecting a set 65
system containing a gas 110
system containing a non 101
system containing a set 242
system contains a few 59
system contains a lot 71
system contains a set 730
system demanded a new 52
system develops a set 89
system embodies a set 45
system included a new 49
system includes a new 79
system includes a set 739
system includes a two 62
system involves a lot 159
system involves a new 53
system involves a set 148
system involves a two 93
system matrices a and 108
system occupies a key 40
system presents a far 41
system presents a new 80
system presents a set 51
system produced a new 84
system produces a lot 41
system produces a net 43
system produces a new 82
system produces a set 148
system provided a new 136
system provided a set 58
system provided a way 140
system provides a far 87
system provides a key 67
system provides a lot 62
system provides a low 208
system provides a new 222
system provides a one 146
system provides a path 40
system provides a real 174
system provides a set 1350
system provides a two 149
system provides a way 917
system received a new 127
system receives a new 76
system required a lot 65
system required a new 131
system requires a bit 45
system requires a far 88
system requires a few 90
system requires a long 155
system requires a lot 306
system requires a low 157
system requires a new 249
system requires a set 402
system requires a team 43
system requires a two 99
system utilizes a low 42
system whenever a new 55
