sacking a hen roost 117
sailing a few hours 41
sailing a few miles 377
sailing a few times 47
saint a real saint 56
salad a few hours 55
salad i can raise 100
salad i had asked 106
sands a few miles 42
sauce a few drops 264
sauce a few times 45
saved a few bucks 214
saved a few cents 225
saved a few hours 51
saved a few lives 436
saved a few miles 53
saved a few months 136
saved a few pence 50
saved a few people 105
saved a few steps 49
saved a long visit 47
saved a man alive 65
saves a few lives 51
saves a few steps 140
savings i set aside 93
scale a few months 48
scale a few times 331
scale i had never 152
scare a few people 55
scarf i had given 104
scene a bit later 86
scene a few hours 252
scene a few miles 194
scene a few months 261
scene a few short 89
scene a few times 232
scene a few weeks 229
scene a man whose 110
scene a new light 69
scene a year after 45
scene a year later 415
scene i can never 205
scene i had never 274
scene i had thrown 53
scene i was about 148
scene i was looking 53
scene i was thrown 100
score a few extra 108
score a few goals 109
score a few times 50
score a hat trick 313
scoring a hat trick 135
screw a few turns 339
scrub a few yards 84
seaman a red spark 70
search a long while 193
search a lot easier 92
search i had shown 41
search i was about 40
season a few months 70
season a few weeks 131
season a year later 106
season i had asked 44
season i was asked 61
season i was given 42
season i was often 66
seated a few paces 103
seated a few steps 68
seated a few yards 202
seeking a death which 40
seeking a dry place 58
seeking a fee award 61
seeking a few hours 113
seeking a job after 86
seeking a job change 114
seeking a job which 51
seeking a new abode 105
seeking a new basis 321
seeking a new chief 42
seeking a new field 315
seeking a new house 64
seeking a new image 140
seeking a new leader 98
seeking a new level 106
seeking a new method 99
seeking a new model 94
seeking a new order 229
seeking a new owner 63
seeking a new place 507
seeking a new plant 110
seeking a new point 47
seeking a new route 412
seeking a new sense 86
seeking a new social 362
seeking a new start 409
seeking a new style 129
seeking a new thrill 60
seeking a new trade 124
seeking a new treaty 78
seeking a new vision 117
seeking a new world 1172
seeking a path which 62
seeking a pay raise 136
seeking a tax haven 41
seeking a way round 232
seeking a weak point 125
seeks a new basis 54
seeks a new field 47
seeks a new level 42
seeks a new order 67
seeks a new place 58
seeks a new route 55
seeks a new world 167
seems a bad method 249
seems a big place 41
seems a big price 65
seems a bit crazy 87
seems a bit crude 78
seems a bit cruel 84
seems a bit dated 315
seems a bit easier 119
seems a bit empty 160
seems a bit fishy 103
seems a bit funny 88
seems a bit fuzzy 74
seems a bit harsh 555
seems a bit hasty 97
seems a bit large 82
seems a bit loose 85
seems a bit naive 290
seems a bit queer 317
seems a bit risky 100
seems a bit rough 130
seems a bit scary 64
seems a bit shaky 110
seems a bit short 270
seems a bit silly 1332
seems a bit small 88
seems a bit stale 41
seems a bit steep 420
seems a bit stiff 309
seems a bit strong 495
seems a bit tense 86
seems a bit tired 171
seems a bit uneasy 53
seems a bit unreal 114
seems a bit upset 244
seems a bit vague 214
seems a bit weird 150
seems a bit worse 42
seems a cut above 83
seems a day since 62
seems a dear price 43
seems a fit place 230
seems a long period 185
seems a long while 1682
seems a lot easier 814
seems a lot longer 516
seems a lot nicer 59
seems a lot older 76
seems a lot safer 58
seems a lot worse 63
seems a low price 48
seems a man easily 72
seems a man named 42
seems a new feeling 97
seems a new world 116
seems a real danger 97
seems a real shame 54
seems a sad state 57
seems a sad waste 126
seems a weak point 49
seems a year since 300
seems i can never 179
seems i can still 73
seems i was never 57
seems i was right 709
seize a few hours 50
seizing a big stick 51
selling a car whose 41
selling a few acres 56
selling a few books 134
selling a few dozen 47
selling a few items 146
selling a few small 81
selling a new brand 163
selling a new issue 421
selling a new stock 50
selling a put option 859
sells a new issue 144
sells a put option 155
sending a few dozen 42
sending a few lines 406
sending a few people 85
sending a few ships 176
sending a few shots 62
sending a few small 67
sending a few words 117
sending a lad aloft 49
sending a man aloft 189
sending a man alone 73
sending a man named 44
sending a man round 164
sending a new envoy 70
sending a new group 40
sending a thin stream 131
sending a tow truck 54
sending a war party 47
sends a few lines 67
sends a few small 64
sends a few twigs 54
sends a new troop 198
sense a man might 101
sense a new feeling 88
sense a new world 213
sense a real change 44
sense i can agree 132
sense i can never 45
sense i had given 60
sense i had never 68
sense i put anything 59
sense i was about 51
sense i was getting 127
sense i was lucky 57
sense i was never 95
sense i was right 227
sense i was still 130
sense i was working 66
sensing i was about 64
serve a bad cause 101
serve a far wider 82
serve a few hours 83
serve a few months 263
serve a few people 45
serve a few terms 51
serve a few weeks 56
serve a god whose 105
serve a hot lunch 93
serve a long period 170
serve a man whose 44
serve a new housing 46
serve a new social 58
serve a six months 123
serve a year longer 53
serving a few months 442
serving a few terms 46
serving a few weeks 81
serving a hot lunch 47
serving a long period 59
serving a six months 153
setting a bad moral 44
setting a day aside 49
setting a due value 43
setting a few goals 48
setting a few miles 49
setting a long table 48
setting a low level 49
setting a low limit 49
setting a low price 1189
setting a low value 213
setting a man above 65
setting a mean value 50
setting a new level 57
setting a new limit 147
setting a new major 180
setting a new price 173
setting a new sales 60
setting a new speed 156
setting a new stage 43
setting a new state 42
setting a new style 189
setting a new track 98
setting a new trend 291
setting a new value 381
setting a new vision 44
setting a new women 44
setting a new world 2243
setting a top limit 64
seven i was still 81
