said additional student loan 42
said agreement entered into 88
said contracting parties will 53
said defendant entered into 67
said gentleman arrived here 41
said insurance company will 86
sale agreement entered into 145
same afternoon marched back 42
same conclusion applies also 90
same conclusion applies even 40
same conclusion applies when 82
same conclusion derived from 56
same conclusion emerged from 123
same conclusion emerges from 813
same conclusion emerges when 77
same conclusion follows also 119
same conclusion follows even 68
same conclusion follows from 3815
same conclusion follows when 81
same conclusion results from 454
same conclusion several years 51
same conditions existed during 45
same conditions imposed upon 229
same conditions prevail among 52
same conditions prevail here 57
same conditions prevail when 53
same connection between these 53
same criticism applies also 77
same criticism applies here 106
same dexterous address will 43
same diagnostic criteria used 41
same exclusive control over 44
same happiness enjoyed over 41
same impression emerges from 87
same inductive process also 40
same inference follows from 80
same inference results from 45
same intensity produce beats 90
same interrupt request line 88
same numerical relation will 65
same political insight will 85
same principle applied also 58
same principle applied here 70
same principle applied when 116
same principle applies also 504
same principle applies during 51
same principle applies even 352
same principle applies here 1332
same principle applies more 59
same principle applies when 2700
same principle carries over 106
same principle obtains here 40
same procedure applies also 44
same procedure applies when 253
same processes repeated upon 94
same proportion between their 53
same statement applies also 127
same testators carried away 58
same unbounded reliance only 276
same undoubted species when 78
same wholesale admirer adds 102
save endangered species from 129
saving endangered species from 54
seek additional capital from 43
seek additional medical care 47
seek additional revenue from 69
seek additional support from 194
seek competent medical care 155
seek competent medical help 605
seek connection between fact 106
seek effective redress from 138
seek electoral support from 46
seek emergency medical care 335
seek emergency medical help 159
seek exclusive control over 133
seek necessary medical care 45
seek political support from 192
seek protection against such 110
seek protection against their 74
seek spiritual counsel from 66
seen beneficial results from 52
seen excellent effects from 76
seen excellent results from 595
seen favorable results from 47
seen wonderful effects from 40
sell agreement entered into 126
sent brigadier general john 110
ship warranted neutral must 43
show compassion towards those 48
show different results from 232
show interface command will 54
show ourselves thankful unto 325
show prejudice resulting from 101
show themselves outside their 91
sign convention adopted here 137
single character matches zero 46
single dependent variable from 48
single englishman settled there 56
single generation removed from 173
single gentleman started back 44
single interrupt request line 68
single particles diffuse from 61
single pulmonary function test 48
sins committed against other 53
sins committed against their 82
site materially differing from 89
sits somewhere between these 43
size estimates derived from 92
size resealable plastic bags 159
skin conditions including acne 43
skin disorders resulting from 55
skin instantly becomes pale 222
skin irritation resulting from 256
skin stretched between their 90
skin stretched smoothly over 48
skin stretched tightly over 1227
slow movements towards fort 46
soil compaction resulting from 78
soil conditions resulting from 93
soil exhaustion resulting from 60
soil fertility resulting from 157
soil gradually becomes more 102
soil particles together into 207
soil structure resulting from 110
some absorbent material such 143
some additional benefit from 89
some additional capital into 57
some additional control over 263
some additional details from 155
some additional factors have 70
some additional factors must 177
some additional factors such 53
some additional features like 50
some additional features such 123
some additional features were 44
some additional insight from 44
some additional insight into 2140
some additional letters from 47
some additional material from 333
some additional measures were 54
some additional remarks upon 97
some additional remarks will 102
some additional research into 57
some additional results from 72
some additional revenue from 87
some additional species from 43
some additional studies have 46
some additional support from 510
some admirable remarks upon 201
some advantage derived from 63
some advantage resulting from 41
some affections wherein there 52
some affective factors upon 59
some agreement between these 77
some agreement entered into 72
some analogies between these 42
some animosity against young 50
some arguments against such 170
some arguments prevail more 488
some association between high 40
some association between these 204
some assuredly deserve much 95
some autograph letters from 51
some beneficial effects from 145
some beneficial effects have 68
some beneficial effects upon 102
some beneficial effects were 50
some beneficial results from 55
some commercial systems have 46
some committee members felt 72
some committee members have 51
some committee members were 248
some committee members will 40
some community members have 90
some community members were 103
some community service work 83
some companies benefit from 47
some companies require their 67
some compounds derived from 44
some conclusion regarding their 51
some conflicting results have 77
some congruence between what 115
some connection between having 46
some connection between high 49
some connection between love 41
some connection between mind 54
some connection between past 46
some connection between such 283
some connection between their 637
some connection between these 2528
some connection between those 219
some connection between three 43
some connection between what 1420
some connection between your 247
some contracting parties have 46
some contracts entered into 42
some countries benefit from 43
some countries including india 93
some countries produce more 96
some cretaceous fossils from 135
some dependent variable such 47
some desperate attempt upon 91
some different features from 76
some different opinions from 46
some difficult moments during 45
some discussion entered upon 45
some disparaging remarks made 77
some disparaging remarks upon 219
some disparity between their 42
some disparity between what 205
some dissolute masters have 86
some doctrines derived from 97
some effective control over 455
some effective measures were 75
some effectual measures were 95
some effectual measures will 86
some empirical insight into 66
some empirical research into 56
some empirical results from 141
some empirical studies have 454
some empirical studies show 59
some empirical support from 373
some encouraging results from 122
some encouraging results have 413
some encouraging results were 84
some enigmatic present must 59
some everlasting enemies here 41
some excellent insight into 87
some excellent material from 43
some excellent persons have 73
some excellent remarks from 58
some excellent remarks upon 406
some excellent remarks will 54
some excellent results from 141
some excellent results have 241
some excellent results were 69
some excellent reviews have 42
some excellent studies have 142
some expressed concern over 70
some exquisite passage from 87
some extensive research into 50
some fascinating insight into 68
some favorable comment from 55
some favorable reports have 42
some favorable results have 109
some favorable results were 45
some frightening moments when 40
some honorable members have 230
some honorable members seem 86
some honorable members were 173
some honorable members will 50
some hypotheses derived from 211
some identical species will 97
some identifying details have 91
some imaginary average rose 71
some imaginary present good 66
some impervious material such 62
some important aspects from 258
some important aspects have 83
some important aspects such 49
some important buildings were 59
some important details from 253
some important details have 61
some important details were 62
some important effects upon 60
some important factors have 84
some important factors such 85
some important factors were 52
some important features from 113
some important features have 40
some important features such 99
some important features were 42
some important figures from 63
some important insight into 392
some important lessons during 40
some important lessons from 1025
some important lessons have 90
some important lessons here 64
some important lessons were 97
some important letters from 166
some important material from 50
some important matters from 71
some important matters have 51
some important matters were 136
some important measures have 66
some important measures were 212
some important message from 98
some important pioneering work 42
some important problem areas 62
some important question among 46
some important reforms have 47
some important reforms were 142
some important remarks upon 62
some important research areas 76
some important research into 45
some important research work 87
some important respect from 310
some important results from 190
some important results have 223
some important results were 121
some important scruple came 48
some important sections from 40
some important strides have 60
some important studies have 236
some important support from 49
some impression strongly made 100
some industrial sectors have 41
some industrial sectors such 42
some infectious diseases have 70
some infectious diseases such 335
some infectious diseases were 46
some influence derived from 88
some influence emanating from 119
some influence exerted upon 152
some instances behaved like 58
some instances carried away 42
some instances derived from 72
some instances farmers have 56
some instances founded upon 72
some instances parents have 59
some instances perhaps even 232
some instances perhaps more 42
some instances persons have 51
some instances results from 40
some instances several days 74
some instances several years 101
some instances teachers have 60
some insurance against risk 43
some insurance against such 58
some interesting details from 193
some interesting details have 116
some interesting details upon 41
some interesting details were 45
some interesting effects when 53
some interesting features from 71
some interesting features have 63
some interesting features such 105
some interesting features were 53
some interesting features when 44
some interesting figures from 91
some interesting figures were 66
some interesting insight into 865
some interesting lessons from 53
some interesting letters from 490
some interesting material from 102
some interesting reactions from 79
some interesting remarks from 99
some interesting remarks made 51
some interesting remarks upon 425
some interesting remarks were 45
some interesting reports from 46
some interesting research into 99
some interesting research work 45
some interesting results from 459
some interesting results have 869
some interesting results were 635
some interesting results when 258
some interesting results will 70
some interesting stories from 103
some interesting studies have 245
some interesting subject when 89
some interesting variants from 44
some interplay between these 65
some intricate musical theme 56
some intuitive insight into 135
some invisible radiation from 527
some irregular service among 55
some knowledge derived from 117
some lamplight escaped upon 102
some loquacious vessels were 174
some managerial control over 47
some messengers arrived from 55
some monstrous mistake will 41
some mysterious control over 55
some mysterious process into 70
some mysterious quality born 50
some necessary repairs were 82
some newspaper clippings from 74
some newspaper writers know 45
some noiseless sailors were 66
some numerical results from 85
some numerical results will 40
some objections against their 58
some objective criteria such 42
some objective function such 74
some objective insight into 47
some observers believe there 56
some observers believe will 97
some operations require more 43
some opposition parties have 47
some opposition parties were 57
some ordovician fossils from 47
some overlapping between these 241
some parallels between their 65
some parallels between these 160
some parallels between what 68
some pathogenic bacteria have 58
some perfectly blithering idiot 56
some permanent benefit from 52
some permanent control over 44
some pertinent remarks from 46
some pertinent remarks upon 113
some phenomena resulting from 69
some political benefit from 99
some political capital from 53
some political control over 299
some political figures have 49
some political parties have 305
some political parties like 64
some political parties were 161
some political support from 146
some political systems have 53
some political theorists have 212
some political thinkers have 97
some political writers have 67
some practical benefit from 149
some practical insight into 347
some practical lessons from 166
some practical measures were 51
some practical purpose such 46
some practical results from 90
some prejudice against jews 41
some prejudice against these 65
some presented material into 42
some previously arranged plan 65
some previously unknown fact 45
some principle derived from 53
some prisoners escaped from 61
some programming language such 72
some prominent figures from 48
some protection against aids 125
some protection against cold 231
some protection against drying 99
some protection against early 68
some protection against fire 216
some protection against having 64
some protection against heart 422
