sacrament but a contract 66
sacrifice for a religious 94
sacrifice for a righteous 115
sacrifice was a constant 68
sacrifice was a religious 49
safeguard and a stimulus 54
safeguard for a minority 68
salutation for a business 58
salutation with a courteous 105
sanctuary and a fortress 40
sandstone for a distance 51
sandstone has a thickness 88
sandstone with a porosity 83
sandstone with a siliceous 96
sandstone with a thickness 143
satellite and a receiver 54
satellite cos b launched 69
satellite has a circular 48
satellite has a momentum 74
satellite with a circular 47
satisfied for a specific 94
satisfied than i expected 68
satisfied that a business 58
satisfied that a claimant 149
satisfied that a complete 129
satisfied that a condition 59
satisfied that a divorced 53
satisfied that a document 137
satisfied that a licensee 120
satisfied that a majority 1120
satisfied that a nuisance 172
satisfied that a powerful 177
satisfied that a prisoner 92
satisfied that a proposed 192
satisfied that a provision 182
satisfied that a reduction 121
satisfied that a situation 4390
satisfied that a specific 52
satisfied that a specimen 167
satisfied that a suitable 209
satisfied that a taxpayer 52
satisfied that a transfer 56
satisfied that i discover 43
satisfied with a beautiful 280
satisfied with a bourgeois 187
satisfied with a business 145
satisfied with a complete 155
satisfied with a condition 362
satisfied with a constant 208
satisfied with a criterion 45
satisfied with a definite 48
satisfied with a diagnosis 388
satisfied with a dividend 224
satisfied with a doctrine 174
satisfied with a document 125
satisfied with a doubtful 225
satisfied with a finished 87
satisfied with a fragment 40
satisfied with a frontier 41
satisfied with a handsome 81
satisfied with a judgment 164
satisfied with a literary 168
satisfied with a majority 304
satisfied with a military 178
satisfied with a minority 113
satisfied with a moderate 3285
satisfied with a modified 94
satisfied with a narrower 49
satisfied with a negative 686
satisfied with a personal 223
satisfied with a pittance 131
satisfied with a portrait 272
satisfied with a positive 125
satisfied with a probable 52
satisfied with a proposal 84
satisfied with a proposed 56
satisfied with a prospect 86
satisfied with a provision 123
satisfied with a purchase 370
satisfied with a quantity 96
satisfied with a reduction 341
satisfied with a relative 286
satisfied with a religious 164
satisfied with a response 213
satisfied with a sandwich 43
satisfied with a selection 235
satisfied with a sentence 339
satisfied with a separate 192
satisfied with a situation 835
satisfied with a slightly 197
satisfied with a smattering 210
satisfied with a solitary 107
satisfied with a somewhat 534
satisfied with a specific 168
satisfied with a standard 479
satisfied with a straight 213
satisfied with a strictly 177
satisfied with a symbolic 155
satisfied with a treatment 119
satisfied with a universe 274
satisfied with a vicarious 203
saturated with a chemical 326
saturated with a compound 83
saturated with a conducting 56
saturated with a constant 91
saturated with a moisture 58
saturated with a powerful 112
saturated with a profound 71
saturated with a quantity 44
saturated with a religious 134
saturated with a slightly 42
saturated with a specific 171
saturated with a suitable 190
saturated with a volatile 135
saxophone and a clarinet 60
scattered for a distance 123
scattered with a generous 46
scattered with a prodigal 80
scattered with a profusion 41
scheduled for a broadway 79
scheduled for a business 44
scheduled for a complete 223
scheduled for a december 75
scheduled for a definite 105
scheduled for a february 64
scheduled for a november 63
scheduled for a personal 72
scheduled for a physical 312
scheduled for a premiere 46
scheduled for a saturday 364
scheduled for a separate 76
scheduled for a specific 1254
scheduled for a surgical 121
schedules for a specific 59
scientist and a believer 110
scientist and a brilliant 59
scientist and a christian 376
scientist and a clinician 137
scientist and a historian 131
scientist and a humanist 334
scientist and a moralist 146
scientist and a novelist 65
scientist and a physician 254
scientist and a religious 84
scientist with a brilliant 46
scientist with a penchant 43
scientist with a powerful 54
scoundrel and a criminal 230
scoundrel and a disgrace 58
scoundrel and a murderer 114
scoundrel and a potential 71
scoundrel and a swindler 140
scrabbled for a handhold 65
scrabbled for a purchase 40
scrambled for a handhold 60
scrambled for a response 91
scratched with a fingernail 665
scratched with a metallic 40
scratched with a penknife 125
sculpture has a powerful 46
secretary and a chairman 79
secretary and a clerical 115
secretary and a computer 89
secretary and a director 2346
secretary and a financial 57
secretary and a graduate 41
secretary and a majority 160
secretary and a messenger 158
secretary and a military 103
secretary and a minister 105
secretary and a personal 87
