sack and conflagration of 243
safe and companionable as 52
safe and conservative to 87
safe and satisfactory as 157
safe and satisfactory in 73
safe and satisfactory to 230
said and acknowledged the 50
said and concentrated on 76
said and demonstrated by 58
said and demonstrated in 108
said and disconnected the 58
said and straightened up 155
said how disappointed he 106
said not infrequently to 75
said that architecture is 372
said that availability of 63
said that communication is 266
said that concentration is 45
said that concentration of 80
said that consciousness is 639
said that consciousness of 107
said that consideration is 56
said that consideration of 216
said that contemplation of 43
said that contradiction is 52
said that determination of 65
said that developments in 146
said that difficulties in 82
said that globalization is 83
said that historically the 94
said that improvements in 140
said that independence is 74
said that intelligence is 360
said that investigation of 54
said that irrespective of 204
said that justification by 53
said that justification is 78
said that notwithstanding the 668
said that participants in 80
said that participation by 48
said that participation in 392
said that participation is 50
said that participation of 55
said that particularly in 81
said that productivity is 55
said that psychotherapy is 73
said that righteousness is 91
said that schizophrenia is 40
said that spirituality is 75
said that traditionally the 124
said that tuberculosis is 69
said that tuberculosis of 49
said that unemployment in 80
said that unemployment is 133
said they participated in 735
said thus emphatically by 43
said two commissioners so 108
said was acknowledged by 66
said was communicated to 46
said was contradicted by 46
said was corroborated by 82
said was intelligible to 76
said with determination as 65
said with determination in 117
sail for newfoundland in 41
sake and irrespective of 44
sale and availability of 101
sale and consequently the 139
sale and dissemination of 197
sale and reinvestment of 210
sale and reorganization of 45
sale and transference of 40
sale are insufficient to 731
sale was accomplished by 61
sale was attributable to 50
sale was insufficient to 69
salt are manufactured in 43
salt was manufactured at 64
salt was manufactured by 117
salt was manufactured in 185
salt was precipitated by 84
salt was precipitated in 46
same and consequently the 138
same are authenticated as 113
same bad consequences in 53
same being administered by 108
same can conveniently be 173
same day communicated to 61
same low concentration of 75
same may conveniently be 165
same pin configuration as 89
same sex relationships as 107
same sex relationships in 74
same tax consequences as 641
same tax consequences to 63
same two temperatures is 75
same was accomplished by 64
same was accomplished in 46
same was acknowledged by 54
same was communicated to 129
same was demonstrated by 76
same way irrespective of 568
same with appropriations of 56
same year participated in 59
save and rehabilitate the 43
save for participation in 77
saving and indifference to 55
saving and postponement of 166
saving and reinvestment of 44
saving was accomplished by 155
saying her righteousness is 48
saying how disappointed he 109
saying that architecture is 131
saying that communication is 166
saying that consciousness is 501
saying that consciousness of 41
saying that consideration of 53
saying that contraception is 43
saying that intelligence is 167
saying that justification is 66
saying that notwithstanding the 152
saying that participants in 56
saying that participation in 109
saying that righteousness is 44
saying that spirituality is 66
saying that unemployment is 68
says that architecture is 86
says that communication is 141
says that consciousness is 462
says that consciousness of 45
says that consideration of 67
says that contemplation is 58
says that covetousness is 77
says that dissemination of 41
says that globalization is 52
says that intelligence is 233
says that irrespective of 61
says that justification is 96
says that notwithstanding the 257
says that participation in 49
says that participation is 59
says that righteousness is 93
says that spirituality is 43
says that subjectivity is 72
says that unemployment is 86
says was communicated to 94
seals and certificates of 79
seals and confirmations of 44
seats for untouchables in 44
seeing any contradiction in 53
seeing any significance in 44
seeing him unexpectedly in 47
seeing his determination to 45
seeing how unscientific the 47
seeing its actualization as 47
seeing that consciousness is 55
seeing this manifestation of 42
seek for companionship in 50
seek for gratification in 139
seek for illustrations of 97
seek for improvements in 42
seek for justification by 96
seek for justification in 61
seek for participation in 72
seek for righteousness by 80
seek its gratification in 199
seek its justification in 236
seek new alternatives to 60
seek new perspectives on 46
seek out alternatives to 250
seek out relationships in 77
seek that unattainable thing 163
seem not inappropriate to 129
seem not infrequently to 351
seem not proportionate to 157
seem not sufficiently to 274
seem that consciousness is 50
seem that consideration of 88
seem that determination of 46
seem that notwithstanding the 73
seem that participation in 72
seem too preposterous to 59
seem too presumptuous to 55
seem too superficially to 53
seen and acknowledged as 508
seen and acknowledged by 744
seen and acknowledged in 239
seen and acknowledged it 56
seen and acknowledged the 252
seen and acknowledged to 413
seen and comprehended at 60
seen and comprehended by 250
seen and comprehended in 93
seen and comprehended it 41
seen and comprehended the 58
seen and consciousness of 44
seen and contemplated in 50
seen and contemplated the 47
seen and demonstrated in 148
seen and investigated by 52
seen and participated in 1208
seen and photographed as 90
seen and photographed at 247
seen and photographed by 408
seen and photographed in 421
seen and photographed on 337
seen and photographed the 172
seen any contradiction in 47
seen any manifestation of 49
seen any significance in 57
seen him unexpectedly in 85
seen how developments in 47
seen how emphatically the 56
seen how persistently he 48
seen how successfully the 113
seen new developments in 65
seen nor comprehended by 42
seen not infrequently as 98
seen not infrequently at 47
seen not infrequently in 798
seen not infrequently on 49
seen that circumstance in 55
seen that communication is 100
seen that concentration is 41
seen that consciousness is 190
seen that consciousness of 42
seen that consideration of 133
seen that determination of 76
seen that developments in 73
seen that historically the 72
seen that improvements in 138
seen that incorporation of 55
seen that intelligence is 153
seen that irrespective of 174
seen that notwithstanding the 235
seen that participation in 87
seen that particularly in 45
seen that predominance of 41
seen that subjectivity is 42
seen that tuberculosis is 60
seen that tuberculosis of 40
seen that unemployment is 55
seen this demonstrated in 283
seen this particularly in 101
seen with astonishment the 276
seen with deficiencies of 50
seen with indifference the 110
sees and acknowledges as 93
sees and acknowledges in 51
sees and acknowledges it 153
sees and acknowledges the 260
sees and contemplates so 56
sees and participates in 54
sees its significance in 55
sees new significance in 49
sees this particularly in 110
sees with astonishment the 110
self and consciousness as 109
self and consciousness in 146
self and consciousness is 130
self and consciousness of 691
self and consequently of 92
self and consequently the 96
self and indifference to 66
self and participation in 110
self and relationships in 169
self and relationships to 205
self and subjectivity as 92
self and subjectivity in 276
self and technologies of 59
self that incorporates the 68
self that participates in 195
self was consciousness of 52
self was interrogated by 43
sell her manufactures in 42
sell his improvements at 57
sell his improvements to 179
send all contributions to 61
send any communication to 195
send any contributions to 54
send any intelligence to 152
send her commissioners to 58
send him certificates of 74
send him intelligence of 133
send his commissioners to 56
send his contemplation to 104
send his subordinates to 52
send new commissioners to 40
send our manufactures to 64
send our remembrances to 91
send out commissioners of 50
send out commissioners to 270
send out interviewers to 51
send this communication to 162
send this questionnaire to 55
send two commissioners to 358
