references to 46 references to 94
regulations as 46 regulations to 74
regulations to 42 regulations by 74
regulations in 208 regulations to 266
regulations by 42 regulations in 48
regulations by 49 regulations to 73
reiterated to 95 remarkably to 40
remembered to 46 researchers on 42
researchers the 86 researchers the 68
researchers the 96 researchers the 48
researchers the 52 researchers to 104
researchers by 70 researchers by 102
researchers in 2079 researchers in 298
researchers in 240 researchers in 163
researchers in 75 researchers in 49
resentment be 41 reservoirs in 60
resistance in 243 resistance of 62
resolutions in 204 restrained as 45
