gathers impulsively round him 174
gender differences exist and 105
gender differences exist for 69
gender differences exist with 47
gender differences found for 74
gender differences rather than 605
gender differences which are 150
gender differences within and 45
gender differences within each 256
gentle perspiration broke out 47
glancing suspiciously about her 50
glided noiselessly after her 50
global corporations rather than 40
global deterioration scale for 348
global marketplace rather than 41
global optimization method for 149
global optimization method that 44
global perspective rather than 130
global temperature change and 63
golden candlestick burns and 52
golden opportunity could not 53
golden opportunity which had 123
golden opportunity which they 71
golden opportunity which was 99
golden opportunity would not 49
grated horseradish mixed with 105
greater achievement gains for 49
greater achievement gains than 193
greater centrifugal force and 40
greater centrifugal force than 144
greater comparative value than 40
greater compensation under this 75
greater destructive force than 71
greater destructive power and 134
greater destructive power than 355
greater differences within each 58
greater explanatory power and 494
greater explanatory power for 458
greater explanatory power than 3128
greater explanatory power with 97
greater explanatory value for 106
greater explanatory value than 287
greater flexibility rather than 49
greater homogeneity within each 49
greater imaginative power than 93
greater jurisdiction given him 95
greater legislative power than 49
greater monasteries which had 55
greater motivational force than 107
greater obstructions choke all 42
greater penetrative power than 125
greater performance gains than 47
greater statistical power and 237
greater statistical power for 68
greater statistical power than 409
greater temperature ranges than 42
greater uncertainty about how 77
greater uncertainty about its 53
greater understanding about how 157
greatly advantageous change was 75
greatly facilitated trade and 88
greatly facilitated trade with 45
greatly outnumbered women and 43
groaning indignantly under its 40
ground differently every day 42
groups established under this 90
guided independent study and 135
