gaily ornamented with red 48
gaining acceptance and use 89
gaining acceptance for her 48
gaining acceptance for his 272
gaining acceptance for its 143
gaining acceptance for new 113
gaining acceptance for them 76
gaining acceptance for this 140
gaining acceptance for use 110
gaining confidence now that 42
gaining confidence that they 50
gaining confidence with each 223
gaining experience with new 46
gaining experience with this 101
gaining information that can 40
gaining information that may 42
gaining popularity and are 65
gaining popularity and has 49
gaining popularity for its 67
gaining popularity for use 120
gaining recognition for her 140
gaining recognition for his 375
gaining recognition for its 172
gaining recognition for this 52
gains acceptance with god 88
gains experience with its 84
gains experience with this 57
gains recognition for his 46
gather confidence and wag 97
gather information and act 87
gather information and ask 57
gather information and bring 72
gather information and get 147
gather information and how 119
gather information and not 74
gather information and put 92
gather information and see 41
gather information and that 55
gather information and then 420
gather information and try 42
gather information and use 290
gather information for all 44
gather information for each 83
gather information for her 157
gather information for him 213
gather information for his 576
gather information for its 116
gather information for our 44
gather information for them 107
gather information for this 537
gather information for use 279
gather information for you 120
gather information that can 650
gather information that has 74
gather information that may 400
gather information that they 106
gather information that was 116
gather information that you 123
gather inspiration for his 62
genes identified thus far 188
genial disposition and his 168
genus absolutely does not 85
germs appetizingly for them 81
getting acceptance for its 143
getting acquainted and for 54
getting acquainted with all 542
getting acquainted with and 207
getting acquainted with any 136
getting acquainted with both 48
getting acquainted with each 1093
getting acquainted with god 57
getting acquainted with her 785
getting acquainted with him 736
getting acquainted with his 1121
getting acquainted with its 250
getting acquainted with jean 46
getting acquainted with men 67
getting acquainted with new 510
getting acquainted with one 1466
getting acquainted with our 509
getting acquainted with that 152
getting acquainted with them 971
getting acquainted with things 85
getting acquainted with this 414
getting acquainted with you 280
getting dangerously low and 71
getting frustrated with her 91
getting frustrated with him 74
getting frustrated with his 95
getting frustrated with this 40
getting government off our 228
getting information and for 70
getting information for his 44
getting information that can 59
getting information that they 54
getting information that was 73
getting information that you 45
getting recognition for his 93
getting reconciled with him 52
girls apparently did not 71
girls approached him and 64
girls complained that they 216
girls discovered that they 73
girls understand that they 82
given activities that are 43
given application can not 47
given application does not 45
given application may not 43
given assurances that all 112
given assurances that any 41
given assurances that his 111
given assurances that its 52
given assurances that she 125
given assurances that they 653
given assurances that this 83
given confidence that they 87
given experience and its 78
given experience can not 107
given experiment can not 46
given guarantees that they 64
given immediately and then 47
given indications that they 120
given individual and for 42
given individual and his 176
given individual and that 184
given individual are not 86
given individual can not 296
given individual did not 60
given individual does not 351
given individual may not 255
given individual was not 45
given individual who has 64
given individual who may 52
given individual with his 52
given information and are 55
given information and new 94
given information and that 67
given information and then 102
given information can not 160
given information does not 113
given information that has 78
given information that led 58
given information that may 58
given information that they 130
given information that was 165
given information that you 49
given institution and its 57
given institution does not 42
given invaluable aid and 61
given percentage each year 104
given percentage for each 47
given phenomenon and its 75
given phenomenon and then 56
given phenomenon can not 72
given phenomenon does not 76
given preference and that 113
given preference for all 48
