gang whose members were 111
gap opens between what 51
gap which results from 91
gas bombs dropped from 114
gas cleaning devices such 62
gas engine depends upon 70
gas fired central heating 86
gas phase reactions have 138
gas phase reactions leading 90
gas phase reactions were 43
gas start awfully when 63
gas stream because there 60
gas wells producing from 61
gas which emerges from 63
gas which escaped from 199
gas which escapes from 712
gas which escapes into 99
gas which results from 302
gay march sounded from 42
get about halfway down 100
get bertha married grew 42
get blood poisoning from 74
get blood samples from 114
get bored because there 115
get child support from 362
get civil service jobs 55
get daily reports from 50
get easily carried away 40
get equal pleasure from 40
get every question wrong 43
get fifty dollars from 154
get first quality from 84
get fresh insight into 57
get goose pimples just 44
get goose pimples when 217
get hungry between meals 339
get large returns from 57
get light outside when 49
get mixed reviews from 127
get mixed signals from 99
get moral support from 147
get motor imagery when 46
get older because their 41
get quick results from 99
get quick returns from 47
get quite annoyed when 60
get quite carried away 489
get quite complex when 40
get quite excited over 97
get quite excited when 98
get rather carried away 111
get rather excited during 64
get really annoyed when 123
get really carried away 341
get really excited when 205
get really nervous when 136
get really worried when 48
get scant sympathy from 61
get seven thousand five 52
get small comfort from 57
get social support from 85
get strong support from 266
get stuck between your 183
get total control over 98
get under shelter from 55
get upset because their 45
get upset because your 102
get weather reports from 56
get within fifteen feet 78
get within gunshot range 90
get within several feet 50
get within shotgun range 125
get within torpedo range 337
god grows heartily sick 51
goes about dressed like 59
going about dressed like 71
going crazy because there 55
going crazy wondering what 180
going rather quickly back 47
going while traveling along 76
got about fifteen feet 84
got about halfway back 65
got about halfway down 786
got about halfway home 122
got about halfway over 45
got about halfway there 350
got about halfway when 52
got blood poisoning from 96
got fifty dollars from 70
got hungry between meals 61
got mixed reviews from 137
got mixed signals from 43
got moral support from 98
got quite carried away 429
got quite excited over 198
got quite excited when 186
got rather carried away 376
got really carried away 112
got really excited when 186
got really nervous when 71
got really worried when 55
got scant support from 49
got scant sympathy from 52
got small comfort from 131
got solid support from 61
got strong support from 377
got stuck halfway down 244
got thirty seconds left 43
got thirty talents more 151
got under shelter when 44
got within fifteen feet 276
got within torpedo range 120
gum resin derived from 169
gun color picture tube 352
gun leaped sharply from 86
gun never wavered from 67
guy knows exactly what 59
guy looks exactly like 44
