gaining subsistence from charity 58
gazed thoughtfully into vacancy 78
getting perpetually into sloughs 42
given jurisdiction over british 40
given jurisdiction over certain 163
given jurisdiction over federal 44
given jurisdiction over matters 119
green birefringence when stained 67
group communities into empires 60
group differences into account 56
group differences were evident 248
group differences were present 129
group differences were revealed 54
group individuals into classes 65
growing controversy over slavery 148
growth experiments were carried 448
