generalizing function of language 58
generations between the founder 54
generative grammar in general 118
generative grammar of chomsky 88
generative nucleus in certain 44
generative process of language 123
generators capable of producing 577
generators capable of providing 43
generators capable of supplying 55
generators include the following 47
generosity forbids the receipt 74
generosity peculiar to himself 57
generosity towards an infidel 76
generosity towards the defeated 55
generously defined to include 43
generously offered to advance 101
generously offered to conduct 50
generously offered to finance 91
generously offered to furnish 203
generously offered to present 95
generously offered to provide 288
generously offered to publish 63
generously offered to receive 92
generously refused to endanger 73
generously refused to receive 67
generously supplying the muscles 97
gentleness towards the unhappy 64
geometrical degrees of freedom 145
geometrical pattern of squares 59
geometrical spheres or circles 136
gladiatorial combats of ancient 60
governance include the following 47
government acceded to demands 52
government according to ability 41
government according to ancient 68
government according to certain 56
government according to charter 87
government accused the british 41
government accused the company 41
government adopted an official 132
government adopted an outward 47
government adopted the british 95
government adopted the concept 58
government adopted the following 260
government adopted the national 243
government adopted the position 142
government affairs in general 59
government affects the economy 119
government against the accused 56
government against the alleged 43
government against the attacks 169
government against the british 236
government against the catholic 168
government against the charges 57
government against the chinese 171
government against the citizen 42
government against the company 46
government against the efforts 54
government against the foreign 71
government against the germans 54
government against the hostile 50
government against the insults 59
government against the peasants 43
government against the persons 40
government against the popular 42
government against the tyranny 40
government against the workers 106
government allowed the company 82
government allowed the exchange 45
government allowed the private 64
government appealed the decision 358
government appealed to britain 47
government appeared to believe 94
government appeared to support 48
government assigns to justify 162
government assumed the function 43
government assumed the position 60
government assumes the primary 45
government assured the british 40
government attempt to control 249
government attempt to enforce 105
government attempt to improve 88
government attempt to increase 41
government attempt to prevent 75
government attempt to promote 55
government attempt to provide 53
government because he refused 65
government because it allowed 50
government because it deranges 41
government because of alleged 104
government because of certain 65
government because the british 63
government because the country 50
government because the federal 71
government because we believe 82
government becomes the primary 44
government becomes the servant 48
government benefit or service 79
government benefit to religion 76
government between the central 224
government between the federal 123
government between the national 217
government between the parties 98
government billions of dollars 536
government borrowing to finance 1752
government borrows to finance 458
government brought the country 78
government brought the question 49
government buildings in algiers 54
government buildings in baghdad 44
government buildings in pretoria 80
government capable of achieving 40
government capable of affording 40
government capable of balancing 68
government capable of defending 138
government capable of directing 101
government capable of embracing 218
government capable of enforcing 329
government capable of extending 69
government capable of governing 156
government capable of inspiring 44
government capable of promoting 72
government capable of providing 300
government capable of resisting 250
government capable of resolving 125
government capable of restoring 101
government capable of sketching 43
government carried on against 70
government carried on exactly 45
government charged the company 47
government chooses the optimal 44
government chooses to finance 98
government chooses to present 68
government chooses to protect 42
government chooses to provide 95
government chooses to support 46
government circles in britain 69
government claimed the country 56
government control in general 101
government control in matters 63
government control in wartime 42
government control of capital 139
government control of certain 157
government control of content 159
government control of economy 109
government control of everything 112
government control of exchange 143
government control of exports 116
government control of finance 77
government control of foreign 1086
government control of forests 51
government control of freight 49
government control of imports 112
government control of marketing 181
government control of markets 124
government control of medical 125
government control of national 124
government control of natural 155
government control of private 664
government control of profits 59
government control of railway 56
government control of religion 145
government control of research 74
government control of schools 163
government control of science 49
government control of society 79
government control on foreign 45
government control the economy 43
government control to prevent 97
government control to private 73
government control to protect 49
government debased the coinage 40
government decided in january 94
government decided in october 133
government decided to abandon 803
government decided to abolish 611
government decided to acquire 126
government decided to address 59
government decided to advance 50
government decided to appoint 524
government decided to approve 71
government decided to attempt 153
government decided to collect 76
government decided to combine 82
government decided to conduct 156
government decided to consult 48
government decided to control 106
government decided to convene 61
government decided to convert 185
government decided to curtail 99
government decided to declare 178
government decided to decrease 44
government decided to destroy 129
government decided to devalue 208
government decided to develop 535
government decided to disband 88
government decided to dismiss 65
government decided to dispose 53
government decided to enforce 257
government decided to enhance 45
government decided to enlarge 57
government decided to entrust 77
government decided to exclude 103
government decided to execute 45
government decided to exploit 76
government decided to explore 61
government decided to finance 157
government decided to improve 141
government decided to include 201
government decided to increase 1129
government decided to initiate 219
government decided to install 75
government decided to involve 61
government decided to license 51
government decided to operate 51
government decided to prepare 68
government decided to present 83
government decided to prevent 63
government decided to proceed 538
government decided to produce 82
government decided to promote 420
government decided to propose 86
government decided to protect 171
government decided to provide 711
government decided to publish 109
government decided to reassert 40
government decided to rebuild 104
