geometrical relations which exist 54
government activity takes place 90
government activity which would 42
government agencies which could 59
government agencies which might 138
government agencies which offer 85
government agencies which would 213
government functions takes place 44
government officials which would 48
government officials would never 56
government policies which could 42
government policies which create 49
government policies which might 82
government policies which would 147
government programs which would 46
guidelines approach would create 42
guidelines concerning child abuse 117
