gain air superiority and 337
gain and efficiency are 65
gain any information that 210
gain both confidence and 177
gain both experience and 206
gain both information and 89
gain can compensate for 60
gain for yourselves and 86
gain her confidence and 435
gain her friendship and 51
gain his approbation and 59
gain his confidence and 2869
gain his cooperation and 98
gain his friendship and 399
gain its confidence and 94
gain job experience and 96
gain new appreciation for 301
gain new confidence and 173
gain new experience and 150
gain new information and 657
gain new information that 142
gain new inspiration for 88
gain new privileges for 43
gain our confidence and 95
gain that confidence and 97
gain that experience and 59
gain that familiarity with 153
gain this experience and 126
gain this information and 54
gain was calculated and 42
gain was calculated for 66
gain was recognized and 42
gain was recognized was 61
gait and difficulty with 41
gall and bitterness and 101
gall and bitterness that 139
game and delicacies that 68
game are consistent with 40
game for destruction and 56
game for recreational use 121
game has disappeared and 68
game that fascinated him 84
game was registered for 44
gaming was suppressed but 45
gaps are identified and 160
gate and discovered that 49
gate was strengthened with 41
gave all indications that 42
gave any explanation for 107
gave each individual his 54
gave few indications that 172
gave few interviews and 53
gave her antibiotics and 85
gave her assistance and 44
gave her assistance with 200
gave her assurances that 45
gave her confidence and 605
gave her confidence that 718
gave her consolation and 53
gave her facilities for 40
gave her information that 53
gave her inordinate joy 43
gave her inspiration for 49
gave her instruction and 41
gave her nightmares for 57
gave her reassurance that 43
gave her sandwiches and 45
gave her suggestions for 78
gave him acceptance and 40
gave him advantages for 56
gave him advantages that 75
gave him antibiotics and 46
gave him assistance and 93
gave him assurances that 724
gave him chloroform and 67
gave him cigarettes and 175
gave him commissions for 150
gave him competence and 90
gave him confidence and 880
gave him confidence for 84
gave him confidence that 1959
gave him connections with 59
gave him consolation and 89
gave him distinction and 150
gave him employment and 155
gave him employment for 163
gave him experience and 135
gave him experience that 49
gave him experience with 95
gave him facilities for 304
gave him familiarity with 120
gave him friendship and 57
gave him gratuities and 64
gave him importance and 70
gave him indigestion and 88
gave him information and 196
gave him information that 596
gave him inspiration and 148
gave him inspiration for 171
gave him instruction and 128
gave him nightmares and 42
gave him nightmares for 61
gave him particular joy 50
gave him penicillin and 44
gave him popularity and 44
gave him prominence and 93
gave him recognition and 74
gave him recognition for 45
gave him scurrilous and 60
gave him simplicity and 47
gave him stimulants and 48
gave him substantial aid 72
gave him suggestions for 120
gave him sustenance and 68
gave him unspeakable joy 71
gave his acceptance for 65
gave his approbation and 58
gave his assistance and 104
gave his assurances that 295
gave his benediction and 131
gave his confidence and 183
gave his confidence for 70
gave his confidence not 62
gave his countrymen joy 75
gave his experience with 81
gave his explanation for 115
gave his friendship and 44
gave his imprimatur are 59
gave its assurances that 128
gave long afternoons for 67
gave new assurances that 114
gave new confidence and 51
gave new importance and 48
gave off sufficient heat 41
gave one confidence that 40
gave one convulsive leap 58
gave one convulsive throe 95
gave one explanation for 52
gave our grandfather his 205
gave our literature its 42
gave out commissions for 154
gave out completely and 175
gave out everywhere that 165
gave out information that 71
gave out interviews and 43
gave them advantages for 48
gave them assistance and 81
gave them assurances that 625
gave them cigarettes and 357
gave them commissions for 41
gave them confidence and 593
gave them confidence for 44
gave them confidence that 1170
gave them conscience and 127
gave them consolation and 74
gave them distinction and 45
gave them employment and 166
gave them experience and 76
gave them experience with 80
gave them facilities for 264
gave them familiarity with 49
gave them hailstones for 168
gave them importance and 40
gave them information and 138
gave them information that 384
gave them information they 52
gave them inspiration and 59
gave them instruction and 173
gave them legitimacy and 54
gave them popularity and 45
gave them privileges and 74
gave them prominence and 40
gave them prosperity and 44
gave them recognition and 77
gave them sandwiches and 47
gave them suggestions for 53
gave them sustenance and 107
gave them visibility and 61
gave this explanation for 427
gave this explanation with 113
gave this information and 80
gave this information had 59
gave this information was 79
gave this information with 44
gave this institution its 42
gave this instrument for 44
gave way completely and 381
gave way immediately and 48
gave you confidence that 63
gave you information that 178
gaze all intimacies are 45
gears are lubricated with 54
gels and visualized with 54
gene and comparison with 96
gene and correlation with 47
gene are sufficient for 44
gene can substitute for 46
gene for cooperation with 67
gene for resistance and 101
gene for resistance was 104
gene that determines this 44
gene that interferes with 115
gene was determined and 72
gene was discovered and 51
gene was identified and 213
gene was identified that 117
gene was identified using 41
gets his information and 67
gets its information and 64
gets this information and 45
gets you acquainted with 63
gift for abstraction and 43
gift for caricature and 105
gift for composition and 138
gift for compromise and 124
gift for description and 109
gift for friendship and 711
gift for friendship that 174
gift for friendship was 142
gift for friendship with 123
gift for literature and 62
gift for mathematics and 289
gift for mathematics was 72
gift for observation and 465
gift for observation that 46
gift for storytelling and 295
gift for storytelling that 50
gift tax conventions with 49
gift tax regulations are 52
gift was spontaneous and 40
gilt and ornamented with 371
gins and cottonseed oil 109
gins had encroached and 266
girl and discovered that 70
girl and encouraged her 45
girl and instructed her 49
girl and introduced her 100
girl had approached him 45
girl had disappeared and 147
girl had disappeared for 42
girl had discovered her 47
girl had discovered that 92
girl had discovered with 62
girl had recognized her 53
girl had recognized him 44
girl has discovered that 161
girl now surrounded him 79
girl was acquainted with 43
girl was attractive and 78
girl was confronted with 61
girl was dangerously ill 48
girl was definitely not 71
girl was determined not 40
girl was fascinated with 40
girl was frightened and 426
girl was infatuated with 49
girl was preoccupied with 73
girl was pronounced out 48
girl was sacrificed and 44
girl was speechless with 41
girl was unconscious and 49
girl who apparently had 127
girl who apparently has 57
girl who apparently was 62
girl who approached him 72
girl who befriended him 47
girl who complained that 272
girl who confronted him 46
girl who discovered her 57
girl who discovered that 49
girl who fascinated him 48
girl who identifies with 121
girl who interested him 112
girl who introduced him 64
girl who sacrificed her 61
girl who sacrifices her 88
girl who understood him 69
girl with spectacles and 59
give aid recipients any 90
give all assistance and 138
give all facilities and 74
give all facilities for 148
give all information and 165
give all information that 192
give any appreciation for 46
give any assistance and 53
give any assistance for 136
give any assistance that 502
give any assistance they 108
give any assistance with 46
give any assurances that 426
give any authorities for 46
give any confidence that 115
give any description that 52
give any directives for 54
give any explanation and 116
give any explanation but 71
give any explanation for 1423
give any explanation that 268
give any explanation why 195
give any explanation with 61
give any explanation you 56
give any facilities for 95
give any guarantees for 87
give any guarantees that 181
give any guidelines for 62
give any indications that 165
give any information and 225
give any information but 43
give any information for 208
give any information out 55
give any information that 2144
give any information they 159
give any information with 240
give any information you 193
give any particular and 57
give any substantial aid 66
give any sufficient idea 97
give any suggestions for 93
give both individual and 54
give both information and 58
give both instruction and 49
give both management and 46
give due prominence and 50
give due recognition and 167
give due recompense for 46
give each department its 68
give each individual his 205
give each instrument its 92
give her assistance and 149
give her assistance but 77
give her assistance for 46
give her confidence and 324
give her confidence that 233
give her consolation and 40
give her information and 81
give her information she 62
give her information that 244
give her nightmares for 64
give her reassurance and 49
give her reassurance that 102
give her suggestions for 59
give him assistance and 207
give him assurances that 270
give him cigarettes and 66
give him commissions for 70
give him competence for 68
give him confidence and 789
give him confidence for 93
give him confidence that 924
give him confidence with 43
give him consolation and 53
give him employment and 139
give him employment for 95
give him employment than 42
give him experience and 115
give him experience with 56
give him facilities for 298
give him familiarity with 89
give him friendship and 49
give him information and 421
give him information for 51
give him information that 788
give him information with 79
give him inspiration and 59
give him inspiration for 77
give him instruction and 129
give him nightmares for 69
give him precedence for 49
give him prominence and 43
give him reassurance and 68
give him reassurance that 56
give him recognition and 113
give him recognition for 119
give him repentance and 76
give him suggestions and 46
give him suggestions for 145
give him sustenance and 43
give his assistance and 212
give his assistance for 66
give his attendance and 62
give his authorities for 161
give his celebrated peal 99
give his concessions all 59
give his confidence and 69
give his experience and 92
give his experience its 60
give his experience with 43
give his explanation for 48
give his friendship and 49
give his imagination its 99
give his impressions and 42
give his suggestions for 42
give its acceptance and 58
give its advantages and 59
give new guarantees for 76
give new incentives and 45
give new information and 56
give off substances that 229
give off sufficient heat 135
give one confidence that 421
give one explanation for 88
give our assistance and 43
give our commitment and 75
give our conclusions and 120
give out information and 267
give out information but 51
give out information for 48
give out information that 794
give out sufficient heat 136
give tax incentives for 211
give that government and 109
give that information and 60
give that information out 456
give them activities that 41
give them advantages that 42
give them assistance and 293
give them assistance both 64
give them assistance for 43
give them assistance with 46
give them assurances that 329
give them background and 41
give them background for 41
give them cigarettes and 110
give them confidence and 1035
give them confidence for 65
give them confidence that 1450
give them consolation and 148
give them continuity and 55
give them discipline and 79
give them distinction and 89
give them educational and 72
give them efficiency for 61
give them employment and 452
give them employment for 66
give them experience and 164
give them experience with 185
give them facilities and 48
give them facilities for 398
give them familiarity with 86
give them guidelines for 132
give them importance and 106
give them incentives for 119
give them information and 715
give them information for 68
give them information that 1320
give them information they 338
give them inspiration and 131
give them instruction and 338
give them instruction for 40
give them legitimacy and 124
give them literature and 43
give them permanence and 86
give them preference for 52
give them privileges and 86
give them prominence and 111
give them prosperity and 70
give them reassurance and 59
give them reassurance that 148
give them recognition and 239
give them recognition for 150
give them repentance and 239
give them repentance for 108
give them simplicity and 73
give them strategies for 95
give them substantial aid 97
give them sufficient for 101
give them suggestions and 70
give them suggestions for 145
give them sustenance and 133
give them uniformity and 41
give them visibility and 89
give this assistance and 49
give this explanation for 84
give this information and 298
give this information are 75
give this information but 78
give this information for 333
give this information out 324
give this information with 95
give this instruction and 70
give this instruction was 47
give two unsuspecting men 54
give way completely and 91
give you assistance and 65
give you assistance with 74
give you assurances that 343
give you background and 59
give you background for 57
give you bishoprics and 47
give you confidence and 1104
give you confidence for 116
give you confidence that 1928
give you consolation and 58
give you credentials that 236
give you definitions for 50
give you experience and 155
give you experience for 63
give you experience that 45
give you experience using 170
give you experience with 321
give you familiarity with 56
give you guidelines and 98
give you guidelines for 461
give you indigestion for 64
give you information and 1071
give you information but 49
give you information for 243
give you information not 51
give you information that 3464
give you information with 51
give you information you 597
give you inspiration and 130
give you inspiration for 115
give you instruction and 75
give you nightmares for 60
give you prosperity and 49
give you reassurance and 47
give you reassurance that 47
give you recognition for 45
give you repentance and 93
give you repentance for 183
give you strategies for 198
give you suggestions and 158
give you suggestions for 850
give you suggestions that 186
give you techniques for 107
giving and volunteering are 152
giving any equivalent for 64
giving any explanation for 233
giving any explanation with 58
giving any indications that 54
giving any information for 65
giving any information that 410
giving both information and 58
giving due recognition and 68
giving each department its 45
giving each individual his 93
giving her confidence and 98
giving her confidence that 98
giving her information and 76
giving her information that 56
giving him assurances that 241
giving him confidence and 162
giving him confidence that 199
giving him facilities for 58
giving him information and 185
giving him information that 360
giving him instruction and 42
giving him reassurance and 48
giving him suggestions for 46
giving his benediction and 40
giving his benediction with 55
giving his experience and 54
giving his experience with 61
giving his impressions and 100
giving his infinitely dear 113
giving its advantages and 55
giving new information and 40
giving out everywhere that 70
giving out information and 264
giving out information that 490
giving out punishment and 63
giving tax incentives for 61
giving them assistance and 112
giving them assurances that 114
giving them cigarettes and 61
giving them confidence and 219
