gaff that venerable piece 49
gags and practical jokes 52
gain and advantage which 121
gain and political power 484
gain any advantage either 136
gain any advantage which 65
gain any knowledge about 104
gain for organized labor 43
gain for themselves would 129
gain new knowledge about 1059
gain one advantage after 48
gain real political power 69
gain that knowledge which 173
gain this important place 305
gain this important point 56
gale had freshened since 57
gall and pancreatic ducts 48
game and migratory birds 49
game and vegetable foods 238
game for political power 57
game was continued until 96
game was postponed until 87
game was scoreless until 122
game with arbitrary rules 54
game with different rules 238
gangs and different ships 90
gangs and organized crime 855
gaps that currently exist 240
gave any directions about 166
gave her additional power 55
gave her directions about 98
gave her electoral votes 48
gave her expensive gifts 108
gave her governess sixty 59
gave her momentary pause 68
gave her unlimited scope 44
gave him additional power 118
gave him additional reason 77
gave him afterward every 381
gave him different names 48
gave him different views 58
gave him directions about 250
gave him directions where 60
gave him directions which 121
gave him expensive gifts 46
gave him momentary pause 71
gave him perpetual glory 82
gave him political power 103
gave him unbounded power 79
gave him unlimited power 269
gave him unlimited scope 59
gave his disciples power 335
gave his opponents ample 40
gave his testimony about 77
gave his testimony under 54
gave its electoral votes 278
gave off poisonous fumes 55
gave one identical beauty 87
gave them additional cause 98
gave them additional force 60
gave them additional power 75
gave them different meanings 68
gave them different names 476
gave them different views 75
gave them directions about 98
gave them directions where 42
gave them expensive gifts 41
gave them honorable burial 44
gave them important posts 40
gave them intrinsic power 69
gave them knowledge about 47
gave them political power 252
gave them senseless names 43
gave them unlimited power 77
gave two different names 45
gave you unfounded hopes 59
gays and straights alike 606
gaze was instantly drawn 47
gene for epidermal growth 56
gene was expressed under 111
germ and sunflower seeds 81
giant and political dwarf 195
giant but political dwarf 42
giant had stiffened badly 45
gift for automatic writing 160
gift for character drawing 118
gift for influencing people 45
gift for leadership which 58
gift for remembering faces 62
gift for remembering names 101
gift tax obligation would 53
girl sat perfectly still 61
girl with corkscrew curls 84
girl with naturally curly 50
give all necessary favor 70
give and interpret tests 95
give any assurance about 93
give any definition which 185
give any directions about 406
give any directions which 195
give any exclusive right 204
give any guarantee about 76
give any indication about 591
give any indication where 72
give any indication which 50
give any knowledge about 47
give any largeness either 175
give any necessary reason 87
give any plausible reason 89
give any reasonable cause 80
give any reasonable hopes 137
give any specifics about 87
give any testimony about 40
give any testimony which 58
give any tolerable reason 63
give any undertaking about 81
give each political party 57
give each protected racial 56
give her directions about 46
give her expensive gifts 42
give him absolution until 94
give him additional power 83
give him different names 114
give him directions about 133
give him directions where 106
give him expensive gifts 40
give him honorable burial 64
