gable looking westward to 86
gagging might possibly be 145
gaining power relative to 43
gains while minimizing the 71
gains would continue to 50
gains would outweigh the 152
gains would probably be 129
games allow children to 80
games allow students to 50
games which occupied so 51
gamma probe detection of 65
gases allow sunlight to 64
gases exert pressure on 61
gases under pressure in 101
gases under pressure is 47
gases under pressure of 41
gases under pressure to 51
gases which dissolve in 78
gases which surround it 49
gases which surround the 120
gases would continue to 46
gases would probably be 59
gases would therefore be 40
gated cation channels in 172
gates which regulate the 50
gates which separate the 89
gates which separate us 45
gather black tempests to 74
gather facts concerning the 118
gather facts relevant to 56
gather fresh evidence of 79
gauge cubic contents by 101
gauge which consists of 73
genes after infection by 50
genes either directly or 50
genes which interact in 43
genes which regulate the 221
genes which suppress the 74
genes whose activity is 172
genes whose presence is 45
genes would continue to 56
genes would probably be 44
genre which attempts to 41
genus which consists of 59
genus which contains the 80
genus which includes the 338
germs which education is 53
getting ample supplies of 43
getting anything whatever in 42
getting drunk whenever he 148
getting fresh supplies of 92
getting fully involved in 97
getting large supplies of 60
getting others involved in 142
getting people involved in 939
getting quite attached to 160
getting quite involved in 45
getting rather attached to 47
getting really involved in 108
getting users involved in 52
getting which consists in 63
getting women involved in 119
getting worse relative to 56
ghost story attached to 53
giants which dominate the 41
gifts which amounted to 46
gifts which resulted in 45
gifts would continue to 43
girls about fourteen or 58
girls could possibly be 57
girls first discover the 63
girls might possibly be 54
girls never indulged in 66
girls seeking admission to 54
girls still continue to 49
girls under eighteen in 67
girls under eighteen to 110
girls whose education is 77
girls whose interest in 56
girls would consider it 49
girls would continue to 189
girls would probably be 195
given above concerning the 716
given above concerns the 40
given above consists of 54
given above contains the 57
given above describe the 71
given above explains the 49
given above includes the 148
given above indicate the 312
given above involves the 67
given above provides an 56
given above provides the 57
given above reflects the 86
given above relative to 86
given above respecting the 66
given above suggests the 75
given added authority by 129
given added authority to 55
given added credence by 243
given added credence to 41
given added currency by 49
given added dimension by 73
given added emphasis by 523
given added emphasis in 209
given added emphasis to 175
given added interest by 250
given added interest to 54
given added momentum by 287
given added momentum to 73
given added piquancy by 92
given added prestige by 49
given added stimulus by 99
given added stimulus to 62
given added validity by 43
given after consulting the 78
given after delivery of 95
given after delivery to 53
given after exposure to 336
given after induction of 75
given ample attention in 87
given ample attention to 120
given ample authority to 105
given ample coverage in 90
given ample coverage to 41
given ample evidence in 100
given ample evidence of 1917
given ample evidence to 134
given ample latitude to 376
given ample practice in 61
given ample supplies of 52
given ample treatment in 48
given below attempts to 47
given below concerning the 152
given below consists of 52
given below contains the 119
given below describe the 65
given below explains the 60
given below followed by 166
given below includes the 116
given below indicate the 480
given below indicating the 61
given below presents the 121
given below provides the 44
given brief accounts of 163
given brief attention in 75
given brief attention to 47
given brief glimpses of 80
given brief sketches of 133
given brief treatment in 50
given broad authority by 68
given broad authority in 115
given broad authority to 1079
given broad coverage in 97
given broad latitude in 149
given broad latitude to 170
given cases consents to 90
given chief attention to 90
given class interval is 124
given class interval of 52
given close attention at 50
given close attention by 380
given close attention in 289
given close attention to 4079
given close scrutiny by 150
given close scrutiny in 70
given close scrutiny to 106
given daily practice in 78
given eight examples of 45
given either directly by 95
given either directly or 1314
given either directly to 71
given either positive or 106
given either specially in 62
given either verbally or 265
given equal attention by 89
given equal attention in 238
given equal attention to 405
given equal emphasis by 41
given equal emphasis in 241
given equal emphasis to 194
given equal exposure to 91
given equal treatment as 159
given equal treatment by 116
given equal treatment in 414
given equal treatment to 132
given every attention by 55
given every attention to 94
given every evidence of 577
given every facility by 149
given every facility in 124
given every facility of 42
given every facility to 1405
given every prospect of 42
given every saturday at 62
given extra attention by 69
given extra attention in 98
given extra attention to 65
given extra emphasis by 133
given false accounts of 73
given false evidence at 53
given false evidence in 403
given false evidence on 55
given false evidence or 60
given false evidence to 40
given final approval as 87
given final approval at 43
given final approval by 591
given final approval in 128
given final approval of 78
given final approval on 80
given final approval to 329
given final authority in 86
given final authority to 210
given first attention in 69
given first attention to 45
given first followed by 549
given fixed compound to 48
given fixed quantity of 68
given force produces the 62
given fresh currency by 74
given fresh currency in 59
given fresh emphasis in 49
given fresh emphasis to 49
given fresh evidence of 130
given fresh interest to 58
given fresh momentum by 43
given fresh stimulus to 70
given glowing accounts of 187
given growing attention to 44
given growth hormones or 44
given guest lectures at 82
given guest lectures in 41
given input sequence is 49
given input variables of 46
given large attention to 51
given large donations to 73
given large supplies of 45
given legal authority by 100
given legal authority in 72
given legal authority to 1027
given legal validity by 80
given linear dimension of 108
given lines inclined to 92
given major attention by 94
given major attention in 327
given major attention to 348
given major emphasis by 71
given major emphasis in 355
given major emphasis to 165
given major treatment in 42
given money directly to 65
given names consisting of 64
given names followed by 60
given negro children in 65
given ought therefore to 43
given papal approval in 80
given passing attention to 63
given period compared to 61
given period consists of 58
given period reflects the 43
given period relative to 115
given place entirely to 126
given plain evidence of 106
given plane parallel to 111
given pleasing evidence of 61
given point consists of 165
given point parallel to 2559
given point relative to 111
given power adequate to 49
given prime attention in 82
given proof positive of 89
given rough treatment by 71
given royal authority to 94
