gained absolutely nothing for 56
gained admittance into his 41
gained advantages over him 41
gained advantages over them 159
gained ascendancy over all 276
gained ascendancy over her 148
gained ascendancy over him 170
gained ascendancy over his 250
gained ascendancy over its 142
gained ascendancy over them 107
gained ascendency over him 46
gained ascendency over them 41
gained confidence from her 54
gained confidence from his 155
gained confidence from this 58
gained confidence only with 48
gained confidence when they 59
gained durability from her 65
gained enormously from his 76
gained enormously from its 48
gained enormously from this 67
gained experience dealing with 58
gained financially from his 50
gained infinitely more than 129
gained inspiration from his 51
gained particular fame for 40
gained popularity among both 65
gained popularity during this 107
gained precedence over all 41
gained prominence during this 104
gained recognition from his 66
gained relatively more than 120
gained sufficient time for 73
garden beautifully laid out 49
garden tastefully laid out 108
gathering assessment data and 43
gathering confidence from his 66
gathering information from all 868
gathering information from and 140
gathering information from both 87
gathering information from each 100
gathering information from her 40
gathering information from his 264
gathering information from its 57
gathering information from our 44
gathering information from them 419
gathering scientific data and 53
gathers information from all 179
gathers information from both 51
gathers information from its 66
gender identities were not 54
gender stereotypes when they 101
gentle melancholy upon her 81
gentle restraints upon her 84
gentle transitions from ease 110
glacial phosphoric acid and 69
glancing constantly over his 55
glancing immediately from him 57
gleamed confusedly here and 42
glided gracefully into its 50
global competition also has 63
global competition from low 87
global competition have led 44
global competition means that 164
global investment bank and 61
global transgenic crop area 95
govern transitions from one 54
greater advantages from his 72
greater advantages from its 73
greater advantages from them 92
greater advantages from this 69
greater ascendancy over him 45
greater commitment from them 43
greater competition among them 58
greater confidence upon his 64
greater confidence when they 75
greater confidence when you 46
greater cooperation among all 180
greater cooperation among its 42
greater cooperation among them 96
greater deformation rate than 59
greater dependence upon and 52
greater dependence upon god 69
greater dependence upon his 56
greater dependence upon one 87
greater dependence upon them 55
greater detachment from his 52
greater difficulty coping with 188
greater difficulty dealing with 163
greater difficulty here than 86
greater difficulty when they 65
greater historical depth and 112
greater historical depth than 45
greater importance during this 104
greater importance even than 489
greater importance from its 107
greater importance from our 42
greater importance here than 315
greater importance there than 59
greater importance were his 138
greater importance were two 99
greater importance when one 441
greater importance when they 122
greater importance when you 69
greater improviser even than 43
greater inequality among men 58
greater investment risk than 55
greater likelihood there was 69
greater limitations upon our 132
greater nutritional risk than 46
greater obstruction from them 128
greater percentage rate than 70
greater popularity even than 46
greater prominence here than 56
greater punishment upon him 87
greater quantities here than 40
greater recompense from god 82
greater solidarity among its 42
greater solidarity among them 40
greater systematic risk than 60
greater uniformity among them 53
greater variability from one 71
greatly astonished those who 78
greatly astonished when she 117
greatly astonished when they 272
greatly diminished during his 85
greatly diminished during this 79
greatly diminished from its 79
greatly diminished from that 56
greatly diminished role for 87
greatly diminished when they 141
greatly diminished when you 43
greatly dissimilar from that 288
greatly distressed over her 52
greatly distressed over his 55
greatly distressed over this 119
greatly distressed when his 50
greatly distressed when she 180
greatly distressed when they 121
greatly encouraged those who 173
greatly encouraged when they 72
greatly encourages those who 45
greatly facilitate their use 70
greatly frightened when they 42
greatly influenced those who 97
greatly influences what they 47
greatly interested when they 40
greatly restricted their use 65
greatly strengthened during his 41
greatly strengthened their own 51
greatly strengthened when they 59
ground represents those who 108
groups considered here are 101
groups constitute less than 83
groups constitute more than 86
groups controlled more than 59
groups maintained their own 155
groups relatively more than 48
groups representing more than 145
groups representing those who 84
groves contrasted well with 104
guards supervised more than 50
guilty conscience made her 76
guilty conscience made him 335
guilty conscience over his 78
guilty conscience told him 107
guilty conscience when they 59
guilty conscience will not 45
gushed prodigally from his 46
