gable roof consists of 45
gaily came seriously to 58
gaining free admission to 47
gaining great momentum in 44
gaining great property by 56
gaining many converts to 55
gaining more attention as 187
gaining more attention in 187
gaining much attention in 89
gaining over officers of 45
gaining some attention in 55
gaining some currency in 82
gaining some facility in 42
gaining some momentum in 82
gaining some purchase on 56
gaining wide currency in 104
gains from advances in 163
gains from business or 71
gains from completing the 84
gains from continuing the 101
gains from continuing to 93
gains from disposal of 304
gains from expansion of 46
gains from exploiting the 78
gains from increases in 726
gains from practice in 80
gains from reduction in 55
gains from reduction of 80
gains from transfer of 160
gains have occurred in 410
gains have resulted in 87
gains made possible by 2025
gains much legality by 46
gains such accession in 58
gains were achieved as 86
gains were achieved at 177
gains were achieved by 1025
gains were achieved in 1285
gains were achieved on 47
gains were adjusted to 65
gains were balanced by 92
gains were captured by 44
gains were confined to 110
gains were expected of 53
gains were expected to 160
gains were followed by 78
gains were included in 191
gains were observed in 452
gains were obtained at 48
gains were obtained by 198
gains were obtained in 161
gains were possible in 55
gains were produced by 54
gains were recorded at 42
gains were recorded by 251
gains were recorded in 693
gains were reported by 125
gains were reported in 242
gains were threatened by 63
gains when compared to 188
gains will continue to 265
gains will outweigh the 192
gains will probably be 132
gains your attention by 48
games have increased in 51
games have resulted in 45
games help children to 71
games like baseball or 80
games like charades or 154
games like checkers or 108
games like football or 132
games like handball or 45
games like monopoly or 85
games like scrabble or 54
games made possible by 40
games teach children to 56
games were attended by 127
games were confined to 58
games were designed by 55
games were designed to 383
games were expected to 61
games were followed by 150
games were included in 113
games were indulged in 476
games were inspired by 48
games were intended to 130
games were invented by 64
games were invented in 53
games were invented to 59
games were ordained by 71
games were promised to 40
games were provided by 46
games were referred to 44
games were regarded as 256
games were replaced by 95
games were reported in 52
games were reported to 42
games were required to 53
games were supposed to 195
games will continue to 175
games will probably be 78
gamma rays absorbed by 103
gamma rays absorbed in 84
gamma rays detected by 87
gamma rays detected in 191
gamma rays incident on 128
gamma rays interact in 115
gamma rays observed by 92
gamma rays observed in 126
gamma rays produced at 45
gamma rays produced by 1558
gamma rays produced in 698
gamma rays relative to 59
gamut from politics to 46
ganglia pass directly to 49
ganglia send branches to 46
gases during exercise in 50
gases have expanded to 42
gases have increased in 55
gases have resulted in 40
gases like hydrogen or 56
gases like nitrogen or 75
gases must therefore be 158
gases pass directly to 100
gases were absorbed by 41
gases were absorbed in 45
gases were admitted to 52
gases were analyzed by 196
gases were analyzed in 43
gases were believed to 41
gases were composed of 177
gases were employed in 47
gases were examined at 56
gases were obtained by 85
gases were obtained in 78
gases were produced by 62
gases were produced in 49
gases were purified by 57
gases were regarded as 107
gases were supposed to 65
gases will continue to 214
gases will dissolve in 81
gases will normally be 99
gases will probably be 57
gated ionic channels in 107
gates gave entrance to 63
gates give entrance to 65
gates giving entrance to 47
gates were assigned to 75
gates were battered to 90
gates were besieged by 47
gates were defended by 145
gates were designed by 94
gates were designed to 106
gates were finished in 40
gates were likewise of 82
gates were occupied by 51
gates were operated by 48
gates were replaced by 126
gates were supposed to 90
gates were unlocked by 50
gates were unlocked in 41
gather data concerning the 430
gather data pertaining to 132
gather data relative to 129
gather data relevant to 344
gather from hundreds of 42
gather from outlines of 41
gather from passages in 42
gather great handfuls of 53
gather more evidence of 50
gather more evidence on 98
gather more evidence to 126
gather some evidence of 47
gather some evidence on 58
gather some evidence to 46
gather such evidence as 58
gather their articles of 96
gather their children in 69
gather their children to 49
gather what remained of 92
gather your children as 120
gauge their interest in 289
gauge their progress by 41
gauge their progress in 312
gauge their response to 123
