mad or senseless person can 133
man an expression deeper than 58
man at different seasons and 337
man be justified before god 296
man he grovelled before him 63
man in velveteen shorts and 72
man is exceedingly better than 49
man is justified before god 1601
man is naturally fitted for 98
man is naturally sinful and 42
man is thoroughly imbued with 57
man of abstemious habits and 67
man of astonishing energy and 45
man of blameless morals and 53
man of boundless energy and 755
man of boundless energy who 70
man of desperate energy and 87
man of different powers than 55
man of dissolute habits and 81
man of eccentric habits and 64
man of excellent family and 155
man of excellent habits and 50
man of excellent temper and 83
man of excitable nerves and 110
man of exemplary habits and 97
man of exemplary virtue and 84
man of fastidious tastes and 41
man of intellect through his 49
man of irregular habits and 49
man of limitless energy and 62
man of outstanding talent and 57
man of practical wisdom and 93
man of practical wisdom can 158
man of practical wisdom who 46
man of prodigious energy and 234
man of prodigious memory and 48
man of prodigious strength and 129
man of scholarly habits and 69
man of scholarly tastes and 424
man of scholarly tastes who 40
man of sedentary desire and 65
man of sedentary habits and 76
man of temperate habits and 128
man of unbounded energy and 214
man of uncertain temper and 62
man of undoubted fashion was 50
man of undoubted genius and 160
man of undoubted talent and 127
man of undoubted talent but 47
man of unlimited energy and 61
man of venerable aspect and 66
man of versatile genius and 123
man of versatile talent and 44
man of wonderful energy and 193
man of wonderful genius and 73
man of wonderful strength and 77
man so peculiarly repels and 90
man the conqueror versus man 232
man to calculate coolly his 53
may an attribute without any 64
may be abandoned without any 86
may be accounted uncouth and 42
may be acquitted before god 51
may be additional reasons for 199
may be additional reasons why 63
may be admirably suited for 61
may be altogether beyond our 59
may be appointed amongst them 43
may be associated mainly with 46
may be associated partly with 51
may be associated rarely with 52
may be available through this 43
may be biological reasons for 41
may be blameless before our 72
may be carefully lifted and 44
may be carefully poured off 52
may be carefully taught and 45
may be carefully thought out 45
may be carefully worked out 118
may be collected around and 118
may be collected without any 94
may be committed through fear 47
may be committed without any 211
may be committed without sin 51
may be completed before that 50
may be completed without any 101
may be conceived better than 174
may be conceived endued with 43
may be conceived without any 120
may be concerned mainly with 187
may be concerned merely with 58
may be concerned simply with 56
may be concerned solely with 204
may be concisely stated thus 124
may be concluded further that 90
may be concluded safely that 125
may be concluded without any 66
may be concocted without that 64
may be conducted without any 125
may be connected across any 41
may be connected mainly with 40
may be contacted through her 43
may be continued through all 59
may be continued without any 126
may be continued without end 108
may be corrected before they 72
may be correctly argued that 148
may be correctly stated that 220
may be debatable whether this 48
may be delivered without any 45
may be described without any 64
may be destroyed before they 179
may be destroyed without any 302
may be destroyed without too 51
may be developed without any 117
may be different before and 86
may be different causes for 64
may be different enough that 40
may be different reasons for 420
may be different reasons why 90
may be different without being 53
may be difficult enough for 68
may be difficult indeed for 44
may be difficult unless they 49
may be difficult unless you 82
may be discussed freely and 40
may be dismissed almost with 63
may be dismissed without any 175
may be displaced upward and 157
may be displayed without any 65
may be dissolved before its 51
may be effective therapy for 84
may be effective without being 115
may be eminently proper for 57
may be especially crucial for 91
may be especially likely for 62
may be especially serious for 52
may be especially severe for 88
may be especially suited for 143
may be especially useful and 48
may be especially useful for 2302
may be especially useful with 211
may be estimated assuming that 42
may be eternally damned for 65
may be excellent reasons for 298
may be excellent reasons why 105
may be exercised through its 84
may be exercised without any 273
may be exercised without being 69
may be explained another way 47
may be explained assuming that 216
may be explained through this 56
may be explained without any 167
may be expressed another way 85
may be expressed through any 61
may be expressed through its 50
may be expressed through one 42
may be expressed without any 155
may be expressed without fear 49
may be expressed without them 48
may be extremely anxious and 56
may be extremely costly and 73
may be extremely serious and 79
may be extremely severe and 287
may be extremely simple and 67
may be extremely slight and 54
may be extremely subtle and 171
may be extremely useful and 117
may be extremely useful both 47
may be extremely useful for 660
may be extremely varied and 112
may be extremely violent and 47
may be fortunate enough not 48
may be fulfilled beyond its 49
