man in perfect peace whose 43
man is allowed four wives 126
man is brought into close 76
man is brought into court 81
man is content till fancy 84
man is rescued from beneath 47
man of eminent good sense 63
man of inferior rank dares 62
man of letters must needs 46
man of natural good sense 82
man of science must appeal 69
man to arraign great vices 47
man to perform good works 56
man to refrain from kicking 42
man to stomach such hints 54
may at pleasure have either 91
may be adopted even though 50
may be adopted from human 44
may be adopted only after 124
may be adopted soon after 44
may be affecting such trade 115
may be affecting your child 83
may be allowed even though 305
may be allowed only after 64
may be amended even after 73
may be amended only after 77
may be amended upon motion 45
may be appealed from under 120
may be applied even though 296
may be applied even where 51
may be applied from above 51
may be applied from either 59
may be applied many times 61
may be applied more easily 75
may be applied once daily 158
may be applied only after 179
may be applied only under 69
may be applied only where 157
may be applied those words 84
may be applied three times 116
may be averred more truly 45
may be averted from yours 79
may be avoided even though 63
may be awarded even though 302
may be awarded even where 80
may be awarded lost wages 40
may be awarded only after 48
may be awarded only where 95
may be awarded upon proof 61
may be because many people 93
may be because most people 75
may be because some people 57
may be because their hearts 117
may be because these people 45
may be blocked from reaching 64
may be bounded from above 104
may be brought back again 181
may be brought even after 225
may be brought even nearer 84
may be brought even though 98
may be brought from either 42
may be brought from thence 50
may be brought into action 3199
may be brought into bloom 255
may be brought into china 54
may be brought into class 41
may be brought into close 901
may be brought into court 1344
may be brought into doubt 58
may be brought into every 40
may be brought into exact 59
may be brought into focus 685
may be brought into force 347
may be brought into order 52
may be brought into phase 52
may be brought into place 50
may be brought into sharp 90
may be brought into touch 118
may be brought into unity 47
may be brought into vital 52
may be brought more easily 83
may be brought more fully 96
may be brought more nearly 82
may be brought much nearer 180
may be brought only after 72
may be brought only where 71
may be brought only within 109
may be brought very close 316
may be carried back under 56
may be carried from lower 41
may be carried from place 407
may be carried into adult 57
may be carried into every 60
may be carried into later 40
may be carried into minor 61
may be carried many miles 246
may be carried over until 92
may be carried some steps 41
may be certain areas where 58
may be charged duty again 42
may be claimed even though 194
may be classed those which 134
may be cleansed from every 80
may be correct even though 63
may be decided upon after 69
may be decided when poetry 108
may be deduced from either 134
may be deduced from every 47
may be deduced from table 324
may be delayed even longer 231
may be delayed many hours 45
may be delayed many months 52
may be delayed much longer 197
may be delayed some hours 43
may be delayed till after 46
may be deluded into thinking 258
may be derived from amino 108
may be derived from basic 84
