made an average daily gain 1260
made an election under code 99
made an illegal entry into 107
made an illegal right turn 47
made an incision about three 215
made an obscene phone call 103
made an official entry into 96
made at rendering homer into 50
made by captain basil hall 40
made by captain james cook 152
made by combining whole milk 110
made by congress shall tend 266
made by convict labor into 77
made by divines fifty years 41
made by parents about their 115
made by spanish ships from 62
made in advance about what 81
made in general terms only 61
made in popular music from 96
made in science which will 40
made in several sizes from 57
made in several sizes ranging 41
made in society which nothing 59
made me several times rise 97
made me several times take 47
made me shudder every time 63
made my position quite clear 238
made no comment about their 58
made no comment about what 64
made no mistake about what 40
made no taxable gifts during 101
made of annealed nylon make 59
made of closely woven cloth 66
made of crushed indian corn 47
made of material drawn from 47
made of material taken from 70
made of material which will 239
made of samples drawn from 56
made of samples taken from 112
made of seamless steel tubing 167
made of several plump young 565
made on samples taken from 264
made or brought within such 172
made the attempt would find 359
made the attempt would have 58
made the british people more 42
made the country still more 94
made the decision about what 336
made the decision right there 47
made the devonian shore mock 54
made the emperor appear base 49
made the fifteen months from 55
made the following entry into 142
made the following sales during 62
made the greatest gains during 40
made the greatest havoc among 46
made the highest score ever 44
made the limpest dress look 149
made the mistake which many 61
made the outside world seem 59
made the outward chill only 50
made the passage round cape 85
made the picture still more 113
made the position quite clear 370
made the position still more 187
made the problem still more 305
made the question sound like 217
made the question still more 41
made the vessels which were 52
made thy servant ruler over 134
made to descend again among 224
made to diverge still more 51
made to exclude james from 40
made to exclude women from 70
made to extract money from 52
made to extract sugar from 65
made to isolate virus from 66
made to persons under such 72
made to prevent people from 145
made to prevent water from 62
made to prevent women from 48
made to protect people from 97
made to wriggle under your 47
made up stories about their 78
made up stories about what 230
maid the freedom which your 73
maid to venture after dark 57
main the animals would have 62
make an attempt where there 47
make an election under code 378
make an equally strong case 137
make an example which will 48
make an inquiry about some 62
make an interim order giving 58
make an obscene phone call 78
make an overseas phone call 40
make me believe anything else 109
make me believe every word 117
make me suspect every body 69
make my country truly free 46
make my position quite clear 274
make my slender purse hold 90
make no mistake about their 67
make no mistake about what 399
make or receive calls from 52
make the ancient world live 52
make the average woman more 40
make the balance sheet look 175
make the balance sheet more 143
make the balance still more 40
make the choices about what 87
make the choices which will 80
make the company appear more 154
make the decision about having 48
