man as distinct from citizen 63
man is esteemed most blessed 41
man is estranged from himself 106
man is scarcely less nervous 50
man is watchful over himself 232
man so situated there entered 123
man to abstract from everything 90
man to graduate from harvard 81
may be absorbed more rapidly 130
may be accessed from outside 141
may be achieved more quickly 123
may be achieved more rapidly 120
may be acquired during passage 55
may be acquired from animals 68
may be acquired from contact 69
may be acquired from outside 42
may be acquired more rapidly 45
may be analyzed from several 66
may be analyzed into several 105
may be analyzed into simpler 64
may be answered very briefly 72
may be anywhere from fifteen 42
may be anywhere from several 91
may be apparent only because 44
may be asserted even against 49
may be asserted only against 94
may be assessed only against 49
may be combined into complex 56
may be combined into phrases 57
may be computed from equation 1097
may be computed from formula 87
may be conveyed more briefly 41
may be deceived into believing 218
may be deceived into supposing 54
may be declared void because 56
may be deducted from capital 73
may be deducted from current 42
may be deducted from federal 77
may be deducted from profits 97
may be deducted from taxable 640
may be deducted only against 183
may be detected during routine 222
may be detected when present 69
may be deterred from asserting 164
may be deterred from assisting 63
may be deterred from following 87
may be deterred from investing 57
may be deterred from offending 50
may be deterred from similar 60
may be directed more towards 70
may be directed only against 110
may be disabled from analyzing 47
may be disabled from following 75
may be effected more quickly 51
may be effected more rapidly 78
may be enforced even against 61
may be enforced only against 128
may be enjoined from enforcing 77
may be examined from several 159
may be examined more closely 292
may be exchanged only between 87
may be excluded from certain 314
may be excluded from current 67
may be excluded from decision 45
may be excluded from federal 53
may be excluded from foreign 55
may be excluded from perfect 43
may be excluded from probate 59
may be excluded from receiving 64
may be excluded from taxable 270
may be excluded from taxation 87
may be exempted from certain 171
may be exempted from customs 74
may be exempted from payment 202
may be exempted from service 76
may be exempted from similar 49
may be exempted from taxation 714
may be expanded into several 70
may be expected from certain 74
may be expected from foreign 83
may be expected from general 110
may be expected from persons 59
may be expected from research 42
may be expected from servile 41
may be expected from similar 76
may be expected from studies 40
may be expected very shortly 60
may be extended over several 271
may be extended upon request 117
may be extended upon written 152
may be followed more closely 90
may be forthcoming upon colonel 51
may be imagined more perfect 135
may be imagined what anxiety 58
may be imported from foreign 49
may be imported from outside 258
may be included here because 85
may be increased more rapidly 170
may be inferred from analogy 119
may be inferred from article 110
may be inferred from behavior 113
may be inferred from careful 41
may be inferred from certain 422
may be inferred from comparing 94
may be inferred from conduct 735
may be inferred from context 47
may be inferred from equation 70
may be inferred from general 78
may be inferred from letters 68
may be inferred from observing 80
may be inferred from preceding 48
may be inferred from present 41
may be inferred from previous 127
may be inferred from ptolemy 52
may be inferred from remarks 69
may be inferred from reports 40
may be inferred from results 83
may be inferred from several 661
may be inferred from silence 76
may be inferred from similar 52
may be inferred from studies 176
may be injected into animals 61
may be inserted during surgery 42
may be inserted into equation 104
may be insisted upon against 63
may be isolated from natural 53
may be manifest from several 167
may be maternal risk factors 53
may be mentioned here although 71
may be mentioned here because 455
may be mentioned here briefly 119
may be mentioned more briefly 193
may be mentioned only briefly 54
may be mentioned very briefly 132
may be multiple paths between 57
may be observed among writers 46
may be observed from several 109
may be observed more closely 66
may be observed when comparing 94
may be obtained from alcohol 48
may be obtained from animals 83
may be obtained from british 250
may be obtained from careful 46
may be obtained from central 153
may be obtained from certain 382
may be obtained from chapter 107
may be obtained from charles 75
may be obtained from college 99
may be obtained from company 60
may be obtained from comparing 95
may be obtained from current 106
may be obtained from equation 3358
may be obtained from examining 103
may be obtained from federal 204
may be obtained from figures 215
may be obtained from foreign 74
may be obtained from formula 127
may be obtained from fourier 41
may be obtained from friends 81
may be obtained from general 250
may be obtained from johnson 232
may be obtained from library 40
may be obtained from material 155
may be obtained from measured 111
may be obtained from medical 67
may be obtained from members 122
may be obtained from national 642
may be obtained from natural 278
may be obtained from observing 52
may be obtained from offices 45
may be obtained from official 147
may be obtained from optical 59
may be obtained from outside 331
may be obtained from parents 124
may be obtained from persons 105
may be obtained from present 49
may be obtained from previous 161
may be obtained from primary 74
may be obtained from private 163
may be obtained from records 126
may be obtained from regional 66
may be obtained from reliable 72
may be obtained from reports 98
may be obtained from research 92
may be obtained from results 66
may be obtained from richard 84
may be obtained from samples 111
may be obtained from several 1225
may be obtained from similar 94
may be obtained from solution 60
may be obtained from sources 310
may be obtained from studies 332
may be obtained from surface 72
may be obtained from surveys 50
may be obtained from tissues 48
may be obtained more quickly 317
may be obtained more rapidly 114
may be obtained upon payment 210
may be obtained upon request 1929
may be obtained upon written 213
may be obtained very closely 42
